NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKR1C1	aldo-keto reductase family 1 member C1 [Source:HGNC Symbol;Acc:HGNC:384]	205	0.12255129963159561	0.012949531	No	
row_1	TRIM2	tripartite motif containing 2 [Source:HGNC Symbol;Acc:HGNC:15974]	358	0.09896129369735718	0.024079727	No	
row_2	PTPRF	protein tyrosine phosphatase receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]	634	0.078290194272995	0.025189105	No	
row_3	SOX4	SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]	903	0.06716754287481308	0.02454603	No	
row_4	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	1171	0.0593436174094677	0.022475097	No	
row_5	PGD	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	2492	0.038134075701236725	-0.03596859	No	
row_6	ATP1B1	ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]	2519	0.03782759979367256	-0.03011766	No	
row_7	CD46	CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]	2614	0.03664170950651169	-0.027872432	No	
row_8	RAB1A	RAB1A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9758]	2712	0.03562963381409645	-0.025967533	No	
row_9	ABCC3	ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]	2981	0.03288903832435608	-0.03308429	No	
row_10	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	3221	0.030714448541402817	-0.039169516	No	
row_11	CHIT1	chitinase 1 [Source:HGNC Symbol;Acc:HGNC:1936]	3518	0.028359774500131607	-0.048534125	No	
row_12	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	4059	0.02421114780008793	-0.0708167	No	
row_13	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	4790	0.019716886803507805	-0.10339702	No	
row_14	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854]	5222	0.017051707953214645	-0.12161097	No	
row_15	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	5269	0.016717838123440742	-0.12074136	No	
row_16	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	5626	0.014809113927185535	-0.13564898	No	
row_17	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:2728]	5658	0.014629370532929897	-0.13442782	No	
row_18	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	5679	0.014493927359580994	-0.13268518	No	
row_19	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	5719	0.014288892969489098	-0.13192618	No	
row_20	MMP12	matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]	5856	0.013512438163161278	-0.13613775	No	
row_21	SPINT2	serine peptidase inhibitor, Kunitz type 2 [Source:HGNC Symbol;Acc:HGNC:11247]	6009	0.012671876698732376	-0.1413038	No	
row_22	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	6098	0.012271897867321968	-0.14336254	No	
row_23	MARCKSL1	MARCKS like 1 [Source:HGNC Symbol;Acc:HGNC:7142]	6211	0.011739605106413364	-0.14671537	No	
row_24	ATP5MF	ATP synthase membrane subunit f [Source:HGNC Symbol;Acc:HGNC:848]	6227	0.011658902280032635	-0.1452595	No	
row_25	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	6354	0.011023173108696938	-0.14944388	No	
row_26	ADGRG1	adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512]	6493	0.01044786348938942	-0.15433368	No	
row_27	SUMO2	small ubiquitin like modifier 2 [Source:HGNC Symbol;Acc:HGNC:11125]	6679	0.009581932798027992	-0.1617244	No	
row_28	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	6974	0.008359497413039207	-0.1747667	No	
row_29	SYN1	synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]	7008	0.00819545891135931	-0.17486009	No	
row_30	UQCRB	ubiquinol-cytochrome c reductase binding protein [Source:HGNC Symbol;Acc:HGNC:12582]	7038	0.008086159825325012	-0.17477518	No	
row_31	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	7070	0.007955699227750301	-0.17481439	No	
row_32	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	7200	0.007356007117778063	-0.17984052	No	
row_33	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	7250	0.007148766424506903	-0.18092728	No	
row_34	UCHL1	ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]	7619	0.005505694076418877	-0.19818868	No	
row_35	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	7991	0.00395463639870286	-0.21589218	No	
row_36	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	8235	0.002941390499472618	-0.22742143	No	
row_37	MIF	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	8294	0.0026822735089808702	-0.22979929	No	
row_38	THBS2	thrombospondin 2 [Source:HGNC Symbol;Acc:HGNC:11786]	8318	0.0025425762869417667	-0.23046294	No	
row_39	ZNF146	zinc finger protein 146 [Source:HGNC Symbol;Acc:HGNC:12931]	8361	0.002442885423079133	-0.23209031	No	
row_40	KPNA4	karyopherin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6397]	8641	0.0013645299477502704	-0.24570768	No	
row_41	SCNN1A	sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]	8691	0.001143382745794952	-0.24792859	No	
row_42	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	8880	4.29624313255772E-4	-0.25719696	No	
row_43	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	8892	4.045076493639499E-4	-0.25766763	No	
row_44	RPL37	ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347]	9191	-6.497398717328906E-4	-0.27236488	No	
row_45	BGN	biglycan [Source:HGNC Symbol;Acc:HGNC:1044]	9213	-7.220666157081723E-4	-0.27327287	No	
row_46	TOP1	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]	9241	-8.229827508330345E-4	-0.2744602	No	
row_47	SPINK1	serine peptidase inhibitor Kazal type 1 [Source:HGNC Symbol;Acc:HGNC:11244]	9323	-0.0011251313844695687	-0.27827597	No	
row_48	HYOU1	hypoxia up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:16931]	9423	-0.0014677784638479352	-0.28292218	No	
row_49	TRAF4	TNF receptor associated factor 4 [Source:HGNC Symbol;Acc:HGNC:12034]	9841	-0.0029345748480409384	-0.30310598	No	
row_50	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]	9980	-0.0034344769082963467	-0.3093203	No	
row_51	SYNGR2	synaptogyrin 2 [Source:HGNC Symbol;Acc:HGNC:11499]	10016	-0.003563427831977606	-0.31038794	No	
row_52	CLDN4	claudin 4 [Source:HGNC Symbol;Acc:HGNC:2046]	10028	-0.0036019328981637955	-0.31025472	No	
row_53	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]	10233	-0.004358841106295586	-0.31957677	No	
row_54	JTB	jumping translocation breakpoint [Source:HGNC Symbol;Acc:HGNC:6201]	10313	-0.004609884228557348	-0.32263494	No	
row_55	COX6A1	cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]	10459	-0.00510218134149909	-0.32888243	No	
row_56	KRT6C	keratin 6C [Source:HGNC Symbol;Acc:HGNC:20406]	10534	-0.005348607432097197	-0.33155245	No	
row_57	AKR1A1	aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]	10794	-0.006237160414457321	-0.34325495	No	
row_58	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	10805	-0.006276886444538832	-0.34256685	No	
row_59	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	11131	-0.007318947464227676	-0.35734734	No	
row_60	DAP	death associated protein [Source:HGNC Symbol;Acc:HGNC:2672]	11160	-0.007401179522275925	-0.3573421	No	
row_61	ELOC	elongin C [Source:HGNC Symbol;Acc:HGNC:11617]	11268	-0.007696754299104214	-0.36120978	No	
row_62	S100P	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	11296	-0.007786968722939491	-0.3610819	No	
row_63	CBX3	chromobox 3 [Source:HGNC Symbol;Acc:HGNC:1553]	11308	-0.007826262153685093	-0.36015093	No	
row_64	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	11473	-0.008359341882169247	-0.3667282	No	
row_65	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	11524	-0.008512531407177448	-0.36760712	No	
row_66	KRT7	keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]	11669	-0.008952483534812927	-0.37307772	No	
row_67	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	11844	-0.009554452262818813	-0.37992656	No	
row_68	MAGED1	MAGE family member D1 [Source:HGNC Symbol;Acc:HGNC:6813]	11900	-0.009694302454590797	-0.38083097	No	
row_69	HAX1	HCLS1 associated protein X-1 [Source:HGNC Symbol;Acc:HGNC:16915]	11906	-0.009718500077724457	-0.37924424	No	
row_70	CEACAM5	CEA cell adhesion molecule 5 [Source:HGNC Symbol;Acc:HGNC:1817]	12060	-0.010185685008764267	-0.38492954	No	
row_71	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	12155	-0.0105244480073452	-0.3876167	No	
row_72	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	12748	-0.012433929368853569	-0.4147095	No	
row_73	TFF3	trefoil factor 3 [Source:HGNC Symbol;Acc:HGNC:11757]	12780	-0.012530483305454254	-0.41388473	No	
row_74	CSTB	cystatin B [Source:HGNC Symbol;Acc:HGNC:2482]	12823	-0.01264837197959423	-0.41358474	No	
row_75	PSMB4	proteasome 20S subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:9541]	13218	-0.013876696117222309	-0.43055823	No	
row_76	MALL	mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]	13245	-0.013949179090559483	-0.42921686	No	
row_77	PFKP	phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]	13387	-0.014372979290783405	-0.4335146	No	
row_78	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	13621	-0.01512373797595501	-0.4422458	No	
row_79	PDCD6	programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]	13741	-0.015543190762400627	-0.44522846	No	
row_80	RPL30	ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]	13784	-0.015663357451558113	-0.44435906	No	
