NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BAIAP3	BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]	3139	0.03143874183297157	-0.14033008	No	
row_1	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	4186	0.023408466950058937	-0.18081214	No	
row_2	ARHGDIG	Rho GDP dissociation inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:680]	5194	0.017204100266098976	-0.22237378	No	
row_3	PDIA2	protein disulfide isomerase family A member 2 [Source:HGNC Symbol;Acc:HGNC:14180]	5948	0.01301377359777689	-0.25337973	No	
row_4	SYNGR3	synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501]	6285	0.011383424513041973	-0.2645072	No	
row_5	UNKL	unk like zinc finger [Source:HGNC Symbol;Acc:HGNC:14184]	7097	0.007842963561415672	-0.30089903	No	
row_6	ZG16B	zymogen granule protein 16B [Source:HGNC Symbol;Acc:HGNC:30456]	7382	0.006566711235791445	-0.31178784	No	
row_7	LUC7L	LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]	7579	0.0057453131303191185	-0.31871346	No	
row_8	FLYWCH1	FLYWCH-type zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:25404]	7746	0.005003779195249081	-0.3245121	No	
row_9	HAGH	hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:HGNC:4805]	7750	0.004982335492968559	-0.32224146	No	
row_10	TPSB2	tryptase beta 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:14120]	7927	0.004199901595711708	-0.32892615	No	
row_11	ZNF205	zinc finger protein 205 [Source:HGNC Symbol;Acc:HGNC:12996]	7996	0.003939923830330372	-0.33038363	No	
row_12	PKD1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]	8054	0.003716489765793085	-0.3314044	No	
row_13	IFT140	intraflagellar transport 140 [Source:HGNC Symbol;Acc:HGNC:29077]	8236	0.0029377066530287266	-0.3389498	No	
row_14	FBXL16	F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]	8283	0.0027364648412913084	-0.33990118	No	
row_15	FLYWCH2	FLYWCH family member 2 [Source:HGNC Symbol;Acc:HGNC:25178]	8358	0.0024483310990035534	-0.34238037	No	
row_16	PRSS27	serine protease 27 [Source:HGNC Symbol;Acc:HGNC:15475]	8382	0.0023801091592758894	-0.34236473	No	
row_17	TMEM204	transmembrane protein 204 [Source:HGNC Symbol;Acc:HGNC:14158]	8943	2.1318804647307843E-4	-0.3700197	No	
row_18	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3 [Source:HGNC Symbol;Acc:HGNC:30629]	9361	-0.0012453194940462708	-0.39008516	No	
row_19	TPSG1	tryptase gamma 1 [Source:HGNC Symbol;Acc:HGNC:14134]	9634	-0.002220965689048171	-0.4024894	No	
row_20	IGFALS	insulin like growth factor binding protein acid labile subunit [Source:HGNC Symbol;Acc:HGNC:5468]	9662	-0.0023374061565846205	-0.40269274	No	
row_21	ZNF213	zinc finger protein 213 [Source:HGNC Symbol;Acc:HGNC:13005]	9711	-0.0024960634764283895	-0.40385997	No	
row_22	SOX8	SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]	9888	-0.003115507075563073	-0.4110712	No	
row_23	RAB26	RAB26, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14259]	9935	-0.0032723203767091036	-0.4117624	No	
row_24	RAB40C	RAB40C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18285]	10007	-0.003537004115059972	-0.41356423	No	
row_25	GNPTG	N-acetylglucosamine-1-phosphate transferase subunit gamma [Source:HGNC Symbol;Acc:HGNC:23026]	10115	-0.003907248377799988	-0.4169708	No	
row_26	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:6884]	10353	-0.0047372570261359215	-0.42641824	No	
row_27	PRSS22	serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]	10421	-0.005008870270103216	-0.4273071	No	
row_28	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]	10528	-0.005316343158483505	-0.42997983	No	
row_29	MMP25	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]	10586	-0.005546601954847574	-0.4301119	No	
row_30	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	10599	-0.005609063897281885	-0.42798305	No	
row_31	SSTR5	somatostatin receptor 5 [Source:HGNC Symbol;Acc:HGNC:11334]	10804	-0.006268316879868507	-0.43505126	No	
row_32	NHLRC4	NHL repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:26700]	10817	-0.006312018260359764	-0.43258104	No	
row_33	WFIKKN1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30912]	10850	-0.006429304834455252	-0.43104526	No	
row_34	ELOB	elongin B [Source:HGNC Symbol;Acc:HGNC:11619]	10853	-0.006432040594518185	-0.42802107	No	
row_35	LMF1	lipase maturation factor 1 [Source:HGNC Symbol;Acc:HGNC:14154]	10860	-0.006454013288021088	-0.42518452	No	
row_36	PAQR4	progestin and adipoQ receptor family member 4 [Source:HGNC Symbol;Acc:HGNC:26386]	11048	-0.0070809065364301205	-0.43101546	No	
row_37	KCTD5	potassium channel tetramerization domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21423]	11089	-0.007192540913820267	-0.42950562	No	
row_38	MSRB1	methionine sulfoxide reductase B1 [Source:HGNC Symbol;Acc:HGNC:14133]	11142	-0.007341926451772451	-0.42851806	No	
row_39	WDR24	WD repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:20852]	11186	-0.007479315157979727	-0.42701766	No	
row_40	HBZ	hemoglobin subunit zeta [Source:HGNC Symbol;Acc:HGNC:4835]	11497	-0.008445742540061474	-0.43828282	No	
row_41	FAM234A	family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163]	11597	-0.008728881366550922	-0.4389515	No	
row_42	PRSS33	serine protease 33 [Source:HGNC Symbol;Acc:HGNC:30405]	11742	-0.009225418791174889	-0.44160965	No	
row_43	AXIN1	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]	11955	-0.009864424355328083	-0.44732818	No	
row_44	CLCN7	chloride voltage-gated channel 7 [Source:HGNC Symbol;Acc:HGNC:2025]	12094	-0.010313127189874649	-0.44916075	No	
row_45	CRAMP1	cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122]	12502	-0.011577548459172249	-0.46371335	Yes	
row_46	CIAO3	cytosolic iron-sulfur assembly component 3 [Source:HGNC Symbol;Acc:HGNC:14179]	12609	-0.012001392431557178	-0.4631399	Yes	
row_47	HS3ST6	heparan sulfate-glucosamine 3-sulfotransferase 6 [Source:HGNC Symbol;Acc:HGNC:14178]	12637	-0.012092729099094868	-0.45860618	Yes	
row_48	PRR35	proline rich 35 [Source:HGNC Symbol;Acc:HGNC:14139]	12736	-0.01239621639251709	-0.4574445	Yes	
row_49	RAB11FIP3	RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224]	12786	-0.012542935088276863	-0.45378268	Yes	
row_50	PGAP6	post-glycosylphosphatidylinositol attachment to proteins 6 [Source:HGNC Symbol;Acc:HGNC:17205]	12856	-0.012753075920045376	-0.4510102	Yes	
row_51	METRN	meteorin, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:14151]	12869	-0.012788859196007252	-0.4453949	Yes	
row_52	CLDN6	claudin 6 [Source:HGNC Symbol;Acc:HGNC:2048]	12939	-0.013005093671381474	-0.44250005	Yes	
row_53	HBM	hemoglobin subunit mu [Source:HGNC Symbol;Acc:HGNC:4826]	13124	-0.01360592246055603	-0.44501385	Yes	
row_54	RNF151	ring finger protein 151 [Source:HGNC Symbol;Acc:HGNC:23235]	13419	-0.014471759088337421	-0.45255974	Yes	
row_55	NME3	NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851]	13520	-0.01477892603725195	-0.45034018	Yes	
row_56	PTX4	pentraxin 4 [Source:HGNC Symbol;Acc:HGNC:14171]	13641	-0.015218246728181839	-0.44889864	Yes	
row_57	GFER	growth factor, augmenter of liver regeneration [Source:HGNC Symbol;Acc:HGNC:4236]	13660	-0.01525657158344984	-0.44238248	Yes	
row_58	SLC9A3R2	SLC9A3 regulator 2 [Source:HGNC Symbol;Acc:HGNC:11076]	13685	-0.015339868143200874	-0.4361233	Yes	
row_59	RHBDF1	rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]	13736	-0.015539020299911499	-0.4310562	Yes	
row_60	TSR3	TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]	13751	-0.015576931647956371	-0.4241862	Yes	
row_61	MSLNL	mesothelin like [Source:HGNC Symbol;Acc:HGNC:14170]	13753	-0.015595225617289543	-0.41666293	Yes	
row_62	RHBDL1	rhomboid like 1 [Source:HGNC Symbol;Acc:HGNC:10007]	13771	-0.015634147450327873	-0.40991387	Yes	
row_63	ZSCAN10	zinc finger and SCAN domain containing 10 [Source:HGNC Symbol;Acc:HGNC:12997]	13845	-0.01587286777794361	-0.40582472	Yes	
row_64	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	13886	-0.01600477658212185	-0.40003577	Yes	
row_65	HCFC1R1	host cell factor C1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:21198]	13912	-0.01606196165084839	-0.3934755	Yes	
row_66	EME2	essential meiotic structure-specific endonuclease subunit 2 [Source:HGNC Symbol;Acc:HGNC:27289]	14003	-0.01634414680302143	-0.3900002	Yes	
row_67	FAHD1	fumarylacetoacetate hydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14169]	14290	-0.01718960888683796	-0.3958298	Yes	
row_68	SNRNP25	small nuclear ribonucleoprotein U11/U12 subunit 25 [Source:HGNC Symbol;Acc:HGNC:14161]	14294	-0.017193125560879707	-0.38762975	Yes	
row_69	TBL3	transducin beta like 3 [Source:HGNC Symbol;Acc:HGNC:11587]	14442	-0.01773778535425663	-0.38630313	Yes	
row_70	SRRM2	serine/arginine repetitive matrix 2 [Source:HGNC Symbol;Acc:HGNC:16639]	14592	-0.018272709101438522	-0.38481587	Yes	
row_71	KREMEN2	kringle containing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:18797]	14958	-0.019612058997154236	-0.3933851	Yes	
row_72	ANTKMT	adenine nucleotide translocase lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:14152]	14963	-0.019621416926383972	-0.38405547	Yes	
row_73	CACNA1H	calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395]	15026	-0.01983403041958809	-0.37749758	Yes	
row_74	MPG	N-methylpurine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7211]	15043	-0.019906504079699516	-0.36862436	Yes	
row_75	TPSAB1	tryptase alpha/beta 1 [Source:HGNC Symbol;Acc:HGNC:12019]	15053	-0.01995520293712616	-0.35938048	Yes	
row_76	STUB1	STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]	15072	-0.020043831318616867	-0.35053968	Yes	
row_77	JMJD8	jumonji domain containing 8 [Source:HGNC Symbol;Acc:HGNC:14148]	15122	-0.020239369943737984	-0.3431406	Yes	
row_78	RPUSD1	RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]	15123	-0.020240260288119316	-0.33331218	Yes	
row_79	NPRL3	NPR3 like, GATOR1 complex subunit [Source:HGNC Symbol;Acc:HGNC:14124]	15153	-0.020379595458507538	-0.32485363	Yes	
row_80	DECR2	2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754]	15190	-0.020541559904813766	-0.31666338	Yes	
row_81	NUBP2	nucleotide binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8042]	15345	-0.021077942103147507	-0.3140618	Yes	
