NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	9663	-0.0023408837150782347	-0.4733051	No	
row_1	CCNF	cyclin F [Source:HGNC Symbol;Acc:HGNC:1591]	14843	-0.019128544256091118	-0.701486	No	
row_2	FDFT1	farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629]	15995	-0.0236763097345829	-0.7244927	Yes	
row_3	MSMO1	methylsterol monooxygenase 1 [Source:HGNC Symbol;Acc:HGNC:10545]	16105	-0.024122783914208412	-0.69546425	Yes	
row_4	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	16216	-0.02455599419772625	-0.66586727	Yes	
row_5	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	16288	-0.024965669959783554	-0.63376224	Yes	
row_6	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	17046	-0.02916783280670643	-0.629502	Yes	
row_7	CX3CR1	C-X3-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:2558]	17204	-0.03029925934970379	-0.59403205	Yes	
row_8	GLI2	GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]	17271	-0.03071724623441696	-0.5534772	Yes	
row_9	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	17418	-0.031720537692308426	-0.51543754	Yes	
row_10	INAVA	innate immunity activator [Source:HGNC Symbol;Acc:HGNC:25599]	17530	-0.03259271755814552	-0.47442755	Yes	
row_11	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	18256	-0.03895695507526398	-0.45462713	Yes	
row_12	UNG	uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572]	18826	-0.046606577932834625	-0.4162215	Yes	
row_13	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	18831	-0.04666416347026825	-0.34986416	Yes	
row_14	RRP1B	ribosomal RNA processing 1B [Source:HGNC Symbol;Acc:HGNC:23818]	19085	-0.05105829983949661	-0.28952202	Yes	
row_15	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	19349	-0.05773473158478737	-0.22015092	Yes	
row_16	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	20009	-0.09214523434638977	-0.12123528	Yes	
row_17	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	20035	-0.09468681365251541	0.012578394	Yes	
