NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC29A1	solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]	2803	0.034638017416000366	-0.116017714	No	
row_1	GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2 [Source:HGNC Symbol;Acc:HGNC:4087]	3430	0.029081430286169052	-0.12811032	No	
row_2	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	4224	0.023183660581707954	-0.15226892	No	
row_3	CBX5	chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555]	5496	0.015537277795374393	-0.20498577	No	
row_4	UCHL1	ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]	7619	0.005505694076418877	-0.30622736	No	
row_5	E2F5	E2F transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3119]	7690	0.0052497657015919685	-0.30628628	No	
row_6	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	8026	0.0038038312923163176	-0.32036957	No	
row_7	ERP29	endoplasmic reticulum protein 29 [Source:HGNC Symbol;Acc:HGNC:13799]	9316	-0.0010946508264169097	-0.3833247	No	
row_8	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	11084	-0.0071811676025390625	-0.46594825	No	
row_9	DAG1	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	11324	-0.007879701443016529	-0.47265163	No	
row_10	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	12661	-0.012172780930995941	-0.5307568	No	
row_11	COX8A	cytochrome c oxidase subunit 8A [Source:HGNC Symbol;Acc:HGNC:2294]	14188	-0.01692141219973564	-0.5951721	No	
row_12	BYSL	bystin like [Source:HGNC Symbol;Acc:HGNC:1157]	14748	-0.018774742260575294	-0.6106275	No	
row_13	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	14786	-0.01889004372060299	-0.60022664	No	
row_14	SNRPA1	small nuclear ribonucleoprotein polypeptide A' [Source:HGNC Symbol;Acc:HGNC:11152]	15238	-0.020703792572021484	-0.6090992	No	
