NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL22	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]	6787	0.00917944498360157	-0.33342257	No	
row_1	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	8282	0.0027380334213376045	-0.4066132	No	
row_2	RPL26L1	ribosomal protein L26 like 1 [Source:HGNC Symbol;Acc:HGNC:17050]	8743	9.615338640287519E-4	-0.4291147	No	
row_3	RPL37	ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347]	9191	-6.497398717328906E-4	-0.45106143	No	
row_4	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]	9222	-7.527443231083453E-4	-0.45233217	No	
row_5	RPS4Y1	ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]	9688	-0.002429855288937688	-0.47466254	No	
row_6	RPL5	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	10374	-0.0047882492654025555	-0.5072131	No	
row_7	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	11084	-0.0071811676025390625	-0.54026973	No	
row_8	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	11391	-0.008078274317085743	-0.55311704	No	
row_9	RPL19	ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:10312]	11519	-0.008498414419591427	-0.55698186	No	
row_10	RPL23	ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316]	12448	-0.01145187672227621	-0.59966385	No	
row_11	RPL4	ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353]	12625	-0.01206056959927082	-0.60493904	No	
row_12	RPS28	ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]	13605	-0.015047909691929817	-0.6491208	No	
row_13	RPL6	ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]	13681	-0.015331566333770752	-0.6484626	No	
row_14	RPL15	ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:10306]	13730	-0.01550702378153801	-0.6464175	No	
row_15	RPL30	ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]	13784	-0.015663357451558113	-0.6445754	No	
row_16	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	13832	-0.015816984698176384	-0.6423924	No	
row_17	RPS29	ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419]	14048	-0.01652371883392334	-0.648326	No	
row_18	RPS4Y2	ribosomal protein S4 Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:18501]	14438	-0.017731336876749992	-0.6625303	No	
row_19	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	14786	-0.01889004372060299	-0.67432475	No	
row_20	RPL8	ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]	15712	-0.02249373309314251	-0.7137098	No	
row_21	RPL26	ribosomal protein L26 [Source:HGNC Symbol;Acc:HGNC:10327]	15810	-0.022865114733576775	-0.7119927	No	
row_22	EEF2	eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]	15926	-0.0233440138399601	-0.71103024	No	
row_23	RPL10	ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:10298]	16097	-0.02409949153661728	-0.7125756	No	
row_24	EEF1G	eukaryotic translation elongation factor 1 gamma [Source:HGNC Symbol;Acc:HGNC:3213]	16255	-0.024767551571130753	-0.71328676	No	
row_25	EEF1A2	eukaryotic translation elongation factor 1 alpha 2 [Source:HGNC Symbol;Acc:HGNC:3192]	16342	-0.025242429226636887	-0.7103472	No	
row_26	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	16716	-0.02732916735112667	-0.7210226	Yes	
row_27	RPS12	ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]	16863	-0.02810024656355381	-0.72023886	Yes	
row_28	RPL37A	ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]	16972	-0.028717173263430595	-0.71739775	Yes	
row_29	RPS15A	ribosomal protein S15a [Source:HGNC Symbol;Acc:HGNC:10389]	17004	-0.0288992989808321	-0.7106923	Yes	
row_30	RPL38	ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:10349]	17047	-0.029173176735639572	-0.70445335	Yes	
row_31	RPS24	ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:10411]	17162	-0.029939766973257065	-0.7015607	Yes	
row_32	RPS10	ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]	17227	-0.030444486066699028	-0.6960485	Yes	
row_33	RPS3	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	17385	-0.03149857372045517	-0.6948404	Yes	
row_34	RPLP0	ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]	17433	-0.03184407576918602	-0.6880874	Yes	
row_35	RPS14	ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]	17450	-0.031994570046663284	-0.67975664	Yes	
