NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX52	DExD-box helicase 52 [Source:HGNC Symbol;Acc:HGNC:20038]	2043	0.043309349566698074	-0.07991044	No	
row_1	UTP6	UTP6 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:18279]	2894	0.033749181777238846	-0.1055037	No	
row_2	UTP11	UTP11 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24329]	3717	0.02669166401028633	-0.13314694	No	
row_3	UTP14C	UTP14C small subunit processome component [Source:HGNC Symbol;Acc:HGNC:20321]	5646	0.014692181721329689	-0.22129741	No	
row_4	RRP36	ribosomal RNA processing 36 [Source:HGNC Symbol;Acc:HGNC:21374]	6997	0.008239222690463066	-0.28401768	No	
row_5	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	7303	0.006873109843581915	-0.2957493	No	
row_6	FCF1	FCF1 rRNA-processing protein [Source:HGNC Symbol;Acc:HGNC:20220]	7706	0.005185127258300781	-0.31309685	No	
row_7	MPHOSPH10	M-phase phosphoprotein 10 [Source:HGNC Symbol;Acc:HGNC:7213]	7946	0.004106536973267794	-0.32291228	No	
row_8	WDR36	WD repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:30696]	8185	0.0031666350550949574	-0.33313558	No	
row_9	WDR75	WD repeat domain 75 [Source:HGNC Symbol;Acc:HGNC:25725]	8451	0.002080508042126894	-0.34522197	No	
row_10	RRP7A	ribosomal RNA processing 7 homolog A [Source:HGNC Symbol;Acc:HGNC:24286]	9897	-0.003167525865137577	-0.4151058	No	
row_11	KRR1	KRR1 small subunit processome component homolog [Source:HGNC Symbol;Acc:HGNC:5176]	10940	-0.006753477267920971	-0.46332484	No	
row_12	NOC4L	nucleolar complex associated 4 homolog [Source:HGNC Symbol;Acc:HGNC:28461]	10989	-0.006898689083755016	-0.4623407	No	
row_13	BUD23	BUD23 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:16405]	11120	-0.007280162535607815	-0.46522415	No	
row_14	IMP3	IMP U3 small nucleolar ribonucleoprotein 3 [Source:HGNC Symbol;Acc:HGNC:14497]	11166	-0.0074145058169960976	-0.46384075	No	
row_15	NOL11	nucleolar protein 11 [Source:HGNC Symbol;Acc:HGNC:24557]	11634	-0.008836276829242706	-0.48262465	No	
row_16	BMS1	BMS1 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:23505]	11941	-0.00981384888291359	-0.4929748	No	
row_17	TSR3	TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]	13751	-0.015576931647956371	-0.5748127	No	
row_18	UTP15	UTP15 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:25758]	14391	-0.01755257323384285	-0.59785724	No	
row_19	TBL3	transducin beta like 3 [Source:HGNC Symbol;Acc:HGNC:11587]	14442	-0.01773778535425663	-0.591698	No	
row_20	NOP58	NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:29926]	14465	-0.017810963094234467	-0.5841191	No	
row_21	SNU13	small nuclear ribonucleoprotein 13 [Source:HGNC Symbol;Acc:HGNC:7819]	14852	-0.01915491372346878	-0.5938784	No	
row_22	DDX47	DEAD-box helicase 47 [Source:HGNC Symbol;Acc:HGNC:18682]	15298	-0.020914331078529358	-0.605698	No	
row_23	DDX49	DEAD-box helicase 49 [Source:HGNC Symbol;Acc:HGNC:18684]	16229	-0.02462976984679699	-0.6396828	No	
row_24	UTP18	UTP18 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24274]	16416	-0.025681957602500916	-0.6363805	No	
row_25	RPS14	ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]	17450	-0.031994570046663284	-0.67187303	Yes	
row_26	IMP4	IMP U3 small nucleolar ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:30856]	17709	-0.03394262120127678	-0.66811013	Yes	
