NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TFB1M	transcription factor B1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17037]	1580	0.0505136214196682	-0.07109199	No	
row_1	MTERF4	mitochondrial transcription termination factor 4 [Source:HGNC Symbol;Acc:HGNC:28785]	1751	0.04772531986236572	-0.072413504	No	
row_2	NOL9	nucleolar protein 9 [Source:HGNC Symbol;Acc:HGNC:26265]	1858	0.0460907481610775	-0.07079376	No	
row_3	DDX52	DExD-box helicase 52 [Source:HGNC Symbol;Acc:HGNC:20038]	2043	0.043309349566698074	-0.07347291	No	
row_4	RIOK2	RIO kinase 2 [Source:HGNC Symbol;Acc:HGNC:18999]	2153	0.041817471385002136	-0.072641894	No	
row_5	EXOSC10	exosome component 10 [Source:HGNC Symbol;Acc:HGNC:9138]	2648	0.0363166518509388	-0.09179864	No	
row_6	MRM3	mitochondrial rRNA methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:18485]	2760	0.035079047083854675	-0.09207541	No	
row_7	UTP6	UTP6 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:18279]	2894	0.033749181777238846	-0.09364627	No	
row_8	UTP11	UTP11 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24329]	3717	0.02669166401028633	-0.13057049	No	
row_9	RPP25	ribonuclease P and MRP subunit p25 [Source:HGNC Symbol;Acc:HGNC:30361]	3832	0.025786327198147774	-0.132387	No	
row_10	PELP1	proline, glutamate and leucine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:30134]	4496	0.021459901705384254	-0.16217923	No	
row_11	RPP30	ribonuclease P/MRP subunit p30 [Source:HGNC Symbol;Acc:HGNC:17688]	4660	0.020435621961951256	-0.16723548	No	
row_12	RIOK3	RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]	4678	0.020289799198508263	-0.16504589	No	
row_13	NSUN4	NOP2/Sun RNA methyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:31802]	4848	0.0193089097738266	-0.17056938	No	
row_14	UTP14C	UTP14C small subunit processome component [Source:HGNC Symbol;Acc:HGNC:20321]	5646	0.014692181721329689	-0.20804454	No	
row_15	RPP21	ribonuclease P/MRP subunit p21 [Source:HGNC Symbol;Acc:HGNC:21300]	6137	0.01208223681896925	-0.2306282	No	
row_16	ELAC2	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]	6349	0.011032112874090672	-0.23948081	No	
row_17	RPL22	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]	6787	0.00917944498360157	-0.25986055	No	
row_18	RRP36	ribosomal RNA processing 36 [Source:HGNC Symbol;Acc:HGNC:21374]	6997	0.008239222690463066	-0.26903147	No	
