NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HNMT	histamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:5028]	1367	0.05476851761341095	-0.054294858	No	
row_1	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	2650	0.03631419315934181	-0.108914554	No	
row_2	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	3704	0.026757152751088142	-0.15453276	No	
row_3	SARS1	seryl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:10537]	3827	0.025808826088905334	-0.1542334	No	
row_4	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	5269	0.016717838123440742	-0.22155418	No	
row_5	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	6737	0.009372099302709103	-0.29197028	No	
row_6	RPL22	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]	6787	0.00917944498360157	-0.29214182	No	
row_7	GNMT	glycine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4415]	7113	0.007783340290188789	-0.30633834	No	
row_8	QARS1	glutaminyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9751]	7661	0.005355239845812321	-0.3321368	No	
row_9	RPL26L1	ribosomal protein L26 like 1 [Source:HGNC Symbol;Acc:HGNC:17050]	8743	9.615338640287519E-4	-0.3854868	No	
row_10	RPL37	ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347]	9191	-6.497398717328906E-4	-0.40748537	No	
row_11	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]	9222	-7.527443231083453E-4	-0.40878737	No	
row_12	MARS1	methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898]	9490	-0.0016479218611493707	-0.42161763	No	
row_13	EPRS1	glutamyl-prolyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:3418]	9570	-0.0019566414412111044	-0.42505255	No	
row_14	RPS4Y1	ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]	9688	-0.002429855288937688	-0.43025482	No	
