NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPCS2	signal peptidase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28962]	1688	0.048516906797885895	-0.070828736	No	
row_1	SRP14	signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]	4021	0.024465491995215416	-0.17993206	No	
row_2	SSR1	signal sequence receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:11323]	4075	0.024117950350046158	-0.17618246	No	
row_3	SEC11C	SEC11 homolog C, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:23400]	4159	0.023621782660484314	-0.17405081	No	
row_4	SEC61A2	SEC61 translocon subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:17702]	4670	0.020372597500681877	-0.19393982	No	
row_5	SEC61B	SEC61 translocon subunit beta [Source:HGNC Symbol;Acc:HGNC:16993]	4815	0.01952803134918213	-0.19591355	No	
row_6	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:2728]	5658	0.014629370532929897	-0.23377451	No	
row_7	RPL22	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]	6787	0.00917944498360157	-0.28725016	No	
row_8	SEC11A	SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]	7229	0.007232522126287222	-0.30719352	No	
row_9	SEC61G	SEC61 translocon subunit gamma [Source:HGNC Symbol;Acc:HGNC:18277]	8171	0.0032145935110747814	-0.35297862	No	
row_10	RPN2	ribophorin II [Source:HGNC Symbol;Acc:HGNC:10382]	8246	0.0028762107249349356	-0.35588557	No	
row_11	RPL26L1	ribosomal protein L26 like 1 [Source:HGNC Symbol;Acc:HGNC:17050]	8743	9.615338640287519E-4	-0.3802126	No	
row_12	SRP19	signal recognition particle 19 [Source:HGNC Symbol;Acc:HGNC:11300]	8791	7.755818660371006E-4	-0.38233683	No	
row_13	RPL37	ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347]	9191	-6.497398717328906E-4	-0.40193906	No	
row_14	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]	9222	-7.527443231083453E-4	-0.40322682	No	
row_15	RPS4Y1	ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]	9688	-0.002429855288937688	-0.42562932	No	
row_16	TRAM1	translocation associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:20568]	10123	-0.003954525571316481	-0.4460924	No	
row_17	RPL5	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	10374	-0.0047882492654025555	-0.45721623	No	
row_18	SRP54	signal recognition particle 54 [Source:HGNC Symbol;Acc:HGNC:11301]	10500	-0.005219060927629471	-0.4620313	No	
row_19	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	11084	-0.0071811676025390625	-0.48902562	No	
row_20	SRP68	signal recognition particle 68 [Source:HGNC Symbol;Acc:HGNC:11302]	11291	-0.007766730152070522	-0.49718142	No	
row_21	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	11391	-0.008078274317085743	-0.49995205	No	
row_22	RPL19	ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:10312]	11519	-0.008498414419591427	-0.50399923	No	
