NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOX4	SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]	903	0.06716754287481308	-0.026358152	No	
row_1	SRSF11	serine and arginine rich splicing factor 11 [Source:HGNC Symbol;Acc:HGNC:10782]	1037	0.06272083520889282	-0.015728232	No	
row_2	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	1746	0.04778338596224785	-0.03773486	No	
row_3	NMT1	N-myristoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7857]	2523	0.03776274248957634	-0.06586857	No	
row_4	SLC29A1	solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]	2803	0.034638017416000366	-0.0701981	No	
row_5	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	3695	0.0268042404204607	-0.107048795	No	
row_6	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	4030	0.024408243596553802	-0.11691775	No	
row_7	MGST1	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]	4543	0.021252714097499847	-0.13648643	No	
row_8	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	4690	0.02021787129342556	-0.1381774	No	
row_9	SLC39A7	solute carrier family 39 member 7 [Source:HGNC Symbol;Acc:HGNC:4927]	5186	0.017246408388018608	-0.15800303	No	
row_10	HK1	hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922]	5415	0.0159213375300169	-0.16494337	No	
row_11	PSMD1	proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]	5600	0.014944133348762989	-0.16996874	No	
row_12	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	5875	0.01342072058469057	-0.17987865	No	
row_13	SF3A3	splicing factor 3a subunit 3 [Source:HGNC Symbol;Acc:HGNC:10767]	6300	0.011286458000540733	-0.19781831	No	
row_14	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	6390	0.010865923017263412	-0.1992498	No	
row_15	SLC1A3	solute carrier family 1 member 3 [Source:HGNC Symbol;Acc:HGNC:10941]	6611	0.009892811998724937	-0.20744923	No	
row_16	UBAP2L	ubiquitin associated protein 2 like [Source:HGNC Symbol;Acc:HGNC:29877]	6650	0.00972291175276041	-0.20666397	No	
row_17	DNAJC7	DnaJ heat shock protein family (Hsp40) member C7 [Source:HGNC Symbol;Acc:HGNC:12392]	7043	0.008077900856733322	-0.22389708	No	
row_18	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F [Source:HGNC Symbol;Acc:HGNC:19388]	7730	0.005052277818322182	-0.2565505	No	
row_19	MLEC	malectin [Source:HGNC Symbol;Acc:HGNC:28973]	7809	0.004730440676212311	-0.2591216	No	
row_20	P2RX4	purinergic receptor P2X 4 [Source:HGNC Symbol;Acc:HGNC:8535]	7840	0.00459055183455348	-0.25934923	No	
row_21	EIF4H	eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741]	8215	0.0030348615255206823	-0.2770745	No	
row_22	SNRNP70	small nuclear ribonucleoprotein U1 subunit 70 [Source:HGNC Symbol;Acc:HGNC:11150]	8217	0.0030285383109003305	-0.27629215	No	
row_23	HDLBP	high density lipoprotein binding protein [Source:HGNC Symbol;Acc:HGNC:4857]	8447	0.002090293914079666	-0.28708157	No	
row_24	XRCC5	X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]	8507	0.0018775216303765774	-0.28949356	No	
row_25	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	8622	0.0014412949094548821	-0.29475462	No	
row_26	SON	SON DNA and RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11183]	8734	9.797400562092662E-4	-0.29999363	No	
row_27	SEC24C	SEC24 homolog C, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10705]	8736	9.769045282155275E-4	-0.2997749	No	
row_28	NARS1	asparaginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7643]	8795	7.541812374256551E-4	-0.30244583	No	
row_29	BRD2	bromodomain containing 2 [Source:HGNC Symbol;Acc:HGNC:1103]	8994	9.886446787277237E-5	-0.312244	No	
row_30	PRRC2A	proline rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]	9061	-1.4315579028334469E-4	-0.3154798	No	
row_31	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	9170	-5.785617395304143E-4	-0.3206801	No	
row_32	CHD4	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]	9217	-7.328347419388592E-4	-0.32276145	No	
row_33	MOGS	mannosyl-oligosaccharide glucosidase [Source:HGNC Symbol;Acc:HGNC:24862]	9370	-0.001274416921660304	-0.32995406	No	
row_34	USP5	ubiquitin specific peptidase 5 [Source:HGNC Symbol;Acc:HGNC:12628]	9473	-0.001596097950823605	-0.3345771	No	
row_35	PABPC4	poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]	9609	-0.0021121958270668983	-0.34069598	No	
row_36	H4C3	H4 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4787]	9616	-0.0021380663383752108	-0.3404064	No	
row_37	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]	9980	-0.0034344769082963467	-0.357476	No	
row_38	SCAP	SREBF chaperone [Source:HGNC Symbol;Acc:HGNC:30634]	10221	-0.0043068258091807365	-0.3682024	No	
row_39	GALK1	galactokinase 1 [Source:HGNC Symbol;Acc:HGNC:4118]	10549	-0.005424242001026869	-0.38293898	No	
row_40	EDC4	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]	10707	-0.005931203719228506	-0.38910046	No	
row_41	DDT	D-dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2732]	10792	-0.006235023494809866	-0.39155596	No	
row_42	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	10808	-0.006285395007580519	-0.39057368	No	
row_43	RARS1	arginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9870]	10905	-0.006650635041296482	-0.39351052	No	
row_44	SSBP1	single stranded DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11317]	11276	-0.007728861179202795	-0.4097478	No	
row_45	RPIA	ribose 5-phosphate isomerase A [Source:HGNC Symbol;Acc:HGNC:10297]	11321	-0.007872146554291248	-0.4097687	No	
row_46	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	11524	-0.008512531407177448	-0.41745406	No	
row_47	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]	11893	-0.009679590351879597	-0.43305627	No	
row_48	SKIV2L	Ski2 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:10898]	11898	-0.009689046069979668	-0.4305931	No	
row_49	BMS1	BMS1 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:23505]	11941	-0.00981384888291359	-0.42998135	No	
row_50	RASSF7	Ras association domain family member 7 [Source:HGNC Symbol;Acc:HGNC:1166]	12172	-0.010584022849798203	-0.4384871	No	
row_51	KRT6B	keratin 6B [Source:HGNC Symbol;Acc:HGNC:6444]	12239	-0.010827561840415001	-0.43878785	No	
row_52	SRPK1	SRSF protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:11305]	12809	-0.012598651461303234	-0.46356234	No	
row_53	PHKG2	phosphorylase kinase catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:8931]	13051	-0.013348829001188278	-0.47185445	No	
row_54	RAE1	ribonucleic acid export 1 [Source:HGNC Symbol;Acc:HGNC:9828]	13056	-0.013361320830881596	-0.4683825	No	
row_55	VDAC1	voltage dependent anion channel 1 [Source:HGNC Symbol;Acc:HGNC:12669]	13117	-0.013587606139481068	-0.4676273	No	
row_56	KAT2A	lysine acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201]	13154	-0.013698616996407509	-0.46565062	No	
row_57	KDM5C	lysine demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	13304	-0.014093303121626377	-0.46917292	No	
row_58	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	13358	-0.014243938960134983	-0.46789005	No	
row_59	AP3D1	adaptor related protein complex 3 subunit delta 1 [Source:HGNC Symbol;Acc:HGNC:568]	13406	-0.014432841911911964	-0.46625754	No	
row_60	NME3	NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851]	13520	-0.01477892603725195	-0.46780506	No	
row_61	SRM	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	13919	-0.016079790890216827	-0.48313776	No	
row_62	MANF	mesencephalic astrocyte derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:15461]	13943	-0.01615075394511223	-0.4798424	No	
row_63	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	14171	-0.016881775110960007	-0.48646927	No	
row_64	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	14382	-0.017534852027893066	-0.49207315	No	
row_65	HSF1	heat shock transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5224]	14425	-0.017675362527370453	-0.48930177	No	
row_66	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	14596	-0.018288562074303627	-0.4927137	Yes	
row_67	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	14695	-0.018603503704071045	-0.49246624	Yes	
row_68	BYSL	bystin like [Source:HGNC Symbol;Acc:HGNC:1157]	14748	-0.018774742260575294	-0.48988912	Yes	
row_69	POLRMT	RNA polymerase mitochondrial [Source:HGNC Symbol;Acc:HGNC:9200]	14828	-0.019071832299232483	-0.48857018	Yes	
