"","Row.names","ABCF1","ASF1B","ASS1","CDCA7","CHAF1B","DDX21","DNMT1","DUT","EMB","FEN1","GRWD1","HELLS","HMGA1","HMGB2","IFI16","IFRD2","LY6H","MCM3","MCM5","MCM6","MSH6","NAP1L4","POLA2","POLD1","PRPS1","RAD51","RNASE2","RRM2","SERPINA3","SMC2","SNX5","VCAN","EFS_fct"
"1","PAAPFA",8.490067,7.483151,8.038482,6.910651,6.207147,8.689832,8.439919,7.141003,5.647743,8.374677,7.411413,7.689529,8.474129,9.581245,6.43587,6.993573,6.547923,8.100107,8.391546,7.865076,7.969181,9.028785,8.011804,7.301996,7.736054,6.511142,3.841351,8.943376,5.115919,7.619041,8.188065,8.42243,"EFS_L5"
"2","PACLJN",8.16726,7.421707,7.298562,6.16817,6.224014,7.779103,8.154208,7.378145,6.638949,7.745079,7.803002,6.680695,8.636251,8.568656,6.429589,6.819349,6.624185,7.746814,7.98922,7.617884,7.558793,8.383287,7.497235,7.387792,7.437484,6.097605,4.001627,8.047068,5.454578,7.75261,7.566437,8.265994,"EFS_G5"
"4","PACRYY",8.326152,7.558174,6.897499,7.530009,6.814353,7.914378,8.644217,7.379907,6.057881,8.415777,7.545369,8.184833,8.26067,9.788514,6.844701,6.97493,6.276862,8.199748,9.02738,9.252668,8.419922,8.775205,8.824898,7.438632,8.153482,7.322606,4.160323,9.009549,4.764244,7.895643,8.053629,7.710294,"EFS_G5"
"5","PACRZM",8.596669,6.653817,7.011008,6.562438,5.935114,7.819473,7.950331,7.543574,6.306196,7.81313,7.619101,6.046891,8.834267,8.342129,6.23623,7.298154,7.925178,7.78682,8.421938,8.157352,7.728577,8.205604,7.189281,7.462757,7.793448,5.604124,4.630176,7.445129,5.051994,7.156089,7.560096,7.009179,"EFS_L5"
"6","PACSNL",8.846738,6.564922,7.567957,7.350417,6.572386,9.350418,8.420789,8.05763,7.668437,8.058966,7.661603,7.121705,8.329151,8.800555,8.286078,7.052639,6.1038,8.417885,8.57684,8.697277,8.568189,8.432584,7.746536,7.424187,8.50279,6.893616,4.051037,7.285916,4.479096,7.283332,8.493665,7.80782,"EFS_L5"
"7","PACSSR",8.104417,6.766733,7.625778,6.949042,6.403675,7.722734,8.962314,6.789217,4.744963,6.550487,7.260865,7.37231,8.245531,9.018459,5.367533,7.512916,7.087983,7.380301,7.807511,6.98125,7.251007,8.376527,7.098611,7.955502,5.444501,6.104904,3.538326,7.293424,5.003432,6.360591,7.683959,6.120891,"EFS_L5"
"8","PACUGP",8.265559,6.769766,6.495183,7.456591,6.535251,8.509648,8.535164,7.723343,6.683818,8.203796,7.469875,8.03975,8.309698,9.313531,5.976152,6.960526,6.3415,8.132576,8.894604,8.836828,7.99006,8.349125,7.750732,7.634776,7.787156,6.985445,3.715359,8.293722,4.741323,7.2883,8.048692,9.978961,"EFS_L5"
"9","PACVNB",7.888771,6.755616,8.896073,6.342304,6.40157,7.727914,8.216115,6.991268,6.406646,7.654815,7.590934,6.927204,8.390641,8.600659,7.16919,7.134054,8.02437,7.358389,7.945998,8.133728,7.900853,8.310914,7.302322,7.31442,7.803991,5.853555,3.896279,7.324928,5.462762,6.49409,7.631601,8.631207,"EFS_L5"
"10","PACYGY",7.909981,7.029626,6.740618,6.464987,5.750211,7.278373,8.22869,7.36393,5.501611,7.861587,7.359982,7.064171,8.287557,8.565484,6.18516,7.064615,6.571047,7.592753,8.520822,7.701628,7.360737,8.430799,7.7083,7.235127,6.899903,6.601575,4.171236,7.876536,4.770244,7.190205,7.620557,7.236643,"EFS_L5"
"11","PACZPX",8.183872,6.165804,6.671471,7.23444,6.216658,7.302924,8.018206,6.92198,5.928175,6.981001,6.635043,8.170522,8.208654,9.955815,6.7593,6.840382,6.295587,7.959237,8.061459,8.112654,7.80453,8.085549,6.906047,7.205594,6.695337,5.852605,3.584943,10.568068,4.366851,7.186061,7.836885,8.67368,"EFS_G5"
"12","PADENF",7.839941,7.256361,5.942352,7.123293,6.687405,7.464746,8.429024,7.398394,5.430802,7.973747,7.117097,7.694046,8.180042,9.283337,6.21468,6.846269,6.155637,8.19568,8.63295,8.803969,8.40268,8.585915,7.86235,7.525455,7.688728,6.904474,4.14719,8.523824,4.404189,7.703361,7.788019,7.323499,"EFS_G5"
"13","PADFLI",8.033371,7.72166,6.549047,7.923329,7.062911,8.96506,8.608687,7.743852,6.379781,8.662304,8.038814,8.233232,8.680214,9.537476,7.735088,7.046972,6.47368,8.410719,9.392618,9.371054,8.081828,8.829966,8.743515,7.982144,8.494289,7.300725,4.168317,8.626777,4.623531,8.286307,8.460492,7.456037,"EFS_G5"
"14","PADHWC",7.671477,5.35218,7.099507,4.599097,5.331263,7.838982,7.49269,6.640338,5.983497,6.864207,7.331247,5.199418,7.86322,6.801954,8.481818,6.598069,6.739623,6.338975,7.270659,6.56334,6.93016,8.286403,6.26009,7.08227,7.954734,4.681462,4.194856,5.32931,8.218837,5.861745,7.618493,8.912091,"EFS_L5"
"15","PADIEY",8.498587,7.321663,6.374432,7.296043,6.577583,7.341814,8.425662,7.209379,4.91291,7.810215,7.226274,7.694596,8.322866,9.027737,6.044301,6.962635,6.30868,8.180962,9.296592,7.871671,7.378209,8.077071,8.485184,7.67717,8.120706,6.676542,3.70436,7.51323,4.724028,7.560825,7.553789,7.390373,"EFS_G5"
"16","PADIHC",8.107221,6.944893,6.53481,7.144798,6.208123,7.955524,7.552451,7.424743,4.922936,7.890784,7.717492,7.510766,8.265236,9.006128,5.134978,6.953812,6.35559,8.200091,8.927862,8.65047,7.802859,8.39168,7.769057,7.758107,7.870661,6.740405,4.3275,8.062226,5.138317,7.22141,7.72745,6.787625,"EFS_L5"
