"","Row.names","ALDOA","APRT","ASCL1","CALR","CCT3","CCT5","CEACAM6","CLDN9","COL11A1","CRABP2","CRH","DPP7","DSP","EEF1A2","EEF1D","EIF3C","ENC1","ENO1","FGB","FGG","GIPR","HDGF","HPN","HSPA5","HSPD1","HSPE1","IGFBP2","IGFBP3","IGKC","KDELR1","LAPTM4B","LDHA","LDHB","LTF","MDK","NACA","NME1","NME2","NME4","NTS","ODC1","PABPC1","PFN2","PHLDA2","PLP2","POSTN","PRDX4","PSMD8","RPL10A","RPL13","RPL17","RPL23A","RPL27","RPL27A","RPL28","RPL31","RPL35","RPL36A","RPL37A","RPL38","RPL7","RPL8","RPS10","RPS16","RPS2","RPS21","RPS27","RPS4X","RPS5","RPS7","SLC7A5","SNRPD2","SNRPE","SPP1","SSR4","TALDO1","TIMP1","TKT","TRIM28","TSPAN8","TSTA3","UBE2C","UBE2I","UGDH","UQCRH","EFS_fct"
"1","PAAPFA",8.711298,7.450973,9.33189,9.785571,8.759175,9.391146,4.52663,6.487385,7.619173,6.26721,7.300882,7.734305,5.588164,10.290315,7.994522,10.7454,7.964118,10.460377,4.271566,3.7032,6.823706,8.407793,6.526798,9.811998,8.879745,8.035932,8.32314,7.908052,7.930033,9.532593,8.551252,10.385113,8.917953,5.76403,9.385302,7.113891,9.031323,9.109397,7.699378,6.025535,9.958366,10.896095,8.181531,7.073965,8.005013,9.860848,6.107884,8.303613,9.634085,8.825437,8.843117,9.714414,8.238175,9.259769,9.233003,7.713803,9.563127,7.377865,9.218338,9.831203,8.638304,10.142703,9.338107,10.245683,9.559375,8.340168,8.879628,10.186601,8.501387,8.831205,8.40768,7.774855,8.625624,9.118986,7.151989,8.820356,9.153341,8.279244,8.918484,2.857817,7.574981,7.744971,7.944049,7.650772,7.740848,"EFS_L5"
"2","PACLJN",8.924117,7.953687,5.70695,9.457453,8.79812,8.656824,4.644853,6.624862,6.793484,6.373839,3.957608,8.626338,5.842756,10.629359,8.241096,9.911016,7.444328,10.083666,4.310536,3.970965,6.463793,8.80101,6.682598,9.390696,7.0276,7.114638,7.82438,7.280733,7.070853,9.714912,8.924728,9.913567,8.686295,5.423686,8.814459,6.786128,8.881468,9.117781,7.905237,5.828725,8.228027,11.230994,8.579248,7.727137,8.172925,9.552513,6.053121,8.203986,9.770509,8.720278,8.827803,8.927709,8.108526,8.565084,9.710418,7.477478,9.754041,6.969161,8.515322,9.259477,8.802638,10.390732,9.558816,9.85705,9.770066,7.831128,8.696022,10.140854,8.946382,7.781166,8.392068,7.117708,7.983151,8.228607,7.49757,8.429353,8.991654,8.053026,9.716279,3.6831,8.201219,7.636273,8.006965,6.962004,7.30072,"EFS_G5"
"4","PACRYY",8.940046,7.410275,8.64584,9.637414,8.978611,8.784364,4.181816,6.444628,5.461635,5.93715,4.603978,8.222188,5.277737,10.505837,7.948997,10.326121,6.956882,10.633598,4.093239,3.323896,6.315362,8.510752,6.229325,9.795136,7.749815,7.418963,7.572239,7.391406,9.051235,9.463331,8.558516,10.490493,9.366379,5.946363,9.113267,7.37528,9.305977,9.113833,7.941392,6.352241,9.641628,10.781824,8.691112,6.986807,7.758999,7.990956,6.315969,8.167697,9.618535,8.898424,8.96418,9.500736,7.706357,8.663635,9.665769,8.153028,9.403127,7.322415,8.935489,9.693957,8.689882,10.184197,9.665435,9.930017,9.674075,8.111749,9.15053,10.234083,9.050489,8.551427,8.462633,7.736445,8.309458,10.425444,7.159059,8.977536,8.692473,7.95678,9.801517,4.16155,7.891215,8.001144,8.089298,6.740652,7.528309,"EFS_G5"
"5","PACRZM",8.736383,7.955408,6.27869,9.563388,9.521606,8.719752,4.59649,6.662255,6.521159,6.676243,3.949966,8.675083,5.462907,10.175912,8.077254,10.614836,6.769078,9.923497,4.332373,3.686651,6.779856,9.025613,6.778375,9.194121,7.77535,7.275981,8.676836,6.925851,6.655113,9.455345,9.272358,8.65001,8.885468,6.258907,9.240868,6.977601,9.481263,9.515586,8.264697,4.781285,8.656648,10.605871,8.84991,7.616652,8.054509,8.888045,6.397545,8.606733,10.207056,8.919066,9.1097,9.508969,8.155799,8.550282,9.651377,7.897167,9.800146,7.347728,9.055587,9.528758,8.968375,10.312972,10.044899,9.867094,9.869991,7.909296,9.021338,10.308508,9.338256,8.212955,8.095907,7.815428,8.685817,7.738628,7.495798,8.83124,9.228543,8.334744,9.657312,3.54552,8.440258,7.321702,8.031079,6.696694,6.938577,"EFS_L5"
"6","PACSNL",8.240599,7.348545,8.336274,9.993732,9.040432,9.545863,4.083356,6.43246,6.512511,6.430711,3.37572,7.917,5.215815,9.880067,7.890192,10.467478,6.601749,10.555622,3.981626,3.655084,6.064904,8.370156,6.091497,9.899687,8.669474,7.850034,7.776216,7.819932,8.976469,9.465288,9.299302,9.963572,9.731066,5.227504,8.783655,7.709336,8.829508,8.898285,8.344915,4.215645,8.275184,11.108715,8.75252,6.758787,7.86926,7.571636,6.284254,8.397427,9.851207,8.810844,9.270955,9.647715,8.384673,8.623462,9.988545,8.573928,9.342307,7.946323,9.253193,9.12237,8.861445,10.470179,9.580036,10.387788,9.597781,8.805417,9.353399,10.684766,9.523545,8.515429,7.973326,8.099338,8.597139,6.314188,6.919333,8.258779,8.308199,8.114338,9.753355,7.495073,8.48612,7.355412,7.919854,7.385079,8.283647,"EFS_L5"
"7","PACSSR",8.026834,8.03813,5.460916,8.662838,8.24445,7.354683,3.942781,6.654185,6.118808,6.352139,5.286764,8.753615,5.486821,8.818553,7.988503,9.901077,7.37255,8.645778,4.679871,3.922129,6.952169,7.625726,6.952668,8.299825,7.211078,6.884245,8.085845,6.441539,5.927729,7.777918,5.745931,8.004532,7.680681,5.630116,8.630023,7.42709,8.535713,8.643864,8.1196,4.935006,7.770623,10.193447,6.197663,8.006723,7.14922,5.519886,5.671951,7.737952,9.375508,8.382458,8.501982,10.019165,7.408278,7.903728,8.599951,8.182146,9.168546,7.253575,8.113353,9.275025,8.742107,8.793908,8.488805,9.268927,8.920805,7.305942,8.328615,9.641278,8.253398,7.723665,8.06073,7.832683,5.888199,7.21082,7.167188,6.846229,6.984265,7.51762,8.629568,3.276977,7.481552,7.476822,7.591699,5.395297,6.536792,"EFS_L5"
"8","PACUGP",8.289226,7.593658,4.760229,9.454043,8.449879,8.898862,4.441987,6.68875,5.764032,6.742067,3.9686,8.310772,5.386046,9.200563,8.06657,10.249476,8.188365,9.694533,4.303806,3.691466,6.512494,8.482839,6.443355,9.130182,7.817787,7.184479,7.743611,6.650367,8.204506,9.270635,8.837597,9.697192,9.443618,6.121809,9.189301,7.522959,8.521289,8.936227,8.565165,6.574624,9.385795,10.73131,8.132776,7.077292,7.764786,5.690478,6.244702,8.030939,9.859085,9.014698,8.932477,10.007288,8.396021,8.927369,9.587245,8.116857,9.743712,7.850178,9.067632,9.55322,8.901043,10.281427,9.545956,10.341495,9.587312,8.675496,9.56944,10.723982,9.514222,8.572771,6.729912,8.223769,8.773441,7.348767,7.21649,8.072633,8.051918,7.962754,9.720543,3.16424,7.910167,7.821321,8.022747,7.744157,8.210542,"EFS_L5"
"9","PACVNB",8.584518,7.622323,4.927241,9.584188,8.705488,8.688977,4.470517,6.756837,6.389179,6.500149,4.13667,8.488089,5.184522,10.017007,8.127252,9.851415,7.092443,10.715622,4.311187,3.475906,6.640886,8.200586,6.566529,9.410515,7.586063,7.205064,8.015859,7.341709,8.558989,9.123165,8.81101,9.800111,9.149141,5.736919,8.859765,7.071347,8.801591,9.661812,8.085332,4.083924,8.990439,10.9111,8.603901,7.354093,7.58899,9.998681,6.099171,8.403265,9.974023,8.88161,8.994089,9.978861,8.393137,8.41607,9.694079,8.122542,10.22204,7.458724,9.005405,9.44149,8.942559,10.322812,10.018945,10.010333,9.915619,7.787701,9.216686,10.777334,9.453549,8.132483,8.49197,7.752027,7.715325,7.888094,7.338826,8.361408,9.236516,8.378815,9.584125,4.368167,7.818582,7.194536,7.95126,7.341691,7.389223,"EFS_L5"
"10","PACYGY",9.095439,7.30422,6.78079,9.554423,8.490061,8.161721,4.647927,6.837955,6.514078,5.450077,4.199114,7.934487,5.467166,10.387972,8.110433,10.457535,7.299598,10.399729,4.359809,3.581544,6.635532,8.0577,6.823274,9.176611,7.008725,6.723174,6.743479,7.018253,8.20551,9.301567,8.550952,10.087255,9.091906,6.128159,8.818781,7.169929,8.824985,9.15581,7.928121,5.991139,8.330595,10.903599,7.871494,7.373697,7.490823,7.16146,5.738177,8.169223,9.8259,8.324086,8.571472,9.28724,7.272973,8.427487,9.763721,7.123912,9.356936,6.557097,8.181527,9.252053,8.401009,10.174604,9.64475,10.024285,9.60903,7.80384,8.714555,10.141116,8.798016,7.993313,7.668377,7.555888,7.591511,10.001988,7.161978,8.550768,8.481855,7.81223,9.503365,4.530397,7.767324,7.890571,7.903056,6.294802,6.634917,"EFS_L5"
"11","PACZPX",7.499785,7.294283,7.216343,9.54941,8.674153,8.377696,4.375263,6.376873,7.402379,5.593906,3.532796,7.921168,5.548689,9.211653,7.789857,9.88465,7.03604,9.506954,4.599615,3.698107,6.362046,8.127242,6.293941,9.369416,7.772658,7.149003,7.160234,6.86159,6.48953,8.163861,8.313276,8.927347,9.120689,5.76976,8.3858,7.192532,8.372866,8.322442,7.715632,5.660785,10.408634,10.280717,8.352161,6.9911,6.894049,10.864686,5.704027,7.483379,9.700027,8.27868,8.943122,9.966476,7.690581,7.893086,9.102464,7.431958,9.024318,6.287636,8.636532,9.074665,8.770184,9.347459,9.369491,9.878323,9.021301,7.675959,9.219008,9.758092,8.806839,7.798146,6.872529,7.601559,8.410429,6.31096,6.651846,7.425591,8.107963,7.772877,8.934814,4.006913,7.075272,7.083035,7.555657,7.061401,7.127832,"EFS_G5"
