"","Row.names","C16orf91","C1QTNF8","CACNA1H","CCDC78","CHTF18","CLDN6","CLDN9","DECR2","EME2","FAHD1","GFER","GNG13","HAGHL","HBA1","HBM","HBQ1","HCFC1R1","HS3ST6","JMJD8","KREMEN2","METRN","MPG","MRPL28","MRPS34","MSLN","MSLNL","NDUFB10","NME3","NME4","NOXO1","NPRL3","NPW","NTHL1","NUBP2","PKMYT1","POLR3K","PRSS21","PTX4","RAB11FIP3","RGS11","RHBDF1","RHBDL1","RHOT2","RNF151","RPL3L","RPS2","RPUSD1","SLC9A3R2","SNRNP25","SRRM2","STUB1","TBL3","TELO2","THOC6","TNFRSF12A","TPSAB1","TPSD1","TRAF7","UBE2I","WDR90","ZNF598","ZSCAN10","EFS_fct"
"1","PAAPFA",6.692781,6.457528,6.858511,6.962806,7.540704,4.783875,6.487385,7.029235,7.636628,6.030678,6.604503,6.438874,7.459019,9.705653,6.84577,7.265343,7.275905,7.571612,8.236558,7.997348,6.94905,7.757437,7.648205,7.875002,6.255525,7.38404,7.864748,7.058993,7.699378,6.962442,7.440447,6.477048,6.98726,7.540371,7.076258,8.389982,6.638703,6.314475,7.665373,6.008356,6.941312,6.88666,7.760996,6.340117,6.804545,9.559375,6.624081,7.621868,7.240875,9.335646,7.493914,7.303851,7.10211,7.118012,7.169052,6.7854,6.99561,7.632032,7.944049,7.664145,7.290971,6.604242,"EFS_L5"
"2","PACLJN",6.568707,6.33254,7.455821,7.061452,7.454252,4.447452,6.624862,7.328387,7.639476,6.174727,7.259727,6.790174,7.732858,7.782627,7.01782,7.485775,7.796915,7.559435,8.515765,8.132974,7.494422,7.880789,7.527172,8.249468,6.443478,7.314858,7.804592,7.433057,7.905237,7.114191,7.658756,7.336437,7.267564,7.954013,7.435116,7.91825,6.608776,6.067793,7.844622,7.453145,7.184891,7.091379,7.853891,6.394515,6.799602,9.770066,7.045888,8.474553,7.246325,9.074121,7.701535,7.541084,7.444104,7.026158,7.834142,6.788199,7.027607,7.634126,8.006965,7.496128,7.55683,6.457224,"EFS_G5"
"4","PACRYY",6.360946,6.393732,6.914304,6.665957,7.431986,4.96031,6.444628,7.090323,7.424961,6.338033,6.660353,6.159778,7.216606,8.809337,6.690165,6.909062,7.227249,7.211557,8.211729,7.637905,6.745548,7.678185,7.71723,8.078418,6.245434,7.191764,8.095653,7.249246,7.941392,6.748496,7.538293,6.495995,7.125771,7.746625,7.737409,8.467958,6.328515,5.896593,7.593933,6.298066,6.597791,6.777701,7.589944,6.014665,6.528351,9.674075,6.84496,7.785874,7.753752,9.245787,7.717654,7.549024,7.105438,7.020058,6.98457,6.478712,6.507633,7.546919,8.089298,7.270072,7.217509,6.495158,"EFS_G5"
"5","PACRZM",6.705144,6.523693,7.693655,7.124451,7.746992,4.684503,6.662255,7.488685,7.644106,6.826663,7.201934,6.874906,7.92245,10.724603,7.34081,7.874805,7.893904,7.750958,8.521611,8.489202,7.49075,8.136262,8.032232,8.542008,6.696791,7.725703,8.341162,7.695194,8.264697,7.352949,7.71412,7.286958,7.456848,7.886325,7.309065,8.195902,7.070656,6.400345,7.852743,7.116614,7.233205,7.232721,7.855223,6.648637,7.14513,9.869991,7.283722,8.399339,7.799275,8.227524,7.902221,7.692331,7.421331,7.497142,7.698331,6.758194,7.663767,7.442064,8.031079,7.488657,7.62318,6.717489,"EFS_L5"
"6","PACSNL",6.509926,5.982043,6.577592,6.763894,7.294173,5.569237,6.43246,7.143681,7.14318,6.59287,6.565527,6.06549,7.430651,9.438416,6.67704,6.873667,7.36595,7.030407,7.941788,7.717215,6.3524,7.443964,7.70368,7.957446,5.904543,7.159979,8.022969,7.127599,8.344915,6.772514,7.7935,6.72808,7.554154,7.655205,6.991395,8.44915,6.554608,5.98972,7.588133,6.648297,7.142424,6.781601,7.715302,6.102988,6.597046,9.597781,6.932571,7.759239,7.197297,9.334393,8.023179,7.492711,7.132309,7.724002,6.928336,6.189215,6.231574,7.670752,7.919854,7.437038,7.531278,6.294237,"EFS_L5"
"7","PACSSR",6.149329,6.774517,7.458189,7.292134,7.971806,5.68833,6.654185,7.165294,7.948354,5.559509,6.790307,6.933802,8.138605,7.100274,7.364075,8.002773,7.574978,8.161978,8.18002,8.73679,7.742172,8.315983,7.336098,7.71722,6.749689,7.707254,7.298624,7.351986,8.1196,7.831631,7.439786,7.424193,6.848523,7.547658,7.177679,7.632594,7.226079,6.526762,8.33816,7.663491,7.188836,7.206135,8.143213,6.324793,7.513624,8.920805,6.897735,7.760615,7.368911,9.157324,7.073411,7.429626,7.668368,7.707611,7.288539,7.157842,7.772949,6.943585,7.591699,7.884229,7.866412,7.279994,"EFS_L5"
"8","PACUGP",6.917367,6.605158,6.971548,6.981951,7.659943,5.367888,6.68875,7.163402,7.397198,6.350657,6.622948,6.35884,7.435665,10.376646,7.41324,7.569053,7.245756,7.324075,8.20676,8.045819,7.250805,7.814267,7.591305,7.865902,6.471923,7.601055,7.627449,7.120123,8.565165,6.882055,7.667884,7.001143,7.076861,7.765236,7.143513,8.434486,6.73044,6.330317,7.838254,6.561401,6.936122,7.311509,7.777413,6.356045,6.769572,9.587312,6.569417,7.765356,7.21705,9.258953,7.655259,7.341632,7.220428,7.559275,6.946142,6.943141,6.75151,7.279006,8.022747,7.670419,7.295428,6.535022,"EFS_L5"
"9","PACVNB",6.471415,6.745655,7.802695,7.184767,7.589159,4.825795,6.756837,7.389098,7.502909,5.761536,6.48253,6.542176,7.714717,10.705651,6.98939,7.631535,7.656165,7.526802,8.302949,8.167802,7.385568,8.054305,7.423287,7.964834,6.51196,7.599451,7.694619,7.349132,8.085332,7.052545,7.543626,7.054622,7.042741,7.813638,7.121485,8.283596,6.852803,6.551393,8.080708,7.228915,7.218756,7.190966,7.61075,6.369568,6.959897,9.915619,7.038368,8.303718,7.314955,9.164339,7.639539,7.365404,7.464706,7.212089,7.357016,6.726092,7.127356,7.518409,7.95126,7.588054,7.459337,6.646625,"EFS_L5"
"10","PACYGY",6.754276,6.457133,6.988581,7.070848,7.638044,5.02514,6.837955,7.379291,7.525275,6.260498,6.564513,6.454952,7.757557,8.601657,7.030625,7.377938,7.361608,7.572342,8.268088,8.153449,7.33324,8.011272,7.170712,7.97878,6.46864,7.682791,7.287663,7.082226,7.928121,7.14959,7.686409,7.074572,7.078997,7.806988,7.517865,8.355942,6.968059,6.522722,7.86949,6.515553,7.007772,7.222272,7.697977,6.404073,7.132963,9.60903,6.867812,7.9164,7.216396,9.310587,7.47404,7.466617,7.349564,7.234846,7.392491,6.600739,7.070349,7.293163,7.903056,7.590206,7.339356,6.576045,"EFS_L5"
"11","PACZPX",6.186934,6.323485,6.698991,7.067317,7.376146,4.7832,6.376873,6.917617,7.33227,5.890476,6.174472,5.966776,7.256656,10.507522,7.00157,7.479505,6.896819,7.417707,7.595165,7.992458,7.112343,7.450542,6.793298,7.256942,6.146093,7.39564,6.881,6.607157,7.715632,6.80878,7.093564,7.008298,6.299453,7.354577,6.937092,7.658574,6.598064,6.217827,7.551165,6.419423,6.717194,6.782356,7.337036,6.356168,6.604553,9.021301,6.380915,7.767731,6.659384,9.003259,6.737319,6.885811,6.958797,6.904243,7.082443,6.524152,6.71123,6.350614,7.555657,7.297325,7.01324,6.667791,"EFS_G5"
