"","Row.names","AHRR","BRD9","C5orf38","CEP72","CLPTM1L","IRX2","IRX4","LPCAT1","LRRC14B","MRPL36","NDUFS6","PDCD6","PLEKHG4B","SLC12A7","SLC6A18","SLC6A19","SLC6A3","SLC9A3","TERT","TRIP13","EFS_fct"
"1","PAAPFA",7.091413,7.551554,6.899688,6.836639,8.986541,7.249157,6.686772,7.480318,5.56376,6.820084,8.966108,8.15073,6.038208,6.827533,6.727503,6.276289,6.741912,7.094369,6.924545,7.658875,"EFS_L5"
"2","PACLJN",7.251389,7.062693,7.079202,6.9925,8.529749,7.225544,7.054144,7.548685,6.086353,7.03677,8.986978,7.684129,6.046428,7.049003,7.008932,6.227448,6.786138,7.075043,7.099645,6.807672,"EFS_G5"
"4","PACRYY",6.85262,7.131325,6.521288,7.257925,8.570351,6.815526,6.017576,7.476664,4.926333,7.074877,8.818176,8.000674,6.079158,7.339659,6.448993,6.062549,6.406379,6.655824,6.568772,7.115152,"EFS_G5"
"5","PACRZM",7.407346,7.021097,7.376793,6.98021,8.595332,7.371232,7.003304,7.633591,6.11116,7.45058,9.039586,7.742749,6.55157,7.322148,6.915169,6.551336,7.047483,7.243225,7.1822,6.874347,"EFS_L5"
"6","PACSNL",6.814461,7.379522,6.439347,6.704273,9.38764,7.005105,6.410086,7.863341,5.81725,7.250053,8.725128,8.222936,5.719935,6.774001,6.453799,5.961816,6.309448,6.685626,7.075841,7.645053,"EFS_L5"
"7","PACSSR",7.502991,7.471199,7.591227,7.197704,7.193843,7.464114,7.356422,7.60628,6.617457,7.020404,7.826376,7.135794,7.306029,7.033308,6.681131,6.518211,7.305395,7.406205,7.260067,6.190488,"EFS_L5"
"8","PACUGP",7.103673,7.247865,6.635558,7.155665,8.892341,7.104367,6.74737,7.559869,5.377387,6.903036,8.546014,8.07474,6.321597,6.835218,6.69313,6.29963,6.846909,6.954746,7.112356,7.531755,"EFS_L5"
"9","PACVNB",7.399413,7.128605,6.96006,7.017449,8.466574,7.280935,6.737205,8.140382,5.299323,6.651604,8.378272,7.851651,7.137276,7.863938,6.71781,6.25987,6.760299,7.099411,6.946275,6.632196,"EFS_L5"
"10","PACYGY",7.395616,6.852206,7.228008,6.814876,8.142418,7.246517,6.753358,7.332697,5.845207,6.651281,8.17499,7.722337,6.199884,7.235377,6.958258,8.384573,7.027984,6.942166,8.27278,6.445992,"EFS_L5"
"11","PACZPX",7.038902,7.270459,6.677045,7.069913,8.081235,7.262426,6.29637,7.364497,5.45468,6.75883,8.683508,7.959972,6.111737,6.922542,6.550098,6.143479,6.629468,6.949495,7.033754,7.112646,"EFS_G5"
"12","PADENF",6.93278,7.175372,6.514538,7.134812,8.463308,6.800939,6.379475,7.578353,6.175997,7.234533,8.687764,7.751343,5.674957,7.489672,6.51043,6.024487,6.380748,6.534873,8.045618,7.149751,"EFS_G5"
