"","Row.names","ATIC","BARD1","CAD","CENPF","HMGA1","LDHB","MYBL2","NCAPD2","NME4","RPL10A","RPL27A","RPL29","RPL35A","RPL7A","RPS10","RPS14","RPS18","RPS19","RPS25","RPSA","SNRPD2","TKT","TRAP1","EFS_fct"
"1","PAAPFA",8.262774,7.150934,7.892741,8.593826,8.474129,8.917953,8.750489,8.872621,7.699378,9.634085,9.259769,9.429435,9.089083,8.974019,9.338107,8.592415,9.841007,8.885286,9.765602,9.522703,7.774855,8.279244,8.664339,"EFS_L5"
"2","PACLJN",7.498578,5.971942,7.921807,7.678911,8.636251,8.686295,8.009632,8.42295,7.905237,9.770509,8.565084,9.194369,9.251362,8.629151,9.558816,8.966522,9.964305,8.876083,9.789465,9.589662,7.117708,8.053026,8.672324,"EFS_G5"
"4","PACRYY",8.06126,6.608798,7.907734,8.193896,8.26067,9.366379,8.97693,9.255696,7.941392,9.618535,8.663635,9.291229,9.267255,8.915608,9.665435,8.877314,9.745115,8.595081,9.574235,9.758662,7.736445,7.95678,8.72459,"EFS_G5"
"5","PACRZM",8.37503,6.681591,7.420347,7.261694,8.834267,8.885468,8.083624,7.9081,8.264697,10.207056,8.550282,9.207552,9.295958,8.678736,10.044899,8.255938,9.825788,8.800881,9.189838,9.796767,7.815428,8.334744,8.683448,"EFS_L5"
"6","PACSNL",8.761886,7.481972,8.002692,7.914351,8.329151,9.731066,8.182063,8.672737,8.344915,9.851207,8.623462,9.395365,9.096887,8.410371,9.580036,8.876307,10.109209,8.907077,10.694802,9.924623,8.099338,8.114338,8.44396,"EFS_L5"
"7","PACSSR",7.395147,5.971676,7.771644,8.424914,8.245531,7.680681,8.030725,7.780544,8.1196,9.375508,7.903728,8.179425,7.912282,8.474543,8.488805,7.734046,9.728446,9.30517,9.795937,8.60325,7.832683,7.51762,8.313221,"EFS_L5"
"8","PACUGP",8.294186,6.791352,8.074795,8.392851,8.309698,9.443618,8.34453,8.748407,8.565165,9.859085,8.927369,9.446659,9.100053,8.77654,9.545956,8.651589,10.020849,8.896468,10.480432,9.836759,8.223769,7.962754,8.403424,"EFS_L5"
"9","PACVNB",8.054504,5.985503,7.731202,7.183484,8.390641,9.149141,7.549256,8.114597,8.085332,9.974023,8.41607,10.067173,9.257565,9.19217,10.018945,8.681561,10.040602,9.01571,10.60687,9.984644,7.752027,8.378815,8.661505,"EFS_L5"
"10","PACYGY",7.364301,6.523571,7.346317,7.624679,8.287557,9.091906,8.513505,8.74557,7.928121,9.8259,8.427487,9.035183,8.817328,8.682276,9.64475,7.962766,9.557445,8.706423,9.045719,9.325065,7.555888,7.81223,8.246547,"EFS_L5"
"11","PACZPX",7.70753,6.472141,7.179315,8.670035,8.208654,9.120689,7.47313,8.488969,7.715632,9.700027,7.893086,9.133946,9.224812,8.596636,9.369491,8.27332,10.106823,8.805113,9.621327,9.866147,7.601559,7.772877,7.661006,"EFS_G5"
