"","Row.names","AGPAT2","AIMP2","ALG3","ANXA11","APEX1","ATIC","BYSL","CAD","CCDC85B","CCNE1","CDC123","CDC25B","CDC37","CDK4","CHAF1A","CLTA","DDX10","DDX11","EIF2B2","EIF3B","EIF3E","EMG1","FARSA","FASN","FDFT1","FGFR3","FKBP4","GAL","GCSH","GTF3C2","HCFC1","HSP90B1","HSPA1B","LMNB2","MCM2","MRPS12","MTHFD1","NOLC1","NOS2","NSDHL","NUP188","NUP214","PDCD11","PKN1","PMPCA","POLD1","POLG","POLRMT","PPAT","PWP2","RABEPK","RCC1","RRP1B","SAFB","SCRIB","SF3B2","SLC19A1","SLC1A5","SLC6A8","SLC7A5","SMARCA4","SNRPA1","SSRP1","STC1","TAF1C","TCOF1","TRAP1","U2AF1","UBL4A","EFS_fct"
"1","PAAPFA",7.041652,7.422265,7.882975,7.88446,8.721125,8.262774,6.73648,7.892741,7.91399,5.767921,8.026219,8.834874,8.027001,9.448853,7.534087,8.45657,7.070335,7.909056,8.713239,8.788658,9.372382,6.363886,9.068592,9.626845,8.748228,6.984408,9.056385,8.993137,6.748964,8.281369,8.79007,10.882788,11.465233,8.162882,8.294507,6.38176,8.084642,8.345865,5.368488,7.323458,8.633367,8.349829,8.00199,8.922076,7.812377,7.301996,7.603401,7.895453,7.271394,7.165204,5.596366,7.095884,8.089613,8.023505,7.662379,9.153036,7.392292,7.702084,7.70046,8.40768,9.047554,8.541665,9.050424,8.177777,7.244817,7.424918,8.664339,8.754974,6.880261,"EFS_L5"
"2","PACLJN",7.440793,7.771543,7.796637,8.049565,8.614659,7.498578,6.798715,7.921807,7.864067,6.366759,7.872403,8.331984,8.025307,8.066869,7.167616,9.380194,7.014647,7.444059,8.248509,9.275386,9.861705,5.84372,8.857701,9.451167,8.391755,6.883304,8.10665,7.145578,6.715735,8.468153,9.047143,10.354994,9.35427,8.242893,7.719827,6.34351,7.623002,8.38888,5.62357,7.249326,8.600401,8.646087,7.715769,9.512823,7.660744,7.387792,7.929582,8.286101,6.941707,7.146575,6.080094,6.585308,8.031515,7.899836,7.976732,9.165807,7.550149,7.284754,8.198049,8.392068,8.991651,7.368877,8.185048,6.055555,7.472263,7.676935,8.672324,8.393105,7.385723,"EFS_G5"
"4","PACRYY",7.133524,7.831788,7.621959,7.78865,8.478504,8.06126,6.55349,7.907734,7.686835,6.854348,7.595124,8.651362,7.541031,8.837888,7.668432,8.945186,6.919779,7.771465,8.733737,9.224042,9.824651,6.972399,8.584191,9.229364,8.410104,6.470727,8.581163,7.360902,6.902607,8.648566,8.836106,10.695977,9.44561,8.430033,8.214442,6.346978,8.184968,8.160345,5.248859,7.653786,8.633378,8.602909,7.674327,8.9267,7.584046,7.438632,7.512392,7.91415,7.024052,6.857391,5.885547,6.680618,7.965043,7.568049,7.596109,9.219734,7.340749,7.014558,8.042553,8.462633,9.081726,8.194067,8.65885,5.865244,7.368717,7.327634,8.72459,8.85478,7.312169,"EFS_G5"
"5","PACRZM",7.820911,7.755113,7.671403,7.713212,9.730827,8.37503,7.01844,7.420347,8.191061,6.918752,7.725447,7.817558,8.123764,8.624506,6.90733,8.942274,6.374013,7.273353,8.521663,8.898551,9.957188,5.846136,8.7613,8.63405,8.436629,7.215203,8.672472,8.282483,7.264434,8.062469,8.374442,10.226046,9.090536,8.405351,7.544087,6.518777,7.517487,8.029981,5.681757,7.567382,8.086358,7.833167,7.403676,9.33003,7.525873,7.462757,7.669324,7.975918,7.122922,7.328217,5.96433,6.606074,7.833539,7.740857,7.867381,8.764245,7.584372,6.912395,8.120207,8.095907,8.76771,7.313749,8.142343,5.527923,7.3831,7.469335,8.683448,8.722356,7.511474,"EFS_L5"
"6","PACSNL",6.744849,7.676847,8.386909,7.127177,8.825836,8.761886,6.25221,8.002692,7.572697,7.049473,8.375614,8.054975,8.289021,8.895095,7.360148,8.540487,8.524235,7.800112,8.557381,9.006061,10.183639,7.537177,9.031111,8.708658,8.56356,6.701485,8.652973,7.48679,7.517572,8.434905,8.944376,11.341886,9.778937,8.260511,7.653341,6.89274,7.822336,8.994217,5.07847,7.584621,8.022614,8.308447,8.684478,8.93995,7.385836,7.424187,8.016162,8.008565,8.06293,7.382471,5.949711,6.93138,8.013217,7.888039,7.866115,9.046102,7.458392,7.811308,7.956496,7.973326,8.614684,8.570501,8.852432,7.046708,7.256287,7.65033,8.44396,8.899589,7.083428,"EFS_L5"
"7","PACSSR",7.318859,7.295755,6.861375,7.482563,7.77997,7.395147,6.518575,7.771644,8.149912,6.766512,6.877132,7.501368,8.516001,7.345638,8.282742,7.137244,7.964252,8.471678,6.939636,8.85743,8.769136,6.948355,8.355542,8.454569,7.092929,7.376872,7.999446,8.854624,6.021129,7.53588,7.643983,9.585012,8.811397,8.951318,6.972292,5.770845,6.993297,7.636008,5.666979,6.183343,7.415141,8.033377,7.958336,8.268515,7.225092,7.955502,7.599134,7.768848,6.191011,7.26985,5.935654,7.046054,7.302527,8.908376,7.845339,8.298199,7.523295,6.977483,7.17654,8.06073,9.333987,7.520567,7.892982,5.303747,7.465308,7.817781,8.313221,8.752595,6.715079,"EFS_L5"
"8","PACUGP",6.999569,7.375322,7.8933,7.43742,8.626654,8.294186,6.337115,8.074795,7.767155,6.743557,7.865006,7.79967,7.99712,8.811891,7.818113,8.625549,7.432493,8.064054,8.489267,8.878175,9.666775,6.744402,8.966859,8.582515,8.205363,6.70095,8.251571,7.079786,6.91278,8.560364,8.82842,10.789787,8.596647,8.451221,7.495878,5.996912,7.889986,8.406874,5.269613,7.114735,8.193342,8.408808,7.956076,8.904299,7.548885,7.634776,7.623914,7.70633,6.94249,7.149104,5.733981,7.043224,7.709432,7.690632,7.79565,8.887782,7.634517,7.257171,7.655376,6.729912,8.857486,7.976354,8.447406,5.171481,7.378511,7.413494,8.403424,8.595379,7.004193,"EFS_L5"
"9","PACVNB",7.837486,7.754647,7.61676,7.916263,8.20409,8.054504,6.49753,7.731202,7.970022,7.129517,7.916291,7.58301,7.63486,8.405847,7.137904,9.087067,7.22125,7.634698,7.867317,8.989602,9.125746,6.125617,8.733521,10.160315,8.571829,6.961261,8.532024,6.914516,6.676619,7.955453,8.675015,10.239684,8.51168,8.256829,7.749283,5.993795,7.270555,8.277049,5.485723,7.309904,8.438663,8.36043,7.548843,8.839273,7.736147,7.31442,7.487686,7.683357,7.018417,7.066645,5.996994,6.874483,7.836133,7.60636,7.863727,8.662413,7.538226,7.492761,8.073602,8.49197,8.970867,7.785572,8.139311,5.499842,7.287727,7.175575,8.661505,8.707081,7.281162,"EFS_L5"
"10","PACYGY",7.437335,7.568527,7.538596,7.884314,8.552103,7.364301,6.474055,7.346317,7.973372,5.926901,7.525185,8.4878,7.660194,8.656606,7.326185,8.121921,6.66566,7.764234,7.995918,8.758693,9.626971,6.140321,8.827431,9.173844,8.630427,6.952146,8.146485,8.68684,6.047095,7.683208,8.623534,10.207811,8.833577,8.342611,7.665472,5.980942,7.769668,7.811762,5.289497,6.923138,8.216979,7.966146,7.14901,9.017923,7.468976,7.235127,7.628653,7.66182,6.01623,6.521826,5.404358,6.463464,7.389516,7.648173,7.7686,8.885211,7.369676,7.00147,7.625887,7.668377,8.901526,7.995417,8.350282,6.364131,7.286888,7.15811,8.246547,8.137786,6.677991,"EFS_L5"
"11","PACZPX",6.723601,7.188137,7.4649,7.104964,8.404045,7.70753,6.244305,7.179315,7.796497,6.076354,7.501128,7.393463,7.623854,7.964248,7.541546,7.927129,7.479037,7.674763,7.535641,8.741463,9.577676,6.008769,8.002789,8.257706,7.281122,6.745535,7.643679,8.385859,6.427851,7.484011,7.914751,10.664861,8.89559,7.797908,7.500015,5.240708,7.506362,7.552366,5.327069,6.321807,7.662519,7.829848,7.429474,8.050894,6.953301,7.205594,7.106771,7.374613,6.843608,6.06439,5.453261,6.64721,6.984077,8.074897,7.27386,8.100448,6.940149,6.892404,7.085469,6.872529,8.696387,7.839483,7.753488,5.613108,6.880369,7.38244,7.661006,8.301763,6.021782,"EFS_G5"
