NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGP	phosphoglycolate phosphatase [Source:HGNC Symbol;Acc:HGNC:8909]	6829	0.008949280716478825	-0.33205408	No	
row_1	HAT1	histone acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4821]	7231	0.007219760213047266	-0.34767723	No	
row_2	ECM1	extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153]	8485	0.0019400903256610036	-0.4084307	No	
row_3	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	9122	-4.0691960020922124E-4	-0.43960255	No	
row_4	MRPL18	mitochondrial ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:14477]	9221	-7.444916991516948E-4	-0.4440111	No	
row_5	FAM111A	family with sequence similarity 111 member A [Source:HGNC Symbol;Acc:HGNC:24725]	9961	-0.00337984599173069	-0.4785484	No	
row_6	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	10554	-0.005448295269161463	-0.50462914	No	
row_7	ABCF2	ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]	13443	-0.014542996883392334	-0.63882786	No	
row_8	ABCF1	ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]	14148	-0.016818717122077942	-0.66385734	No	
row_9	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	14717	-0.01865014061331749	-0.6811107	No	
row_10	SMC2	structural maintenance of chromosomes 2 [Source:HGNC Symbol;Acc:HGNC:14011]	14766	-0.018827000632882118	-0.67258257	No	
row_11	MSH6	mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]	15962	-0.023508595302700996	-0.71798646	No	
row_12	CHAF1B	chromatin assembly factor 1 subunit B [Source:HGNC Symbol;Acc:HGNC:1911]	16893	-0.028291963040828705	-0.7475349	Yes	
