NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEMA3E	semaphorin 3E [Source:HGNC Symbol;Acc:HGNC:10727]	12	0.22881774604320526	0.04288839	Yes	
row_1	EPHA5	EPH receptor A5 [Source:HGNC Symbol;Acc:HGNC:3389]	21	0.2218388468027115	0.08464894	Yes	
row_2	ROBO2	roundabout guidance receptor 2 [Source:HGNC Symbol;Acc:HGNC:10250]	35	0.1959356814622879	0.12123896	Yes	
row_3	DCC	DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]	36	0.19554917514324188	0.15840031	Yes	
row_4	PLXNC1	plexin C1 [Source:HGNC Symbol;Acc:HGNC:9106]	93	0.1514769196510315	0.18440884	Yes	
row_5	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	174	0.1278638243675232	0.2047397	Yes	
row_6	EPHA6	EPH receptor A6 [Source:HGNC Symbol;Acc:HGNC:19296]	176	0.12711361050605774	0.22884624	Yes	
row_7	ABLIM3	actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]	206	0.12238159775733948	0.25066477	Yes	
row_8	SEMA3D	semaphorin 3D [Source:HGNC Symbol;Acc:HGNC:10726]	219	0.11891281604766846	0.2726673	Yes	
row_9	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	259	0.11278863996267319	0.29216686	Yes	
row_10	SLIT2	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	283	0.10792902112007141	0.31153646	Yes	
row_11	UNC5D	unc-5 netrin receptor D [Source:HGNC Symbol;Acc:HGNC:18634]	291	0.1065329760313034	0.33143437	Yes	
row_12	EFNB2	ephrin B2 [Source:HGNC Symbol;Acc:HGNC:3227]	310	0.10493696480989456	0.3504834	Yes	
row_13	PAK5	p21 (RAC1) activated kinase 5 [Source:HGNC Symbol;Acc:HGNC:15916]	445	0.09099981188774109	0.36113045	Yes	
row_14	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	554	0.0828675627708435	0.37152162	Yes	
row_15	LRRC4C	leucine rich repeat containing 4C [Source:HGNC Symbol;Acc:HGNC:29317]	567	0.08244162052869797	0.3865933	Yes	
row_16	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:19744]	616	0.0791947990655899	0.39926246	Yes	
