NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASIC2	acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]	175	0.12746277451515198	0.028809926	Yes	
row_1	EFCAB5	EF-hand calcium binding domain 5 [Source:HGNC Symbol;Acc:HGNC:24801]	255	0.11307231336832047	0.058149297	Yes	
row_2	SYNRG	synergin gamma [Source:HGNC Symbol;Acc:HGNC:557]	585	0.08101142942905426	0.06565712	Yes	
row_3	TADA2A	transcriptional adaptor 2A [Source:HGNC Symbol;Acc:HGNC:11531]	588	0.08078062534332275	0.08931809	Yes	
row_4	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	788	0.0717180073261261	0.100541145	Yes	
row_5	FBXL20	F-box and leucine rich repeat protein 20 [Source:HGNC Symbol;Acc:HGNC:24679]	791	0.07158289849758148	0.121496774	Yes	
row_6	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]	1083	0.06140373274683952	0.12512235	Yes	
row_7	TIAF1	TGFB1-induced anti-apoptotic factor 1 [Source:HGNC Symbol;Acc:HGNC:11803]	1117	0.060467254370450974	0.14127073	Yes	
row_8	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]	1145	0.06005376577377319	0.15759513	Yes	
row_9	MED24	mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]	1164	0.05953789874911308	0.17421424	Yes	
row_10	SOCS7	suppressor of cytokine signaling 7 [Source:HGNC Symbol;Acc:HGNC:29846]	1201	0.05866966396570206	0.18968508	Yes	
row_11	TAOK1	TAO kinase 1 [Source:HGNC Symbol;Acc:HGNC:29259]	1582	0.050493545830249786	0.18568672	Yes	
row_12	PNMT	phenylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:9160]	1772	0.047423314303159714	0.19025998	Yes	
row_13	GOSR1	golgi SNAP receptor complex member 1 [Source:HGNC Symbol;Acc:HGNC:4430]	1800	0.04701404273509979	0.20274897	Yes	
row_14	SRCIN1	SRC kinase signaling inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:29506]	1828	0.04651758819818497	0.21509194	Yes	
row_15	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	1833	0.046419572085142136	0.22854702	Yes	
row_16	MYO18A	myosin XVIIIA [Source:HGNC Symbol;Acc:HGNC:31104]	1849	0.04620944708585739	0.24139462	Yes	
row_17	MYO1D	myosin ID [Source:HGNC Symbol;Acc:HGNC:7598]	1853	0.04616071656346321	0.25482315	Yes	
row_18	DDX52	DExD-box helicase 52 [Source:HGNC Symbol;Acc:HGNC:20038]	2043	0.043309349566698074	0.25818637	Yes	
row_19	THRA	thyroid hormone receptor alpha [Source:HGNC Symbol;Acc:HGNC:11796]	2142	0.04199358820915222	0.26567668	Yes	
row_20	FLOT2	flotillin 2 [Source:HGNC Symbol;Acc:HGNC:3758]	2205	0.04121725261211395	0.27472445	Yes	
row_21	RARA	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	2223	0.041047293692827225	0.2859545	Yes	
row_22	SSH2	slingshot protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:30580]	2246	0.040814273059368134	0.29686797	Yes	
row_23	CWC25	CWC25 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:25989]	2360	0.0396183505654335	0.30291557	Yes	
row_24	TMEM99	transmembrane protein 99 (putative) [Source:HGNC Symbol;Acc:HGNC:28305]	2446	0.03852919489145279	0.31003177	Yes	
row_25	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	2467	0.03834156319499016	0.32031715	Yes	
row_26	SEZ6	seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]	2494	0.03810970485210419	0.33023667	Yes	
row_27	DUSP14	dual specificity phosphatase 14 [Source:HGNC Symbol;Acc:HGNC:17007]	2503	0.037929512560367584	0.34099615	Yes	
row_28	RSKR	ribosomal protein S6 kinase related [Source:HGNC Symbol;Acc:HGNC:26314]	2588	0.036970678716897964	0.34770352	Yes	
row_29	CCR7	C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]	2672	0.03615086153149605	0.3542194	Yes	
row_30	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]	2801	0.03465305268764496	0.35806245	Yes	
row_31	MSL1	MSL complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:27905]	2828	0.03440243378281593	0.36689156	Yes	
row_32	GSDMB	gasdermin B [Source:HGNC Symbol;Acc:HGNC:23690]	2960	0.033140599727630615	0.37014094	Yes	
row_33	SLC46A1	solute carrier family 46 member 1 [Source:HGNC Symbol;Acc:HGNC:30521]	2977	0.03291405737400055	0.37902835	Yes	
