NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	251	0.11378312110900879	0.11745912	Yes	
row_1	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	725	0.07440071552991867	0.17902017	Yes	
row_2	CREB5	cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]	741	0.07363830506801605	0.26231396	Yes	
row_3	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	762	0.07298408448696136	0.3446144	Yes	
row_4	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	917	0.06670108437538147	0.4131318	Yes	
row_5	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	1200	0.05870312452316284	0.46620524	Yes	
row_6	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	1566	0.05072452500462532	0.5060776	Yes	
row_7	CREB1	cAMP responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2345]	1967	0.04439174383878708	0.5369958	Yes	
row_8	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	2148	0.04192674905061722	0.5759583	Yes	
row_9	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	2398	0.03910430893301964	0.60829467	Yes	
row_10	ASAH1	N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]	2567	0.03728598356246948	0.64255345	Yes	
row_11	GNAQ	G protein subunit alpha q [Source:HGNC Symbol;Acc:HGNC:4390]	3250	0.030497193336486816	0.64369863	Yes	
row_12	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	4776	0.019768865779042244	0.590998	No	
row_13	CXCR2	C-X-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:6027]	6027	0.0125888641923666	0.54367524	No	
row_14	CREB3	cAMP responsive element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2347]	6719	0.009428106248378754	0.5203328	No	
row_15	EPHB2	EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]	6954	0.008446473628282547	0.51842356	No	
row_16	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6882]	7010	0.008192785084247589	0.5250586	No	
row_17	ITPKB	inositol-trisphosphate 3-kinase B [Source:HGNC Symbol;Acc:HGNC:6179]	7953	0.004077085759490728	0.4832226	No	
row_18	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]	8041	0.003759617917239666	0.48321944	No	
row_19	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:6884]	10353	-0.0047372570261359215	0.37457526	No	
row_20	DAG1	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	11324	-0.007879701443016529	0.33569685	No	
row_21	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	11555	-0.008599353022873402	0.33415946	No	
row_22	CAMP	cathelicidin antimicrobial peptide [Source:HGNC Symbol;Acc:HGNC:1472]	11983	-0.009964263997972012	0.3244575	No	
row_23	PARP1	poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]	12015	-0.010079948231577873	0.3344306	No	
row_24	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	12505	-0.011591119691729546	0.3235254	No	
row_25	ITPKA	inositol-trisphosphate 3-kinase A [Source:HGNC Symbol;Acc:HGNC:6178]	12883	-0.0128412377089262	0.31957415	No	
row_26	MAP2K7	mitogen-activated protein kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6847]	13112	-0.01357193198055029	0.32381004	No	
row_27	CERK	ceramide kinase [Source:HGNC Symbol;Acc:HGNC:19256]	16604	-0.026623833924531937	0.18190797	No	
