"","Row.names","ADCY1","APBA2","BTBD3","CACNA1G","CAMTA1","CENPBD1","CHD3","CNR1","DDHD2","FOXP1","FUBP1","GFRA3","GNAI1","GPR85","HAP1","HIVEP3","HOXC6","HRK","NTRK1","PGM2L1","SCN3A","SCN3B","SDK1","SMARCE1","SOX4","ST7","ST8SIA2","TADA2A","THAP2","TMOD2","EFS_fct"
"1","PAAPFA",6.928733,8.436285,7.742348,6.173229,7.906511,5.939214,8.362233,5.794877,7.948103,7.875172,9.379109,8.587925,7.399099,5.22296,6.570869,6.744934,6.816116,9.774317,7.486689,7.568061,7.487633,8.209459,7.567276,7.538718,7.748703,6.666744,7.326856,7.293966,4.658675,7.979391,"EFS_L5"
"2","PACLJN",9.200283,9.205423,9.228264,7.535112,8.658673,7.654575,8.767455,7.579555,8.8596,8.159173,9.681761,9.800465,8.264983,7.883707,6.841098,7.297426,8.648271,9.78021,9.45164,9.499855,9.156837,9.643423,8.30866,8.341569,9.848677,7.960233,8.875438,8.388719,5.628746,9.601605,"EFS_G5"
"4","PACRYY",9.084139,8.688565,9.177956,6.873364,8.453564,7.138251,8.607219,6.831483,8.594854,8.499584,9.961564,9.511785,8.719674,8.025048,6.030511,6.793428,8.748051,8.824562,7.632319,9.684658,9.056415,8.860772,8.166282,8.065172,9.054501,8.297404,7.360075,8.233902,5.785814,8.459098,"EFS_G5"
"5","PACRZM",8.439697,8.665672,8.360203,6.677028,8.008913,7.326684,8.855772,6.641839,8.260589,7.715531,9.547999,7.915355,8.295162,8.29763,6.037639,6.354207,8.123475,9.18179,9.495434,8.89326,9.156067,8.267234,7.552521,8.079748,9.473132,7.873264,7.995563,8.175536,5.81667,8.36738,"EFS_L5"
"6","PACSNL",8.592964,8.898563,9.40987,5.758508,8.622614,7.030104,8.496738,6.039355,8.545669,8.28959,10.10018,5.567205,8.116362,5.938761,5.643097,6.908609,7.576391,9.003585,8.137208,9.484135,9.258357,9.080685,7.525287,7.944776,8.325791,7.508422,7.882688,8.14348,5.586252,8.719274,"EFS_L5"
"7","PACSSR",7.563192,7.970793,6.376097,6.877925,8.034836,5.370961,9.231076,4.999044,7.172959,7.54159,8.287919,6.121305,6.757081,4.384847,6.321041,7.100163,7.426954,9.678563,7.544073,6.595723,7.248062,7.568945,7.394637,7.619831,8.619134,7.0042,7.091665,7.511986,4.562797,8.235735,"EFS_L5"
"8","PACUGP",7.586879,8.590088,8.638648,6.796479,7.931178,6.273501,8.342676,5.157428,8.356746,8.067084,9.854084,8.231955,7.225381,6.117765,5.875478,6.666985,7.241401,9.084775,7.107323,9.029294,8.079574,8.760409,8.092894,8.24649,8.619083,7.098155,6.949779,7.975285,4.861565,8.349528,"EFS_L5"
"9","PACVNB",8.498746,8.646647,7.295662,6.205288,8.66109,6.259211,8.573232,4.828253,8.991669,7.903387,9.494413,5.00046,7.808845,6.566802,6.46972,6.881784,6.199411,9.180802,6.728057,8.711864,8.599108,9.338641,7.433688,8.193223,8.460468,7.739564,8.418863,7.93694,5.01447,8.854426,"EFS_L5"
"10","PACYGY",8.080939,8.433877,8.206829,6.385414,8.042158,6.714911,8.745223,6.10992,7.917944,7.928414,9.089991,8.923755,6.958478,5.890347,5.961792,6.519969,7.469337,9.00203,7.825306,8.213294,7.680082,8.634705,7.624675,7.843748,8.719537,7.071495,7.917891,7.725537,4.871902,8.92207,"EFS_L5"
"11","PACZPX",8.825354,7.756404,7.249879,5.846185,8.357509,5.985713,8.805822,6.093444,7.558437,8.281768,10.135319,6.172875,7.329532,5.115408,5.767254,6.839619,6.777447,9.646395,6.899108,7.673917,9.002092,8.004854,7.334422,8.095369,8.744793,7.758326,7.336805,7.525048,4.315737,8.047722,"EFS_G5"
