"","Row.names","ABLIM2","ABLIM3","ARHGEF12","CDC42","DCC","DPYSL2","DPYSL5","EFNA3","EFNB2","EFNB3","EPHA3","EPHA4","EPHA5","EPHA6","EPHB3","EPHB6","FYN","GNAI1","GSK3B","KRAS","L1CAM","LRRC4C","MAPK1","NRP1","PAK1","PAK3","PLXNC1","PPP3CB","PPP3CC","PPP3R2","RASA1","ROBO2","SEMA3C","SEMA3D","SEMA3E","SEMA4F","SEMA6A","SEMA6C","SEMA6D","SLIT2","SRGAP1","SRGAP3","UNC5A","UNC5D","EFS_fct"
"1","PAAPFA",7.225422,6.938746,8.253207,9.102997,7.605401,9.718465,8.76909,7.297208,8.575929,7.368981,5.57358,5.944007,5.619472,4.697038,7.353915,6.658023,8.463854,7.399099,8.993674,8.342479,9.498892,8.400226,9.047032,8.19534,7.198904,8.158728,8.781823,8.155621,7.01106,5.247807,8.04774,8.114843,7.040204,4.32623,5.343704,7.536335,8.51587,7.462579,7.103119,7.73968,8.569152,7.795733,7.652244,6.551013,"EFS_L5"
"2","PACLJN",7.730116,9.574257,8.957581,9.319133,6.914458,11.143335,9.27154,8.384325,8.584382,8.09143,5.666677,6.327139,8.09755,5.122294,7.722451,7.20815,9.26037,8.264983,9.460233,8.536143,10.13264,6.187044,9.316462,8.872101,8.551904,9.322274,8.891691,8.646336,7.779414,6.779923,8.446367,6.593127,7.238556,7.580884,8.861542,8.032935,8.883812,8.425045,8.643817,8.433389,7.549638,8.483375,8.110971,6.92152,"EFS_G5"
"4","PACRYY",6.908697,9.115366,8.650957,9.507686,7.210188,10.347223,9.092404,7.740249,9.066329,7.446257,5.608184,6.339248,6.959492,5.26565,7.35014,7.594797,9.248743,8.719674,9.730272,8.888948,9.98545,9.142178,9.110128,7.904484,8.837453,8.840155,8.699779,8.78328,7.51038,6.31601,8.232843,7.98984,5.94328,10.030033,7.161062,7.949808,7.41684,7.880218,8.196678,8.084834,8.305462,7.735217,8.280554,7.456433,"EFS_G5"
"5","PACRZM",7.179481,8.906168,7.946306,9.240843,5.694012,10.60129,8.826581,8.221187,8.000234,7.744571,5.817217,5.885036,8.34101,5.428001,7.540946,7.924775,9.331675,8.295162,9.168027,8.439522,9.560864,5.143033,8.898156,7.709304,8.528366,9.000197,8.519245,8.399956,7.557611,6.19261,8.096658,5.961647,6.093151,4.61632,4.444939,8.107807,7.541749,8.079573,7.848466,6.873725,7.825749,7.799401,7.782853,7.197772,"EFS_L5"
"6","PACSNL",6.381682,9.021887,9.335006,9.638397,5.766501,10.37119,8.29167,6.854061,8.001387,7.283126,5.020302,5.422841,9.327748,6.244858,6.456547,6.188018,9.287015,8.116362,9.568469,8.910674,9.611985,6.543149,9.221039,9.618294,8.788511,8.689727,8.498067,8.762996,7.759457,5.33475,8.800493,6.390525,6.506165,4.17285,4.645828,8.010113,9.025471,7.747017,8.068773,8.068839,8.232737,8.213228,6.871322,6.666529,"EFS_L5"
"7","PACSSR",6.988551,6.239473,7.822903,7.363243,5.077571,8.414638,7.849156,6.430229,6.214178,6.273382,4.933327,6.552685,6.450655,6.902263,6.569197,6.791016,8.301757,6.757081,7.500421,6.277197,8.433533,5.286684,7.343894,6.35114,7.437722,8.005195,7.001945,6.635855,5.893057,5.13574,6.854778,6.825085,6.662413,5.08611,4.377734,7.092014,7.281587,7.528061,6.714522,5.731859,6.853604,7.169014,7.258307,7.057883,"EFS_L5"
"8","PACUGP",6.792789,8.098559,8.875589,8.648961,8.330385,10.261235,9.025952,6.763801,8.522073,7.048305,5.271533,5.370667,8.593,5.645823,6.371584,6.447351,9.222873,7.225381,9.301544,8.149058,9.276211,8.543135,8.668985,7.889085,8.343305,8.499452,7.968818,8.349921,7.021566,6.1913,8.500755,7.674364,6.447916,7.964303,7.091936,7.29393,6.92733,7.639369,8.046002,8.927052,7.724024,8.059796,7.0042,6.561728,"EFS_L5"
"9","PACVNB",7.742585,8.61001,9.105115,9.367681,4.950479,10.81218,9.343054,7.166289,8.146734,7.178575,4.907306,6.291282,5.94425,5.771696,7.047453,8.332774,8.833585,7.808845,9.505274,8.005192,9.800732,6.378539,9.125372,7.086089,8.338765,8.229409,8.402275,8.701925,7.372728,6.41409,7.912112,4.957412,7.712661,6.576363,5.076335,7.833067,8.659353,7.611189,8.166784,7.122414,7.091498,8.178712,7.417393,8.458219,"EFS_L5"
"10","PACYGY",7.364952,7.474598,8.433777,8.844611,6.286911,10.641452,8.871039,6.715225,8.800528,7.01439,5.51039,6.037635,6.706722,5.591629,6.65671,6.731455,9.193426,6.958478,8.776159,8.13793,9.605139,5.613699,8.880235,7.615629,7.735592,8.164606,8.302942,8.744995,7.001591,6.03643,7.47544,7.519219,6.705511,8.563013,5.950205,7.806875,6.522334,7.569432,7.275509,6.143656,8.731154,7.845837,7.501123,7.338735,"EFS_L5"
"11","PACZPX",6.839976,6.019196,8.708143,9.06889,8.238183,9.384573,7.178605,6.450867,7.318061,6.117717,5.949653,5.775643,5.303305,6.674645,6.150261,7.080423,8.726541,7.329532,9.274917,7.907854,8.013105,5.09704,8.115988,8.277305,7.830395,8.432438,6.929902,8.673291,6.73356,5.651217,8.529405,8.141357,6.140165,3.736137,4.065713,6.825138,7.858635,7.302909,7.481644,7.399035,7.984737,7.373515,7.407716,6.093992,"EFS_G5"
