"","Row.names","ACACA","ALDOC","CACNB1","CASC3","CCL2","CCR7","CPD","CWC25","DDX52","DHRS13","DUSP14","EFCAB5","ERAL1","FBXL20","FLOT2","GOSR1","GRB7","GSDMB","KIAA0100","LASP1","MED1","MED24","MSL1","MYO18A","MYO1D","NUFIP2","ORMDL3","PCGF2","PGAP3","PHF12","PIGS","PIP4K2B","PIPOX","PNMT","RAPGEFL1","RARA","SDF2","SEZ6","SLC46A1","SMARCE1","SOCS7","SRCIN1","SSH2","STARD3","SUPT6H","SYNRG","TADA2A","TAOK1","TBC1D3F","THRA","TIAF1","TMEM99","EFS_fct"
"1","PAAPFA",7.94564,7.8122,7.412054,8.734959,7.53317,6.736365,8.478475,6.744061,7.047887,7.742253,6.28704,3.738183,7.860452,7.682823,8.079898,7.977601,7.14634,6.52945,8.853447,8.341499,8.071246,8.066155,7.786552,7.111045,7.199702,8.428135,7.116399,8.167603,6.914414,7.504557,7.813066,8.668405,7.023381,5.287508,6.849578,7.446276,6.690991,8.275591,7.084,7.538718,7.369369,7.160426,7.527124,7.826478,9.212386,7.861797,7.293966,8.872542,7.382993,7.310969,6.355195,5.041994,"EFS_L5"
"2","PACLJN",8.880521,8.366909,8.904106,9.825631,7.226568,6.268357,8.498795,7.638769,8.398985,8.601111,6.458733,4.385639,8.240916,9.110785,8.513895,8.109347,7.20085,6.434529,8.51627,9.648846,9.205121,9.471456,8.65431,7.85269,7.650213,8.692719,7.820288,8.956541,7.96906,7.755012,7.858896,10.111835,7.193588,5.883287,7.527925,7.918027,6.697832,7.545727,7.526482,8.341569,8.713381,8.212885,8.485223,8.800252,8.964338,8.979617,8.388719,9.330672,7.638653,8.80429,7.0276,5.710588,"EFS_G5"
"4","PACRYY",8.400288,7.350923,8.810001,8.788478,7.94258,7.44257,8.51609,7.84552,8.363846,8.102932,5.902332,4.214525,8.051865,9.21912,8.418942,8.235817,6.49964,6.804928,8.670085,9.593555,9.688123,8.380954,8.274375,7.407886,7.309343,8.954766,6.946857,8.991581,7.550541,8.000662,7.820958,9.889475,7.315237,6.409913,7.225198,7.511652,6.924832,7.188428,7.479828,8.065172,8.5807,8.013786,8.568607,8.898301,8.954442,8.745745,8.233902,9.424871,7.681887,7.886245,7.102175,5.354921,"EFS_G5"
"5","PACRZM",7.566309,7.076136,8.45936,8.943178,6.390078,6.877543,8.512834,6.738548,7.43188,8.416821,6.536741,3.885065,8.306014,8.110057,8.621217,7.878601,7.38362,5.835525,8.482785,9.237141,8.314099,8.240327,7.971211,7.678757,7.353769,8.428727,7.22784,8.212159,7.654853,7.615725,8.094155,9.010436,7.173779,5.236825,7.07696,7.509812,7.065644,7.53455,7.565853,8.079748,7.828633,7.678617,7.826509,8.222076,8.699933,7.88764,8.175536,9.080824,7.59272,8.110985,6.85791,4.721701,"EFS_L5"
"6","PACSNL",8.333426,6.895165,7.617232,9.006156,6.429762,6.483907,8.884743,6.891814,7.78627,8.232756,6.415233,3.556532,8.219398,8.621143,8.775914,8.615098,6.11799,7.427537,9.113258,8.553713,8.856415,8.248635,8.363476,7.672933,8.153376,8.821844,7.133565,8.192837,7.169306,7.697726,7.969941,8.744917,7.136831,5.483752,7.07145,7.092745,7.589496,7.080732,7.604886,7.944776,7.802835,7.130426,8.330293,8.414493,9.105601,8.632851,8.14348,9.308376,7.454752,7.523953,7.58163,6.415399,"EFS_L5"
"7","PACSSR",8.045597,6.172958,7.899422,8.608873,5.70248,6.3074,7.085555,7.599779,7.463844,7.538619,5.663126,4.007546,7.457219,7.62418,7.68504,7.576476,6.36011,8.11927,9.108292,7.797382,7.915072,8.597146,8.05236,7.649097,6.293075,7.245401,7.039625,8.521121,6.787343,7.078243,7.810588,8.483347,6.182162,5.782935,7.707706,7.236823,6.349265,6.065959,6.790478,7.619831,8.067011,7.784269,7.488432,8.179088,8.9523,7.963636,7.511986,9.220069,8.090263,7.619122,6.431058,4.280721,"EFS_L5"
"8","PACUGP",8.220456,6.000862,7.738365,8.747507,6.855387,7.592725,8.730515,7.008864,7.844919,8.316956,5.537757,3.653889,8.016068,8.708322,8.730139,8.432965,6.63268,7.290791,8.978475,8.565552,8.680247,8.269195,8.489901,7.495708,7.449393,8.69899,7.169841,8.533441,7.118768,7.933028,7.616779,9.035533,7.110379,5.674862,7.422584,7.059786,7.203079,7.274726,7.756815,8.24649,8.11452,7.441453,7.896484,8.065879,9.212777,8.655373,7.975285,9.537794,7.848573,7.405753,7.51094,6.155621,"EFS_L5"
"9","PACVNB",9.220409,5.853418,8.606059,9.021464,7.274387,7.341588,8.269473,6.976751,7.57213,8.695647,5.817258,3.934167,8.162672,8.640506,8.611966,8.264737,6.9952,6.637449,9.073725,9.040876,8.400565,8.441079,8.4154,7.926455,7.799826,8.868751,6.755111,8.845277,7.777053,7.964693,7.716828,9.628505,7.135479,5.098447,7.918748,6.781641,6.908109,7.704545,8.057403,8.193223,8.371543,7.961837,8.432851,8.39974,8.943394,8.532504,7.93694,9.530411,7.662791,8.271072,8.116503,4.330977,"EFS_L5"
"10","PACYGY",8.073092,7.607174,8.075175,8.858926,6.634623,8.667395,7.967457,7.064199,6.880194,8.025637,5.87628,4.136793,7.977279,8.009721,8.584879,7.822563,5.8896,6.429203,8.480196,8.760305,8.179722,8.536319,8.156716,7.2994,7.129866,8.689097,6.796669,8.146646,7.302442,7.854832,7.797851,8.992683,6.611992,6.043535,6.766816,7.119958,6.841638,7.135004,7.386435,7.843748,7.655865,7.759526,8.29572,8.048251,8.841559,8.127958,7.725537,9.240249,7.761443,7.896419,7.08027,5.036537,"EFS_L5"
"11","PACZPX",7.957724,5.495786,7.12239,8.52359,7.00735,6.24312,7.979852,7.087958,7.566672,7.508608,5.655773,3.881079,7.291017,8.297975,7.686124,7.976489,6.91847,6.544648,8.791642,8.195223,8.045655,8.47077,8.17694,7.109915,6.229297,8.723631,6.517064,7.90906,6.792426,7.591174,7.300973,8.370064,6.431247,4.903903,6.830238,6.555714,6.605221,6.916187,7.084442,8.095369,7.667653,7.012931,8.844187,7.788979,8.831929,8.366827,7.525048,9.537672,8.000372,7.100466,7.265968,4.251759,"EFS_G5"
