"","Row.names","CDC42","CREB1","GNAI1","GNAO1","GNAZ","GNB1","GNG2","MAP2K1","MAPK1","PELP1","PIK3R1","PLCB1","PTK2","EFS_fct"
"1","PAAPFA",9.102997,8.438399,7.399099,8.879735,8.321548,10.7563,7.959988,8.285188,9.047032,7.554784,8.692898,7.265251,8.793864,"EFS_L5"
"2","PACLJN",9.319133,8.662342,8.264983,9.985085,8.948028,11.120883,9.016018,8.631856,9.316462,8.171436,9.308134,7.388451,8.974116,"EFS_G5"
"4","PACRYY",9.507686,9.534917,8.719674,9.480503,8.716951,10.899114,8.816753,8.142311,9.110128,7.879343,8.417528,8.168556,8.960199,"EFS_G5"
"5","PACRZM",9.240843,9.052494,8.295162,8.834991,8.876816,10.757127,8.775551,8.21954,8.898156,7.895059,8.446739,6.401506,8.91805,"EFS_L5"
"6","PACSNL",9.638397,8.986499,8.116362,8.823271,8.510272,10.922623,7.798767,8.915456,9.221039,8.156813,8.978921,7.904683,9.03101,"EFS_L5"
"7","PACSSR",7.363243,7.241458,6.757081,8.735241,7.674449,8.90157,6.408404,7.149641,7.343894,7.88016,7.827384,6.274869,8.263926,"EFS_L5"
"8","PACUGP",8.648961,8.983681,7.225381,8.738194,8.184479,10.203287,8.657845,8.020578,8.668985,8.117722,7.836152,7.404898,8.728627,"EFS_L5"
"9","PACVNB",9.367681,8.547038,7.808845,9.363681,8.654772,11.02039,9.087817,7.991938,9.125372,7.780525,7.649989,6.961788,8.700155,"EFS_L5"
"10","PACYGY",8.844611,8.557664,6.958478,9.437063,8.706253,10.624198,8.79258,8.235067,8.880235,7.656366,8.503508,7.093486,8.833034,"EFS_L5"
"11","PACZPX",9.06889,8.892701,7.329532,8.242382,7.46093,9.959747,8.248435,7.484027,8.115988,7.298043,8.769315,8.543286,8.655345,"EFS_G5"
"12","PADENF",9.709414,9.527164,8.645853,9.107205,8.934431,11.021817,9.524628,8.182863,9.710882,7.544954,8.135089,6.541761,9.024757,"EFS_G5"
