"","Row.names","CDC42","CDK5R1","CDK5R2","CLIP1","DAB1","DCX","DYNC1H1","DYNLT1","KATNA1","LRP8","MAP1B","NDEL1","PAFAH1B1","PLA2G7","YWHAE","EFS_fct"
"1","PAAPFA",9.102997,7.613731,8.62484,7.042384,5.955059,8.687988,9.501656,8.004908,6.179581,7.708029,9.724855,7.769579,9.531674,7.419173,9.617402,"EFS_L5"
"2","PACLJN",9.319133,8.517403,8.775818,7.506089,6.147592,9.794938,10.272785,7.843347,6.162028,7.883251,10.82554,7.591856,10.258711,7.677515,9.518112,"EFS_G5"
"4","PACRYY",9.507686,8.492577,8.363326,7.8607,5.496276,10.169647,9.553323,8.69999,7.092491,7.853887,9.838089,7.836611,10.204078,8.589524,9.676506,"EFS_G5"
"5","PACRZM",9.240843,8.77657,8.838963,7.315573,6.573741,9.586798,8.995952,8.908208,6.932506,7.590734,9.427456,7.614386,10.452596,7.869959,9.882579,"EFS_L5"
"6","PACSNL",9.638397,7.738166,7.828488,7.133902,6.245121,8.259623,9.067328,8.534253,7.100827,7.760541,10.240658,7.785124,10.079694,7.732048,9.871928,"EFS_L5"
"7","PACSSR",7.363243,7.921824,7.814436,7.215323,6.034219,6.804232,8.998958,7.240901,6.501674,7.830011,8.781332,7.796239,7.993081,4.952564,8.546641,"EFS_L5"
"8","PACUGP",8.648961,8.150763,7.603485,6.84299,5.979724,8.965339,9.163332,8.316625,6.941734,7.751725,9.957761,7.681846,10.351223,6.592718,9.879904,"EFS_L5"
"9","PACVNB",9.367681,9.082431,8.137974,7.253892,5.774332,9.995608,9.418395,8.380867,6.120999,8.429161,9.999179,7.619982,10.305112,8.395896,9.652261,"EFS_L5"
"10","PACYGY",8.844611,8.202242,8.211009,7.055482,5.535765,8.893491,9.625705,7.99337,6.318865,7.691922,9.41327,7.667394,10.168124,6.863238,9.765584,"EFS_L5"
"11","PACZPX",9.06889,7.414837,7.617424,6.93775,5.951906,6.933634,9.358081,9.054253,6.592616,7.220409,9.801211,7.418762,9.992665,6.846038,9.62501,"EFS_G5"
"12","PADENF",9.709414,7.726006,8.335429,7.060873,5.363275,9.498547,9.861137,8.765095,6.862672,7.803162,10.09116,7.528385,10.446066,7.394051,9.574736,"EFS_G5"
"13","PADFLI",8.924476,8.1227,7.757296,6.83394,6.924287,10.069353,9.455041,8.076479,6.558981,7.665281,9.849009,7.202587,9.342415,7.015657,9.27663,"EFS_G5"
"14","PADHWC",9.38976,7.187628,7.796959,7.251189,7.092694,7.227871,9.867729,8.26668,6.105176,7.088496,10.544165,8.243155,10.126893,6.561726,9.093287,"EFS_L5"
"15","PADIEY",8.806268,7.699494,7.772439,6.827112,5.193131,10.218069,9.987274,8.268928,6.793082,7.496567,9.460367,7.268914,9.327593,6.374099,8.886892,"EFS_G5"
"16","PADIHC",9.21027,8.137642,7.978533,6.659449,6.090061,7.717516,8.896113,8.119064,6.662062,7.521822,9.545182,7.636947,10.447304,5.395337,9.620196,"EFS_L5"
"17","PADINC",9.191483,7.933302,7.397486,7.046339,6.074225,7.026991,9.214063,8.792251,6.587284,7.151417,9.439396,7.655308,9.812747,7.914324,9.51045,"EFS_L5"
"18","PADIRB",8.585304,8.467349,8.309241,7.291177,6.79721,8.318419,9.626713,8.265203,7.288669,7.988041,10.057878,8.026511,10.081423,6.004624,9.727074,"EFS_L5"
"19","PADKFS",9.544141,7.923681,8.410179,7.122354,6.217124,9.449507,10.264413,8.198363,6.080441,7.631916,10.420705,8.273795,10.186772,6.956658,9.289801,"EFS_L5"
"20","PADKFU",9.06969,7.82475,8.490193,7.32833,5.468666,9.587036,9.920086,8.318368,6.462637,7.481175,10.14276,7.511937,10.093111,7.358,9.648753,"EFS_G5"
"21","PADKGF",9.964546,8.182569,7.409531,7.383189,5.708547,8.147578,9.101162,8.687373,7.045526,7.12255,8.828034,8.178478,9.54007,9.136956,9.597003,"EFS_G5"
"22","PADKNE",9.280286,8.645212,8.259457,7.153626,5.592143,9.775326,9.050379,8.194475,6.652557,7.729582,9.514963,7.268475,10.22711,7.388463,9.720233,"EFS_L5"
"23","PADKRU",8.459191,7.594143,7.708271,6.791075,5.707307,9.085673,9.302126,7.952302,5.954384,7.433025,9.498897,7.341722,9.254466,6.676138,8.83875,"EFS_L5"
"24","PADKVV",9.300851,7.486992,7.610337,7.109819,5.705141,8.528544,9.65188,8.317925,6.214583,7.157884,9.524064,8.217784,9.654284,7.305431,8.925873,"EFS_L5"
"25","PADKXS",9.205499,8.114843,7.931966,9.905757,5.634134,8.503397,9.124867,8.646312,7.468299,8.141672,9.080884,7.673082,10.113714,6.144789,9.498162,"EFS_L5"
"26","PADKYP",9.422833,8.226501,7.53829,6.528957,5.538145,8.235059,8.881461,8.158694,6.585129,7.155366,8.530033,7.79464,9.346577,8.833515,9.265072,"EFS_L5"
"27","PADLDA",9.566143,7.308688,7.86799,6.341648,6.64762,7.420742,8.608618,7.795313,6.481273,6.93508,8.017827,7.628328,9.313275,7.913559,9.039061,"EFS_L5"
"28","PADLDT",8.493804,8.316231,7.776152,6.521742,5.722603,9.004281,9.587822,7.721469,6.05538,7.834234,9.650028,7.134217,9.583889,4.878134,9.58054,"EFS_L5"
"29","PADLES",9.927755,7.855274,8.409549,7.242268,6.467552,8.066216,9.538739,8.723808,6.914218,7.799061,9.790958,7.58151,10.102349,7.830387,9.728545,"EFS_L5"
"30","PADLIC",9.14697,7.881897,7.835389,6.974354,5.566908,9.491685,9.512668,8.257226,6.321079,7.498441,8.990155,7.717726,10.326319,7.352259,9.453419,"EFS_G5"
"31","PADLJN",9.371836,8.547119,8.512447,7.060796,5.662262,9.498179,9.972634,8.383043,6.292925,7.757279,9.925636,7.521796,10.19697,6.297251,9.438446,"EFS_L5"
"32","PADLKJ",9.078975,8.552058,7.892095,6.801225,5.654682,9.422129,9.452383,8.600075,6.382533,7.558512,9.867654,7.645489,9.765055,7.943933,9.647761,"EFS_L5"
"33","PADLNM",9.295875,8.757161,7.66886,7.38356,5.791533,10.154072,9.446904,8.534746,7.182325,8.618234,9.818501,7.359901,9.549155,6.874387,9.477501,"EFS_L5"
"34","PADLPR",8.444855,7.847663,7.89039,6.611255,6.292069,8.910489,9.320002,8.163432,6.543525,7.101895,9.090925,7.134055,9.884921,6.899911,9.567273,"EFS_L5"
"35","PADLPZ",8.519922,7.923251,8.095959,7.380368,5.971733,9.428567,9.718615,7.710675,5.874572,7.74983,9.997684,7.460125,10.163393,6.479276,9.50395,"EFS_L5"
"36","PADLTD",8.635257,8.41014,7.696036,6.431031,5.515174,8.99986,9.59317,8.665518,6.329306,7.342807,9.654003,7.511272,9.551909,5.832726,9.460077,"EFS_L5"
"37","PADMGA",9.844926,7.818217,7.99926,7.306794,7.23113,6.837993,9.931257,7.697742,6.381431,7.407532,10.811744,8.129306,10.308304,5.975298,9.599968,"EFS_L5"
"38","PADMTD",9.238452,8.417921,8.10013,7.651844,5.324146,9.63041,9.501647,8.369947,6.800301,7.290748,9.68995,8.064827,10.072094,5.903433,10.082703,"EFS_L5"
"39","PADMVB",8.540513,7.835588,8.179083,6.883791,5.817248,8.682246,10.180524,7.993272,6.327251,7.478263,9.810928,6.907372,9.874624,6.010215,9.056324,"EFS_L5"
"40","PADMXD",9.18229,8.495558,7.902589,6.73257,5.522625,10.342809,9.486327,8.744321,6.835016,7.961839,10.0078,7.974968,10.106566,7.112662,10.10831,"EFS_L5"
"41","PADMYD",9.306727,7.718687,8.058892,6.503458,5.299275,8.619359,9.402069,8.511437,6.571233,7.372598,9.373214,7.717907,9.820845,7.736119,9.642816,"EFS_L5"
"42","PADNFT",9.462702,7.987899,8.011706,7.132154,5.124546,9.321471,9.581626,8.265126,6.524356,7.924029,9.71865,7.16093,9.606836,7.821053,9.054008,"EFS_L5"
"43","PADNNX",9.316987,7.84314,8.318916,7.241722,6.182845,9.094924,9.444804,8.240577,6.33043,7.806178,10.495686,7.848114,9.887236,7.626409,9.31119,"EFS_L5"
