"","Row.names","ADCY1","ADCY8","CAMK2A","CAMK2B","CAMK2G","CAMK4","CREB1","MAPK1","NBEA","PDE1A","PDE1C","PLA2G4A","PRKACB","PRKAR2B","PRKCD","EFS_fct"
"1","PAAPFA",6.928733,4.804472,7.744043,7.357462,8.832953,8.583792,8.438399,9.047032,9.031123,5.666837,5.500661,4.177915,7.219521,8.01443,7.188252,"EFS_L5"
"2","PACLJN",9.200283,5.332609,7.715048,8.90666,9.170351,8.458233,8.662342,9.316462,9.937669,5.511291,5.924943,4.658828,8.13504,8.977067,7.724398,"EFS_G5"
"4","PACRYY",9.084139,6.696576,7.211538,8.529952,8.796084,8.642437,9.534917,9.110128,9.471047,5.072793,4.707986,4.465318,8.224436,8.984735,7.720676,"EFS_G5"
"5","PACRZM",8.439697,5.021419,7.557244,8.477434,8.681212,7.906247,9.052494,8.898156,9.036223,5.877925,5.675912,4.496266,8.49973,8.967144,8.103464,"EFS_L5"
"6","PACSNL",8.592964,5.81943,6.474751,6.871474,9.184714,8.326961,8.986499,9.221039,8.972374,4.816966,4.891644,4.285013,8.42423,8.89199,7.782724,"EFS_L5"
"7","PACSSR",7.563192,5.09934,6.726936,7.69965,8.230071,7.314865,7.241458,7.343894,8.17797,4.649825,6.031265,3.646281,6.111866,6.926413,6.749604,"EFS_L5"
"8","PACUGP",7.586879,5.989264,6.500845,7.169792,8.82417,7.510622,8.983681,8.668985,9.29091,4.354078,4.722212,3.686316,7.707079,8.528588,6.648516,"EFS_L5"
"9","PACVNB",8.498746,7.153836,6.627686,8.748134,8.828164,6.383489,8.547038,9.125372,8.61588,5.105131,5.002404,4.382141,8.02869,9.252913,7.875425,"EFS_L5"
"10","PACYGY",8.080939,4.860669,6.586986,6.866637,8.724359,8.891779,8.557664,8.880235,9.047736,4.530144,5.082749,4.051546,7.466146,7.997103,7.415204,"EFS_L5"
"11","PACZPX",8.825354,4.677331,6.511311,7.554803,8.429158,8.588932,8.892701,8.115988,9.081489,5.544072,5.017636,4.211734,7.945175,8.297205,6.456184,"EFS_G5"
"12","PADENF",8.585392,5.385661,7.371074,6.509805,8.308077,8.274745,9.527164,9.710882,9.746574,4.564587,6.648194,4.407878,8.19202,9.170998,7.234039,"EFS_G5"
"13","PADFLI",7.829542,9.128155,6.90961,7.805072,8.589944,7.333053,8.812546,8.869337,8.630222,6.734313,5.100833,4.114233,7.291672,8.096783,6.458695,"EFS_G5"
"14","PADHWC",7.612804,5.955837,7.730449,7.903535,8.487829,7.467962,8.196266,9.005037,8.653082,5.963849,6.917992,6.347208,7.745396,7.878628,7.597613,"EFS_L5"
"15","PADIEY",9.101123,4.901662,7.16038,6.975727,8.891033,6.603327,8.643423,8.940115,9.839379,4.998572,5.839011,3.885463,7.428076,7.992136,6.936248,"EFS_G5"
"16","PADIHC",8.537368,4.843666,6.997898,6.815582,9.08575,8.062288,8.849166,8.959667,9.202982,4.890185,5.301779,3.752719,7.735114,8.596977,7.189264,"EFS_L5"
"17","PADINC",8.90457,4.710864,6.367,7.450289,8.410402,8.456474,9.015219,9.054325,8.76108,5.772913,5.455531,5.131467,8.139554,7.78514,7.605055,"EFS_L5"
