"","Row.names","AFTPH","ARGLU1","ATP1A3","ATP8A1","AUTS2","B3GAT1","CAMK2A","CDK5R1","CHD9","CNR1","CPEB2","CREG2","CYFIP2","CYGB","DGKD","DLG4","EID1","ENDOD1","EPS15","FNDC3A","FOXP1","GNAI1","GRIA1","GSK3B","IGF1R","KIAA0100","KIAA0513","KIF5C","KLHL24","LIN7A","LRRC7","LSM11","MAP3K2","MAPRE2","MARCKS","MEG3","MIA3","MINK1","MYCBP2","NCDN","NUMBL","PBX1","PCDH19","PGM2L1","PIK3R1","PLXNC1","PPP2R2C","PRKAB2","PYGM","R3HDM1","RALGAPA1","RHOU","RICTOR","RIMBP2","RNF165","RSF1","SHOC2","SLC8A1","SMARCC2","SOBP","SP4","SPOCK2","SPTBN1","SRRM1","SRSF11","TIMP2","TMOD2","TNFRSF19","TRIM2","UBR2","ZBTB16","ZEB2","ZNF445","ZNF804A","EFS_fct"
"1","PAAPFA",7.820735,9.000961,8.504816,8.393221,8.033438,7.228933,7.744043,7.613731,7.606751,5.794877,7.308192,6.080063,8.925098,8.335433,8.196081,7.811604,8.416832,7.009103,7.904336,8.849356,7.875172,7.399099,7.026222,8.993674,7.983469,8.853447,6.568023,8.979877,8.389768,6.83593,7.756982,7.911962,7.107005,7.38134,8.854911,9.323184,8.176202,7.553421,8.252814,7.920571,7.815221,8.498433,5.014777,7.568061,8.692898,8.781823,7.499313,7.89131,6.066646,8.002668,8.766983,9.602255,7.891961,8.351531,6.874332,7.06331,9.008013,7.758418,8.617041,8.112055,7.561501,7.915247,9.6242,8.448701,8.712909,9.990265,7.979391,7.450374,7.899208,7.446229,7.087856,7.070577,7.920101,8.435062,"EFS_L5"
"2","PACLJN",8.501823,8.971052,9.403734,8.378465,8.469318,7.35232,7.715048,8.517403,8.276839,7.579555,7.778994,8.084212,10.328561,8.141593,8.423108,8.247164,8.971163,7.634377,8.702901,9.349648,8.159173,8.264983,8.885162,9.460233,9.735471,8.51627,7.759882,9.548609,8.92391,5.589127,5.987108,8.416403,7.977105,8.17778,9.810913,8.49844,8.18255,7.823646,9.317757,8.35652,8.712669,10.129586,5.634287,9.499855,9.308134,8.891691,7.540258,9.135158,7.553635,7.809257,8.79701,9.776526,8.553445,8.722343,7.923906,8.20805,9.042123,7.353136,9.231211,7.711078,8.957751,9.258777,9.907346,8.661004,8.070893,10.298801,9.601605,8.005157,9.681065,7.73886,6.972379,6.862385,8.36078,9.254752,"EFS_G5"
"4","PACRYY",8.509942,9.653981,8.690372,8.454673,9.253569,6.789155,7.211538,8.492577,8.327498,6.831483,7.063316,6.789135,10.007357,7.947365,8.262465,7.799818,8.636425,6.3979,8.415055,9.399973,8.499584,8.719674,8.983135,9.730272,8.917705,8.670085,7.438589,9.704224,8.930103,8.022359,6.598822,8.362133,7.851732,7.606416,9.534951,9.2626,7.85549,7.717906,8.753847,7.807748,7.920334,9.307016,4.603854,9.684658,8.417528,8.699779,6.92988,8.3209,6.651252,8.341423,8.766177,8.872876,8.506611,9.299133,7.602134,8.540352,9.308043,8.608295,9.450674,7.541055,9.023848,8.108478,9.136041,8.377124,8.651393,9.837383,8.459098,6.844649,9.15617,7.731539,6.388966,6.74556,8.496901,10.003109,"EFS_G5"
"5","PACRZM",8.357536,8.619912,8.48627,8.723298,8.229946,6.951868,7.557244,8.77657,8.057507,6.641839,7.655006,7.390172,9.578114,8.412335,8.480484,7.624153,8.982214,6.974124,8.109511,8.68432,7.715531,8.295162,7.733885,9.168027,7.953933,8.482785,7.306545,9.49115,9.063731,5.872955,4.686482,8.053177,7.575536,7.63048,9.912702,8.401541,7.81048,7.651457,8.150635,7.837259,8.343173,9.650936,4.668179,8.89326,8.446739,8.519245,8.137972,8.29166,7.557261,8.013953,9.832628,9.857981,8.214494,8.100373,7.132709,8.281397,9.155413,8.150352,9.305406,7.725397,8.316887,6.963767,8.918347,8.008366,8.185884,9.591472,8.36738,6.58984,8.939536,7.633364,6.313312,6.610881,7.688395,9.430393,"EFS_L5"
"6","PACSNL",8.789116,9.294409,8.196572,9.237987,8.059932,7.322875,6.474751,7.738166,7.821295,6.039355,8.056608,5.607357,9.491694,6.887403,8.418895,7.83647,8.943198,6.832243,9.342123,8.934611,8.28959,8.116362,7.751636,9.568469,8.84322,9.113258,6.193462,9.669481,8.739135,6.116491,6.393877,7.756769,7.685122,7.48717,8.906795,6.666252,8.311856,7.688561,9.045818,8.380673,7.868726,9.34357,5.046506,9.484135,8.978921,8.498067,5.606642,8.212944,7.354335,8.492634,9.239474,8.824112,8.82485,8.768757,6.72992,8.687793,9.584955,8.163612,9.225534,7.258602,7.905504,6.513906,9.320213,8.654259,9.11648,9.249963,8.719274,6.732887,8.410384,8.049394,6.638417,8.076628,8.335006,8.700389,"EFS_L5"
"7","PACSSR",7.145846,8.151478,7.636496,7.997303,8.332863,7.058675,6.726936,7.921824,8.157479,4.999044,5.904646,6.009192,7.808815,7.517475,8.067983,8.114044,6.915723,5.944373,7.124506,8.022136,7.54159,6.757081,6.714248,7.500421,7.523891,9.108292,6.854063,8.93171,6.739344,4.689723,6.651652,6.909643,5.792203,6.435555,7.344741,10.594887,6.615106,8.264145,8.399877,7.330679,8.142098,7.384756,4.487411,6.595723,7.827384,7.001945,7.090346,6.708155,6.315375,8.321308,7.771419,8.515664,6.26346,8.353701,7.619846,6.235297,7.337417,6.024677,8.927157,7.329485,6.765395,7.528036,9.209369,8.420459,7.949262,8.634271,8.235735,6.421901,7.244323,6.574341,6.730349,6.610975,7.809481,6.976521,"EFS_L5"
"8","PACUGP",7.922848,9.42545,8.049164,8.886858,8.698361,6.947437,6.500845,8.150763,7.759506,5.157428,7.541031,5.58266,9.222437,6.806373,8.170544,7.741248,8.397738,7.458661,8.393847,8.819233,8.067084,7.225381,7.150011,9.301544,9.435968,8.978475,6.14855,9.18913,8.977175,4.467379,6.477033,7.688379,6.849429,7.167008,9.217196,8.381288,7.403715,7.706937,8.759516,7.782649,7.972131,9.1987,4.619094,9.029294,7.836152,7.968818,6.05369,7.773662,6.930304,7.895911,8.518795,8.823612,8.263742,8.049484,7.130403,7.988382,8.798487,8.40636,9.082198,7.155036,8.417095,7.408777,8.696413,7.82765,8.938133,9.810127,8.349528,7.121602,8.477739,7.419783,7.033956,5.93417,8.159084,10.253684,"EFS_L5"
"9","PACVNB",7.841153,8.613263,8.254884,8.093315,8.751025,7.074163,6.627686,9.082431,7.468059,4.828253,8.166935,7.085122,9.598355,7.388452,8.659404,7.706724,8.160633,7.340631,8.678935,8.252794,7.903387,7.808845,8.92374,9.505274,8.100262,9.073725,6.938686,9.620703,8.197617,5.781001,7.915505,7.99318,7.738013,7.309245,9.248138,8.600216,7.313539,7.780462,8.24891,8.244809,8.061878,9.165944,5.532545,8.711864,7.649989,8.402275,8.55688,7.923746,6.116467,7.969197,8.069562,8.430338,7.997134,8.524193,7.273933,8.060838,8.976951,6.855548,8.937652,7.359571,7.921649,8.327287,9.489287,8.512975,8.733846,9.875102,8.854426,5.759369,9.01199,7.08957,6.761707,6.976804,7.875902,8.019528,"EFS_L5"
"10","PACYGY",7.690082,9.238223,8.265336,8.266248,8.342443,6.891832,6.586986,8.202242,7.727224,6.10992,7.309445,5.886745,9.171587,8.00738,7.914298,7.823628,8.221922,6.997518,7.753665,8.558205,7.928414,6.958478,7.365724,8.776159,9.165047,8.480196,7.161104,8.901292,7.586787,5.529435,6.232922,7.636047,6.658625,7.509194,8.943931,9.806141,6.80614,7.839687,8.312758,7.876019,7.948457,8.633813,4.118607,8.213294,8.503508,8.302942,6.295676,7.215055,6.576736,7.370781,8.38286,8.520917,7.380399,9.232013,7.383424,7.62679,8.824507,7.476205,9.121632,7.999549,7.992388,8.651964,9.106426,8.023744,8.20061,9.582363,8.92207,7.178345,8.275781,6.977068,6.980706,6.950182,7.712717,7.330861,"EFS_L5"
"11","PACZPX",7.551034,9.016571,7.346942,8.920707,8.495675,5.892394,6.511311,7.414837,8.250206,6.093444,7.112444,5.673543,8.816903,6.645137,7.487541,6.458272,8.270748,6.917053,8.018808,8.507282,8.281768,7.329532,4.7218,9.274917,8.169877,8.791642,6.048282,9.516916,9.15985,5.331627,8.880928,7.576527,7.548472,6.964317,9.436173,10.476687,7.761372,7.717033,8.676579,7.593442,7.22356,8.365742,5.052107,7.673917,8.769315,6.929902,5.771375,7.928414,5.636735,8.118839,8.718052,7.908758,8.858495,9.634482,7.469458,7.660212,8.39058,6.48147,8.803921,7.688047,8.020658,6.411173,9.509681,8.426353,9.462116,9.670792,8.047722,7.096463,8.205167,7.725757,6.176874,7.975705,8.111756,7.472464,"EFS_G5"
