"","Row.names","ADCYAP1","ASAH1","BRAF","CREB1","CREB5","FRS2","MAP2K4","MAPK1","MAPK10","MAPK8","MAPK9","NTRK1","PIK3CD","PIK3R1","SHC1","TH","TUBA1A","EFS_fct"
"1","PAAPFA",5.271627,8.564344,8.398892,8.438399,6.646866,6.890564,7.719794,9.047032,6.721881,7.874911,8.013519,7.486689,6.306416,8.692898,8.99062,8.838786,11.412554,"EFS_L5"
"2","PACLJN",5.956818,9.225619,9.184417,8.662342,7.88891,6.782519,8.129925,9.316462,7.469059,8.452539,8.95081,9.45164,7.352656,9.308134,8.860373,10.420845,12.079631,"EFS_G5"
"4","PACRYY",5.640453,8.963777,9.319254,9.534917,6.931473,7.56859,8.456011,9.110128,7.349882,8.370347,9.121691,7.632319,7.145378,8.417528,8.415586,9.944878,12.098297,"EFS_G5"
"5","PACRZM",5.931901,9.023597,8.865856,9.052494,6.223299,7.08365,8.598385,8.898156,7.14728,7.761055,8.602457,9.495434,6.956842,8.446739,9.900543,10.067523,12.010006,"EFS_L5"
"6","PACSNL",7.421699,8.96276,8.687225,8.986499,7.47232,7.268907,8.717339,9.221039,7.323188,8.498308,8.490654,8.137208,7.381252,8.978921,9.113205,8.114259,12.005966,"EFS_L5"
"7","PACSSR",5.987447,7.149006,7.881242,7.241458,8.941124,5.696135,7.334653,7.343894,6.413967,6.715992,6.604062,7.544073,6.727341,7.827384,7.522619,8.974158,9.97243,"EFS_L5"
"8","PACUGP",6.872653,9.123626,8.438943,8.983681,7.764821,6.938323,8.362798,8.668985,6.77899,8.166709,7.945093,7.107323,6.847738,7.836152,8.062859,7.163865,11.599332,"EFS_L5"
"9","PACVNB",5.373151,9.17718,8.35724,8.547038,6.839239,6.624791,8.191748,9.125372,6.805853,8.24697,8.389977,6.728057,7.541392,7.649989,7.70492,7.862518,12.213204,"EFS_L5"
"10","PACYGY",7.610031,8.380492,8.230493,8.557664,7.753589,6.439204,7.958481,8.880235,6.149078,7.891853,7.629322,7.825306,7.075616,8.503508,9.085216,10.228542,11.981815,"EFS_L5"
"11","PACZPX",5.092657,8.224247,8.843523,8.892701,8.235549,6.737634,8.118112,8.115988,7.254648,8.207798,7.863598,6.899108,6.280868,8.769315,8.296657,7.907696,10.986426,"EFS_G5"
"12","PADENF",5.492091,8.341653,9.487503,9.527164,5.720833,7.246293,8.504093,9.710882,6.996412,8.48175,8.875556,9.30046,6.97592,8.135089,9.122635,9.765242,12.172078,"EFS_G5"
"13","PADFLI",7.572621,9.67338,7.971204,8.812546,6.337972,7.146834,7.563858,8.869337,7.299078,8.506233,8.015798,6.712838,6.292809,7.747695,8.018471,7.024522,12.259897,"EFS_G5"
"14","PADHWC",10.462978,9.30228,8.624095,8.196266,7.802819,7.15214,8.270151,9.005037,6.810905,7.495575,8.338535,8.903481,6.953925,8.749976,8.384349,9.225854,11.623081,"EFS_L5"
"15","PADIEY",5.10435,8.546766,8.966,8.643423,6.413109,6.639498,7.958787,8.940115,6.419078,8.17119,7.635902,8.929228,6.885916,7.570168,8.925469,9.809348,11.837113,"EFS_G5"
"16","PADIHC",7.276789,9.009133,8.89424,8.849166,7.471016,6.679204,8.092225,8.959667,6.912701,8.484534,8.309948,9.230049,6.70487,9.353466,9.282732,9.924101,11.841094,"EFS_L5"
"17","PADINC",5.242037,8.94188,8.80213,9.015219,8.027931,7.15643,8.092196,9.054325,7.213453,7.663361,7.802301,6.921357,6.894659,8.873105,9.369847,9.270745,11.52982,"EFS_L5"
