NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
MODULE_1	368	367		
MODULE_2	384	380		
MODULE_3	384	382		
MODULE_4	21	21		
MODULE_5	434	430		
MODULE_6	413	411		
MODULE_7	238	235		
MODULE_8	421	419		
MODULE_9	125	125		
MODULE_11	539		Rejected!	
MODULE_12	360	357		
MODULE_13	519		Rejected!	
MODULE_14	15	15		
MODULE_15	357	354		
MODULE_16	508		Rejected!	
MODULE_17	364	361		
MODULE_18	450	449		
MODULE_19	313	311		
MODULE_20	83	81		
MODULE_21	10		Rejected!	
MODULE_22	45	44		
MODULE_23	562		Rejected!	
MODULE_24	453	451		
MODULE_25	13		Rejected!	
MODULE_26	207	204		
MODULE_27	355	350		
MODULE_28	32	32		
MODULE_29	28	28		
MODULE_32	241	241		
MODULE_33	383	380		
MODULE_35	16	16		
MODULE_36	162	161		
MODULE_37	471	466		
MODULE_38	463	462		
MODULE_39	10		Rejected!	
MODULE_40	82	82		
MODULE_41	565		Rejected!	
MODULE_42	25	25		
MODULE_43	99	99		
MODULE_44	325	320		
MODULE_45	581		Rejected!	
MODULE_46	394	388		
MODULE_47	225	224		
MODULE_48	335	332		
MODULE_49	292	287		
MODULE_50	13		Rejected!	
MODULE_51	36	36		
MODULE_52	430	427		
MODULE_53	403	399		
MODULE_54	262	261		
MODULE_55	831		Rejected!	
MODULE_56	12		Rejected!	
MODULE_57	56	56		
MODULE_58	21	21		
MODULE_59	27	27		
MODULE_60	422	420		
MODULE_61	50	50		
MODULE_62	89	88		
MODULE_63	211	209		
MODULE_64	517		Rejected!	
MODULE_65	10		Rejected!	
MODULE_66	551		Rejected!	
MODULE_67	226	220		
MODULE_68	26	26		
MODULE_69	526		Rejected!	
MODULE_70	43	43		
MODULE_71	22	22		
MODULE_72	308	306		
MODULE_73	23	23		
MODULE_75	398	392		
MODULE_76	81	81		
MODULE_77	28	28		
MODULE_78	20	20		
MODULE_79	99	98		
MODULE_80	32	32		
MODULE_81	20	20		
MODULE_82	24	24		
MODULE_83	320	319		
MODULE_84	546		Rejected!	
MODULE_85	51	50		
MODULE_86	43	43		
MODULE_87	44	44		
MODULE_88	834		Rejected!	
MODULE_89	14		Rejected!	
MODULE_90	17	17		
MODULE_91	37	37		
MODULE_92	149	147		
MODULE_93	182	182		
MODULE_94	372	366		
MODULE_95	560		Rejected!	
MODULE_96	37	37		
MODULE_97	98	96		
MODULE_98	393	392		
MODULE_99	356	355		
MODULE_100	543		Rejected!	
MODULE_101	10		Rejected!	
MODULE_102	19	19		
MODULE_103	12		Rejected!	
MODULE_104	352	348		
MODULE_105	200	198		
MODULE_106	14		Rejected!	
MODULE_107	79	77		
MODULE_108	56	56		
MODULE_109	39	38		
MODULE_110	16	16		
MODULE_111	153	152		
MODULE_112	260	260		
MODULE_113	107	107		
MODULE_114	338	336		
MODULE_115	27	27		
MODULE_116	29	28		
MODULE_117	722		Rejected!	
MODULE_118	408	405		
MODULE_119	143	140		
MODULE_120	71	71		
MODULE_121	99	98		
MODULE_122	141	141		
MODULE_123	247	245		
MODULE_124	96	96		
MODULE_125	44	44		
MODULE_126	183	182		
MODULE_127	26	26		
MODULE_128	97	96		
MODULE_129	219	216		
MODULE_130	23	23		
MODULE_131	33	33		
MODULE_132	14		Rejected!	
MODULE_133	15	15		
MODULE_134	30	30		
MODULE_135	25	25		
MODULE_136	491	485		
MODULE_137	545		Rejected!	
MODULE_138	87	86		
MODULE_139	79	79		
MODULE_141	16	16		
MODULE_143	14		Rejected!	
MODULE_145	111	108		
MODULE_146	102	99		
MODULE_147	107	107		
MODULE_148	13		Rejected!	
MODULE_149	37	37		
MODULE_150	15	15		
MODULE_151	318	316		
MODULE_152	124	123		
MODULE_153	34	34		
MODULE_154	75	75		
MODULE_155	25	25		
MODULE_156	22	21		
MODULE_157	108	106		
MODULE_158	43	43		
MODULE_159	81	81		
MODULE_160	15	15		
MODULE_162	19	19		
MODULE_163	565		Rejected!	
MODULE_164	61	61		
MODULE_165	82	82		
MODULE_166	53	52		
MODULE_168	22	22		
MODULE_169	97	96		
MODULE_170	100	99		
MODULE_171	138	131		
MODULE_172	96	94		
MODULE_173	16	16		
MODULE_174	95	94		
MODULE_175	54	54		
MODULE_176	230	230		
MODULE_177	101	100		
MODULE_178	17	17		
MODULE_179	468	462		
MODULE_180	119	119		
MODULE_181	305	302		
MODULE_182	100	98		
MODULE_183	65	65		
MODULE_184	29	29		
MODULE_186	20	20		
MODULE_188	139	136		
MODULE_189	23	23		
MODULE_190	12		Rejected!	
MODULE_191	19	19		
MODULE_192	112	112		
MODULE_194	15	15		
MODULE_195	147	147		
MODULE_196	23	23		
MODULE_197	174	173		
MODULE_198	303	303		
MODULE_199	57	56		
MODULE_200	27	27		
MODULE_201	50	50		
MODULE_202	28	28		
MODULE_203	16	16		
MODULE_204	86	85		
MODULE_205	305	301		
MODULE_206	153	150		
MODULE_207	226	224		
MODULE_208	124	118		
MODULE_209	89	87		
MODULE_210	28	28		
MODULE_211	11		Rejected!	
MODULE_212	329	328		
MODULE_213	80	80		
MODULE_214	27	27		
MODULE_215	15	15		
MODULE_218	20	20		
MODULE_219	27	27		
MODULE_220	333	332		
MODULE_221	30	30		
MODULE_222	22	22		
MODULE_223	142	138		
MODULE_226	27	27		
MODULE_227	15	15		
MODULE_229	31	31		
MODULE_233	22	22		
MODULE_234	54	54		
MODULE_235	81	81		
MODULE_236	18	18		
MODULE_237	58	58		
MODULE_238	164	161		
MODULE_239	120	120		
MODULE_240	20	19		
MODULE_241	73	72		
MODULE_242	213	212		
MODULE_243	81	80		
MODULE_244	187	187		
MODULE_245	26	26		
MODULE_247	37	37		
MODULE_248	129	128		
MODULE_249	22	22		
MODULE_252	237	237		
MODULE_253	21	21		
MODULE_254	60	60		
MODULE_255	450	444		
MODULE_256	61	60		
