NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MODULE_186	MODULE_186	Details ...	20	-0.5950041	-1.5501277	0.03726708	1.0	0.641	1942	tags=25%, list=10%, signal=28%	
MODULE_173	MODULE_173	Details ...	16	-0.63407624	-1.5279683	0.061507937	1.0	0.699	3865	tags=50%, list=19%, signal=62%	
MODULE_421	MODULE_421	Details ...	28	-0.6994044	-1.5150832	0.06464647	1.0	0.719	2455	tags=46%, list=12%, signal=53%	
MODULE_150	MODULE_150	Details ...	15	-0.633131	-1.5062269	0.05668016	1.0	0.736	4517	tags=60%, list=22%, signal=77%	
MODULE_102	MODULE_102	Details ...	19	-0.6565412	-1.5029469	0.06786427	1.0	0.743	4428	tags=68%, list=22%, signal=87%	
MODULE_219	MODULE_219	Details ...	27	-0.6171015	-1.4784787	0.09561753	1.0	0.799	4789	tags=59%, list=24%, signal=77%	
MODULE_451	MODULE_451	Details ...	33	-0.70266074	-1.4465442	0.11825726	1.0	0.833	2219	tags=55%, list=11%, signal=61%	
MODULE_53	MODULE_53	Details ...	399	-0.46684328	-1.41502	0.08730159	1.0	0.872	3943	tags=41%, list=19%, signal=50%	
MODULE_126	MODULE_126	Details ...	182	-0.477327	-1.3852063	0.13052209	1.0	0.898	3797	tags=43%, list=19%, signal=52%	
MODULE_392	MODULE_392	Details ...	18	-0.67298937	-1.3828688	0.15384616	1.0	0.899	4513	tags=72%, list=22%, signal=93%	
MODULE_254	MODULE_254	Details ...	60	-0.60489804	-1.3752862	0.12825651	1.0	0.906	3870	tags=57%, list=19%, signal=70%	
MODULE_54	MODULE_54	Details ...	261	-0.6254849	-1.3716153	0.18940938	1.0	0.906	2758	tags=49%, list=14%, signal=56%	
MODULE_439	MODULE_439	Details ...	21	-0.61638874	-1.3691152	0.11728395	1.0	0.909	3904	tags=76%, list=19%, signal=94%	
MODULE_115	MODULE_115	Details ...	27	-0.4929377	-1.3311683	0.18052739	1.0	0.924	3927	tags=41%, list=19%, signal=50%	
MODULE_124	MODULE_124	Details ...	96	-0.5447137	-1.3309708	0.20120725	1.0	0.924	3865	tags=49%, list=19%, signal=60%	
MODULE_312	MODULE_312	Details ...	47	-0.6159213	-1.3221843	0.18163672	1.0	0.93	3870	tags=62%, list=19%, signal=76%	
MODULE_29	MODULE_29	Details ...	28	-0.618367	-1.3192934	0.2265625	1.0	0.93	4885	tags=71%, list=24%, signal=94%	
MODULE_552	MODULE_552	Details ...	18	-0.7297635	-1.3173764	0.24	1.0	0.935	2455	tags=61%, list=12%, signal=69%	
MODULE_403	MODULE_403	Details ...	46	-0.65705407	-1.3134463	0.23721881	1.0	0.938	2224	tags=63%, list=11%, signal=71%	
MODULE_17	MODULE_17	Details ...	361	-0.41206148	-1.2862806	0.212	1.0	0.945	5163	tags=46%, list=25%, signal=61%	
MODULE_263	MODULE_263		45	-0.64397013	-1.2783966	0.17964073	1.0	0.952	3509	tags=44%, list=17%, signal=54%	
