NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MODULE_389	MODULE_389	Details ...	213	0.44488463	1.593751	0.001992032	1.0	0.545	4162	tags=35%, list=21%, signal=44%	
MODULE_207	MODULE_207	Details ...	224	0.43659806	1.5751337	0.005988024	1.0	0.585	4199	tags=36%, list=21%, signal=45%	
MODULE_26	MODULE_26	Details ...	204	0.42903194	1.569458	0.004040404	0.97824955	0.596	4199	tags=33%, list=21%, signal=42%	
MODULE_511	MODULE_511	Details ...	38	0.48207355	1.5240428	0.016949153	1.0	0.71	2141	tags=29%, list=11%, signal=32%	
MODULE_214	MODULE_214	Details ...	27	0.65893215	1.5077701	0.03909465	1.0	0.745	1196	tags=30%, list=6%, signal=31%	
MODULE_310	MODULE_310	Details ...	22	0.6043592	1.4912796	0.076771654	1.0	0.774	3265	tags=36%, list=16%, signal=43%	
MODULE_215	MODULE_215	Details ...	15	0.799517	1.4779316	0.039014373	1.0	0.79	533	tags=40%, list=3%, signal=41%	
MODULE_36	MODULE_36	Details ...	161	0.4603057	1.4667827	0.047984645	1.0	0.808	4939	tags=46%, list=24%, signal=60%	
MODULE_341	MODULE_341	Details ...	83	0.43394044	1.4402055	0.061143983	1.0	0.838	2351	tags=24%, list=12%, signal=27%	
MODULE_67	MODULE_67	Details ...	220	0.3834175	1.4012202	0.017716536	1.0	0.87	4790	tags=34%, list=24%, signal=44%	
MODULE_411	MODULE_411	Details ...	79	0.4202014	1.3849537	0.078156315	1.0	0.884	2351	tags=24%, list=12%, signal=27%	
MODULE_274	MODULE_274	Details ...	82	0.52855575	1.3701981	0.12394958	1.0	0.895	1707	tags=27%, list=8%, signal=29%	
MODULE_49	MODULE_49	Details ...	287	0.33966303	1.3578978	0.045081966	1.0	0.904	2700	tags=20%, list=13%, signal=22%	
MODULE_305	MODULE_305	Details ...	19	0.56420565	1.3563291	0.14313726	1.0	0.904	4220	tags=42%, list=21%, signal=53%	
MODULE_567	MODULE_567	Details ...	97	0.37629077	1.3475095	0.12280702	1.0	0.911	4108	tags=32%, list=20%, signal=40%	
MODULE_184	MODULE_184	Details ...	29	0.5246021	1.345702	0.18371212	1.0	0.912	4951	tags=45%, list=24%, signal=59%	
MODULE_205	MODULE_205	Details ...	301	0.37608156	1.3411247	0.05179283	1.0	0.915	4108	tags=32%, list=20%, signal=39%	
MODULE_141	MODULE_141	Details ...	16	0.6477134	1.3342909	0.14285715	1.0	0.918	1189	tags=25%, list=6%, signal=27%	
MODULE_221	MODULE_221	Details ...	30	0.5140414	1.3117812	0.2007722	1.0	0.929	4951	tags=43%, list=24%, signal=57%	
MODULE_298	MODULE_298	Details ...	26	0.44742826	1.2452807	0.21956088	1.0	0.959	369	tags=8%, list=2%, signal=8%	
MODULE_206	MODULE_206		150	0.342396	1.2369431	0.19075145	1.0	0.962	4712	tags=33%, list=23%, signal=43%	
MODULE_37	MODULE_37		466	0.3294717	1.2081697	0.19066148	1.0	0.971	3465	tags=23%, list=17%, signal=27%	
MODULE_68	MODULE_68		26	0.42808744	1.1971266	0.24151696	1.0	0.972	369	tags=8%, list=2%, signal=8%	
MODULE_493	MODULE_493		68	0.38165635	1.1960732	0.24319066	1.0	0.972	7006	tags=53%, list=35%, signal=81%	
MODULE_378	MODULE_378		429	0.3432309	1.1917667	0.23483366	1.0	0.973	4056	tags=27%, list=20%, signal=33%	
MODULE_323	MODULE_323		61	0.41049644	1.1906874	0.31730768	1.0	0.973	5761	tags=43%, list=28%, signal=59%	
MODULE_317	MODULE_317		434	0.3432288	1.1904532	0.23529412	1.0	0.973	4056	tags=27%, list=20%, signal=33%	
MODULE_455	MODULE_455		39	0.3968223	1.1853483	0.22178218	1.0	0.973	761	tags=15%, list=4%, signal=16%	
