NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCALD	neurocalcin delta [Source:HGNC Symbol;Acc:HGNC:7655]	93	0.1411537081003189	0.021466963	Yes	
row_1	NTRK1	neurotrophic receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:8031]	122	0.1291421800851822	0.043948706	Yes	
row_2	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	147	0.12257938832044601	0.06541624	Yes	
row_3	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	169	0.1152694970369339	0.08568167	Yes	
row_4	ZBTB20	zinc finger and BTB domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13503]	327	0.09253488481044769	0.09497444	Yes	
row_5	TSHZ2	teashirt zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:13010]	330	0.09240002185106277	0.11195757	Yes	
row_6	MYO6	myosin VI [Source:HGNC Symbol;Acc:HGNC:7605]	356	0.09011285752058029	0.127373	Yes	
row_7	SLC30A4	solute carrier family 30 member 4 [Source:HGNC Symbol;Acc:HGNC:11015]	470	0.08253465592861176	0.1370071	Yes	
row_8	SCARNA21	small Cajal body-specific RNA 21 [Source:HGNC Symbol;Acc:HGNC:32579]	523	0.07861535996198654	0.14895296	Yes	
row_9	ZNF540	zinc finger protein 540 [Source:HGNC Symbol;Acc:HGNC:25331]	536	0.07796196639537811	0.16276905	Yes	
row_10	KIF3A	kinesin family member 3A [Source:HGNC Symbol;Acc:HGNC:6319]	549	0.07725485414266586	0.17645441	Yes	
row_11	FAM131B	family with sequence similarity 131 member B [Source:HGNC Symbol;Acc:HGNC:22202]	561	0.07691934704780579	0.19012752	Yes	
row_12	NUAK1	NUAK family kinase 1 [Source:HGNC Symbol;Acc:HGNC:14311]	605	0.07521221786737442	0.2018922	Yes	
row_13	AUTS2	activator of transcription and developmental regulator AUTS2 [Source:HGNC Symbol;Acc:HGNC:14262]	658	0.07316826283931732	0.212831	Yes	
row_14	LINC00869	long intergenic non-protein coding RNA 869 [Source:HGNC Symbol;Acc:HGNC:29050]	711	0.07050549983978271	0.22327752	Yes	
row_15	IKZF2	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]	785	0.06756486743688583	0.23213509	Yes	
row_16	NEO1	neogenin 1 [Source:HGNC Symbol;Acc:HGNC:7754]	803	0.06705981492996216	0.24368675	Yes	
row_17	GSTM2	glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]	812	0.06681632995605469	0.25564137	Yes	
row_18	YPEL1	yippee like 1 [Source:HGNC Symbol;Acc:HGNC:12845]	837	0.06587084382772446	0.26662478	Yes	
row_19	RNF165	ring finger protein 165 [Source:HGNC Symbol;Acc:HGNC:31696]	893	0.06373713165521622	0.27567065	Yes	
row_20	MPP6	membrane palmitoylated protein 6 [Source:HGNC Symbol;Acc:HGNC:18167]	910	0.06328696757555008	0.28657457	Yes	
row_21	CEP126	centrosomal protein 126 [Source:HGNC Symbol;Acc:HGNC:29264]	912	0.0632862076163292	0.298225	Yes	
row_22	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]	968	0.06182429939508438	0.30691722	Yes	
row_23	AP004608.1	B3GAT1 diverget transcript [Source:HGNC Symbol;Acc:HGNC:27449]	970	0.06176447495818138	0.3182863	Yes	
row_24	SGCD	sarcoglycan delta [Source:HGNC Symbol;Acc:HGNC:10807]	1010	0.06061304360628128	0.327551	Yes	
row_25	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	1149	0.057315316051244736	0.33127823	Yes	
row_26	DRAXIN	dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:HGNC:25054]	1179	0.05677410215139389	0.34033096	Yes	
row_27	B3GAT1	beta-1,3-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:921]	1449	0.05143560469150543	0.33645052	Yes	
row_28	KLRB1	killer cell lectin like receptor B1 [Source:HGNC Symbol;Acc:HGNC:6373]	1818	0.045588236302137375	0.32656118	Yes	
row_29	GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]	1913	0.04430041089653969	0.33007237	Yes	
row_30	CDHR3	cadherin related family member 3 [Source:HGNC Symbol;Acc:HGNC:26308]	2338	0.03910902515053749	0.31619772	Yes	
row_31	NAP1L2	nucleosome assembly protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:7638]	2616	0.036445364356040955	0.3091477	Yes	
row_32	RPS6KA5	ribosomal protein S6 kinase A5 [Source:HGNC Symbol;Acc:HGNC:10434]	2620	0.036408115178346634	0.3157294	Yes	
row_33	ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:3358]	2750	0.03514774888753891	0.31580633	Yes	
row_34	FAM169A	family with sequence similarity 169 member A [Source:HGNC Symbol;Acc:HGNC:29138]	2768	0.034915100783109665	0.32141513	Yes	
row_35	AC089984.2	MRS2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33942]	2858	0.03399145230650902	0.32326934	Yes	
row_36	CTAGE6	CTAGE family member 6 [Source:HGNC Symbol;Acc:HGNC:28644]	2923	0.033405277878046036	0.32625955	Yes	
row_37	TSPYL1	TSPY like 1 [Source:HGNC Symbol;Acc:HGNC:12382]	2951	0.03316357359290123	0.3310468	Yes	
row_38	SYTL2	synaptotagmin like 2 [Source:HGNC Symbol;Acc:HGNC:15585]	3022	0.03259407728910446	0.33358836	Yes	
row_39	BMPR1A	bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]	3131	0.031785301864147186	0.33408895	Yes	
row_40	GATA3	GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]	3236	0.031008629128336906	0.33464503	Yes	
row_41	GPR68	G protein-coupled receptor 68 [Source:HGNC Symbol;Acc:HGNC:4519]	3302	0.03050726279616356	0.3370497	Yes	
row_42	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	3332	0.030171383172273636	0.3411842	Yes	
row_43	MAGEE1	MAGE family member E1 [Source:HGNC Symbol;Acc:HGNC:24934]	3346	0.03010856918990612	0.34610352	Yes	
row_44	MS4A2	membrane spanning 4-domains A2 [Source:HGNC Symbol;Acc:HGNC:7316]	3450	0.029309777542948723	0.34639528	Yes	
row_45	TMEM182	transmembrane protein 182 [Source:HGNC Symbol;Acc:HGNC:26391]	3491	0.028982585296034813	0.34976247	Yes	
row_46	ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	3544	0.02860487811267376	0.35246253	Yes	
row_47	CCN3	cellular communication network factor 3 [Source:HGNC Symbol;Acc:HGNC:7885]	3699	0.027508515864610672	0.34988272	Yes	
row_48	PLEKHA1	pleckstrin homology domain containing A1 [Source:HGNC Symbol;Acc:HGNC:14335]	3708	0.027438778430223465	0.35455734	Yes	
row_49	TFDP2	transcription factor Dp-2 [Source:HGNC Symbol;Acc:HGNC:11751]	3711	0.027423730120062828	0.3595278	Yes	
row_50	ZNF830	zinc finger protein 830 [Source:HGNC Symbol;Acc:HGNC:28291]	3748	0.027095451951026917	0.3627452	Yes	
row_51	SEMA4C	semaphorin 4C [Source:HGNC Symbol;Acc:HGNC:10731]	3785	0.026790210977196693	0.36590618	Yes	
row_52	ADGRB2	adhesion G protein-coupled receptor B2 [Source:HGNC Symbol;Acc:HGNC:944]	3898	0.02600935846567154	0.3651398	Yes	
row_53	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	3928	0.025813378393650055	0.3684686	Yes	
row_54	MLF1	myeloid leukemia factor 1 [Source:HGNC Symbol;Acc:HGNC:7125]	3951	0.025598427280783653	0.3721061	Yes	
row_55	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]	4202	0.02397540956735611	0.36409461	No	
row_56	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	4334	0.02322833612561226	0.36186835	No	
row_57	SLC4A4	solute carrier family 4 member 4 [Source:HGNC Symbol;Acc:HGNC:11030]	4593	0.021593010053038597	0.3530182	No	
row_58	RHOBTB3	Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]	4610	0.021471165120601654	0.3561913	No	
row_59	ST8SIA6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:23317]	4646	0.021286288276314735	0.35838452	No	
row_60	ZNF365	zinc finger protein 365 [Source:HGNC Symbol;Acc:HGNC:18194]	4649	0.02123655192553997	0.3622111	No	
row_61	COLGALT2	collagen beta(1-O)galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16790]	4661	0.021168464794754982	0.36557716	No	
row_62	TNRC6C	trinucleotide repeat containing adaptor 6C [Source:HGNC Symbol;Acc:HGNC:29318]	4780	0.020495306700468063	0.3634927	No	
row_63	ARVCF	ARVCF delta catenin family member [Source:HGNC Symbol;Acc:HGNC:728]	4940	0.01962084323167801	0.35920575	No	
row_64	CORO6	coronin 6 [Source:HGNC Symbol;Acc:HGNC:21356]	5002	0.01925612799823284	0.35972944	No	
row_65	GDF11	growth differentiation factor 11 [Source:HGNC Symbol;Acc:HGNC:4216]	5016	0.019192146137356758	0.36263055	No	
