NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANO6	anoctamin 6 [Source:HGNC Symbol;Acc:HGNC:25240]	538	0.07791978865861893	0.08312967	Yes	
row_1	INTS4	integrator complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:25048]	780	0.06786990165710449	0.16677085	Yes	
row_2	ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	1961	0.043529972434043884	0.16980761	Yes	
row_3	RTN4	reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]	2090	0.041955605149269104	0.22254813	Yes	
row_4	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	2528	0.037313733249902725	0.2535044	Yes	
row_5	ATP6V1A	ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]	2615	0.03644736856222153	0.30056423	Yes	
row_6	FAM8A1	family with sequence similarity 8 member A1 [Source:HGNC Symbol;Acc:HGNC:16372]	3042	0.032428592443466187	0.32518694	Yes	
row_7	PMPCB	peptidase, mitochondrial processing subunit beta [Source:HGNC Symbol;Acc:HGNC:9119]	3292	0.0305534228682518	0.35590568	Yes	
row_8	PITRM1	pitrilysin metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:17663]	4177	0.024136347696185112	0.34625214	Yes	
row_9	GGCX	gamma-glutamyl carboxylase [Source:HGNC Symbol;Acc:HGNC:4247]	4518	0.022098170593380928	0.3605779	Yes	
row_10	AAR2	AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886]	4718	0.0208762064576149	0.38014242	Yes	
row_11	ATP1B1	ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]	4830	0.020213136449456215	0.4031167	Yes	
row_12	TARS2	threonyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:30740]	5192	0.018150273710489273	0.4108489	Yes	
row_13	REEP6	receptor accessory protein 6 [Source:HGNC Symbol;Acc:HGNC:30078]	6247	0.01277097687125206	0.37680706	No	
row_14	SLC25A21	solute carrier family 25 member 21 [Source:HGNC Symbol;Acc:HGNC:14411]	7241	0.008602890186011791	0.33990872	No	
row_15	TUBGCP2	tubulin gamma complex associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18599]	8747	0.0029767416417598724	0.26982188	No	
row_16	TUBGCP3	tubulin gamma complex associated protein 3 [Source:HGNC Symbol;Acc:HGNC:18598]	9740	-3.420301654841751E-4	0.2213447	No	
row_17	COQ8B	coenzyme Q8B [Source:HGNC Symbol;Acc:HGNC:19041]	10481	-0.0026563936844468117	0.18856233	No	
row_18	BZW2	basic leucine zipper and W2 domains 2 [Source:HGNC Symbol;Acc:HGNC:18808]	10593	-0.0029937082435935736	0.18729812	No	
row_19	AKAP8L	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]	11176	-0.004830484744161367	0.1653739	No	
row_20	SLC30A9	solute carrier family 30 member 9 [Source:HGNC Symbol;Acc:HGNC:1329]	11403	-0.005414342973381281	0.16184138	No	
row_21	ETFA	electron transfer flavoprotein subunit alpha [Source:HGNC Symbol;Acc:HGNC:3481]	14377	-0.013755729421973228	0.03447643	No	
row_22	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	15285	-0.016578076407313347	0.013048547	No	
row_23	FASTKD5	FAST kinase domains 5 [Source:HGNC Symbol;Acc:HGNC:25790]	16027	-0.019495999440550804	0.0039206804	No	
row_24	PSMD8	proteasome 26S subunit, non-ATPase 8 [Source:HGNC Symbol;Acc:HGNC:9566]	16106	-0.019829023629426956	0.027982937	No	
row_25	YIF1A	Yip1 interacting factor homolog A, membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:16688]	16499	-0.021474240347743034	0.03886405	No	
row_26	PMPCA	peptidase, mitochondrial processing subunit alpha [Source:HGNC Symbol;Acc:HGNC:18667]	17461	-0.026370814070105553	0.028555581	No	
row_27	AASS	aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]	18588	-0.035477165132761	0.022922117	No	
row_28	SAAL1	serum amyloid A like 1 [Source:HGNC Symbol;Acc:HGNC:25158]	19104	-0.043355271220207214	0.05853304	No	
