NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAR2	fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]	43	0.17449896037578583	0.265394	Yes	
row_1	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18828]	1237	0.055469974875450134	0.2915681	Yes	
row_2	PIGS	phosphatidylinositol glycan anchor biosynthesis class S [Source:HGNC Symbol;Acc:HGNC:14937]	2705	0.035621993243694305	0.27379474	Yes	
row_3	NDFIP2	Nedd4 family interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:18537]	3036	0.032464511692523956	0.30728185	Yes	
row_4	DPY19L1	dpy-19 like C-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:22205]	3311	0.03035784140229225	0.34030244	Yes	
row_5	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]	3422	0.02954273670911789	0.3801654	Yes	
row_6	TAPT1	transmembrane anterior posterior transformation 1 [Source:HGNC Symbol;Acc:HGNC:26887]	3540	0.02863743156194687	0.4182951	Yes	
row_7	TMEM39B	transmembrane protein 39B [Source:HGNC Symbol;Acc:HGNC:25510]	3563	0.02847856841981411	0.46086866	Yes	
row_8	GHITM	growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:HGNC:17281]	4112	0.02456885762512684	0.47149494	Yes	
row_9	SLC30A6	solute carrier family 30 member 6 [Source:HGNC Symbol;Acc:HGNC:19305]	4258	0.02369549125432968	0.5006668	Yes	
row_10	RETREG3	reticulophagy regulator family member 3 [Source:HGNC Symbol;Acc:HGNC:27258]	5136	0.018425455316901207	0.48564166	No	
row_11	ALG8	ALG8 alpha-1,3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23161]	5770	0.015137776732444763	0.4776156	No	
row_12	GPAA1	glycosylphosphatidylinositol anchor attachment 1 [Source:HGNC Symbol;Acc:HGNC:4446]	7458	0.007739073596894741	0.4062412	No	
row_13	NLRX1	NLR family member X1 [Source:HGNC Symbol;Acc:HGNC:29890]	8323	0.004361660685390234	0.37029698	No	
row_14	TMED5	transmembrane p24 trafficking protein 5 [Source:HGNC Symbol;Acc:HGNC:24251]	8403	0.004103225655853748	0.3726895	No	
row_15	SCAP	SREBF chaperone [Source:HGNC Symbol;Acc:HGNC:30634]	9603	9.74368304014206E-5	0.31367865	No	
row_16	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9 [Source:HGNC Symbol;Acc:HGNC:7704]	9654	-6.220181967364624E-5	0.31130692	No	
row_17	F2RL1	F2R like trypsin receptor 1 [Source:HGNC Symbol;Acc:HGNC:3538]	10183	-0.0017551534110680223	0.28794548	No	
row_18	PIGO	phosphatidylinositol glycan anchor biosynthesis class O [Source:HGNC Symbol;Acc:HGNC:23215]	10490	-0.002693281741812825	0.27697596	No	
row_19	WFS1	wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]	14495	-0.01417019497603178	0.10113704	No	
row_20	ECSIT	ECSIT signaling integrator [Source:HGNC Symbol;Acc:HGNC:29548]	16815	-0.022834114730358124	0.021720426	No	
row_21	UBXN8	UBX domain protein 8 [Source:HGNC Symbol;Acc:HGNC:30307]	16944	-0.02344093844294548	0.05134088	No	
row_22	ABCC1	ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]	18165	-0.031501635909080505	0.039438095	No	
row_23	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	19056	-0.042635634541511536	0.060886916	No	
