NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	348	0.09061656892299652	-0.008206722	No	
row_1	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	697	0.07112536579370499	-0.01842601	No	
row_2	SFT2D1	SFT2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21102]	1064	0.05940297618508339	-0.030764142	No	
row_3	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	1086	0.05904753878712654	-0.025727043	No	
row_4	BNIP3L	BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]	1430	0.05171522870659828	-0.037698176	No	
row_5	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	1498	0.050702016800642014	-0.035844386	No	
row_6	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	1609	0.0486728809773922	-0.036370296	No	
row_7	DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	1706	0.04738539457321167	-0.036322575	No	
row_8	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	1786	0.04609609767794609	-0.035550002	No	
row_9	CD24	CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]	1925	0.04411588981747627	-0.037959587	No	
row_10	GSTM3	glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]	2056	0.042347948998212814	-0.040147968	No	
row_11	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	2101	0.04184607416391373	-0.0380478	No	
row_12	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	2125	0.0415654219686985	-0.03491676	No	
row_13	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	2157	0.04128547012805939	-0.032218378	No	
row_14	FDCSP	follicular dendritic cell secreted protein [Source:HGNC Symbol;Acc:HGNC:19215]	2236	0.04034890979528427	-0.03198876	No	
row_15	SPTAN1	spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]	2417	0.03832714259624481	-0.037115775	No	
row_16	ATP13A2	ATPase cation transporting 13A2 [Source:HGNC Symbol;Acc:HGNC:30213]	2575	0.036826811730861664	-0.04123691	No	
row_17	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:1096]	2656	0.03606301546096802	-0.041550774	No	
row_18	NRM	nurim [Source:HGNC Symbol;Acc:HGNC:8003]	2667	0.03598310053348541	-0.038340032	No	
row_19	CDKN2AIPNL	CDKN2A interacting protein N-terminal like [Source:HGNC Symbol;Acc:HGNC:30545]	2805	0.03454585000872612	-0.041687302	No	
row_20	COA3	cytochrome c oxidase assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:24990]	2828	0.034319981932640076	-0.039253917	No	
row_21	F11R	F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]	2874	0.03385557234287262	-0.03802928	No	
row_22	CLPB	caseinolytic mitochondrial matrix peptidase chaperone subunit B [Source:HGNC Symbol;Acc:HGNC:30664]	2926	0.03338860720396042	-0.037155677	No	
row_23	COX7A2	cytochrome c oxidase subunit 7A2 [Source:HGNC Symbol;Acc:HGNC:2288]	3037	0.03245095908641815	-0.039356582	No	
row_24	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	3188	0.03135564923286438	-0.04368936	No	
row_25	VAT1	vesicle amine transport 1 [Source:HGNC Symbol;Acc:HGNC:16919]	3308	0.030407270416617393	-0.04655551	No	
row_26	RARRES1	retinoic acid receptor responder 1 [Source:HGNC Symbol;Acc:HGNC:9867]	3375	0.029920460656285286	-0.046797052	No	
row_27	C2CD4A	C2 calcium dependent domain containing 4A [Source:HGNC Symbol;Acc:HGNC:33627]	3602	0.028172237798571587	-0.0552942	No	
row_28	SEMA4F	ssemaphorin 4F [Source:HGNC Symbol;Acc:HGNC:10734]	3608	0.02814345806837082	-0.052640595	No	
row_29	TAGLN2	transgelin 2 [Source:HGNC Symbol;Acc:HGNC:11554]	3819	0.026495108380913734	-0.06050341	No	
row_30	MYL6	myosin light chain 6 [Source:HGNC Symbol;Acc:HGNC:7587]	3837	0.02643483690917492	-0.05863186	No	
row_31	MRPL30	mitochondrial ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:14036]	3840	0.02641419507563114	-0.0560054	No	
row_32	MPDU1	mannose-P-dolichol utilization defect 1 [Source:HGNC Symbol;Acc:HGNC:7207]	3937	0.02574346959590912	-0.058192316	No	
row_33	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	3967	0.025495605543255806	-0.057023376	No	
row_34	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2 [Source:HGNC Symbol;Acc:HGNC:6305]	3979	0.025392157956957817	-0.054956675	No	
row_35	SPINT2	serine peptidase inhibitor, Kunitz type 2 [Source:HGNC Symbol;Acc:HGNC:11247]	4146	0.02433246560394764	-0.060822137	No	
row_36	UNC5A	unc-5 netrin receptor A [Source:HGNC Symbol;Acc:HGNC:12567]	4275	0.023597773164510727	-0.06484563	No	
