NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCALD	neurocalcin delta [Source:HGNC Symbol;Acc:HGNC:7655]	93	0.1411537081003189	0.0073718475	No	
row_1	RHBDL3	rhomboid like 3 [Source:HGNC Symbol;Acc:HGNC:16502]	341	0.09092580527067184	0.002671369	No	
row_2	NTRK3	neurotrophic receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:8033]	374	0.08817163854837418	0.008593991	No	
row_3	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	697	0.07112536579370499	-0.0015873284	No	
row_4	EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	847	0.06562359631061554	-0.0035016825	No	
row_5	CACNA1G	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]	959	0.06212475150823593	-0.003796	No	
row_6	SCARA3	scavenger receptor class A member 3 [Source:HGNC Symbol;Acc:HGNC:19000]	1031	0.06023027002811432	-0.0022320962	No	
row_7	SLC25A11	solute carrier family 25 member 11 [Source:HGNC Symbol;Acc:HGNC:10981]	1239	0.055461131036281586	-0.007944646	No	
row_8	HOXB6	homeobox B6 [Source:HGNC Symbol;Acc:HGNC:5117]	1266	0.05502566695213318	-0.004553015	No	
row_9	EPHB6	EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]	1270	0.05488406866788864	-1.1874039E-5	No	
row_10	MYO18A	myosin XVIIIA [Source:HGNC Symbol;Acc:HGNC:31104]	1347	0.053368352353572845	7.128021E-4	No	
row_11	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	1500	0.05068370699882507	-0.0026304459	No	
row_12	PEG10	paternally expressed 10 [Source:HGNC Symbol;Acc:HGNC:14005]	1597	0.04888272285461426	-0.0032993974	No	
row_13	MTUS1	microtubule associated scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:29789]	1754	0.04674569517374039	-0.0071813706	No	
row_14	THRA	thyroid hormone receptor alpha [Source:HGNC Symbol;Acc:HGNC:11796]	1949	0.04369410127401352	-0.013243451	No	
row_15	PCDH9	protocadherin 9 [Source:HGNC Symbol;Acc:HGNC:8661]	2093	0.04193165525794029	-0.016880464	No	
row_16	PDK2	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]	2132	0.04153439402580261	-0.015248414	No	
row_17	MAP2K6	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]	2346	0.03906238451600075	-0.022666108	No	
row_18	DISP2	dispatched RND transporter family member 2 [Source:HGNC Symbol;Acc:HGNC:19712]	2713	0.03552906960248947	-0.038113177	No	
row_19	VASH2	vasohibin 2 [Source:HGNC Symbol;Acc:HGNC:25723]	2824	0.03435474634170532	-0.04073136	No	
row_20	NR2F1	nuclear receptor subfamily 2 group F member 1 [Source:HGNC Symbol;Acc:HGNC:7975]	2827	0.0343363881111145	-0.037896566	No	
row_21	SHPK	sedoheptulokinase [Source:HGNC Symbol;Acc:HGNC:1492]	2884	0.03375658020377159	-0.03783862	No	
row_22	CXXC5	CXXC finger protein 5 [Source:HGNC Symbol;Acc:HGNC:26943]	2907	0.0335501991212368	-0.036081146	No	
row_23	SYNM	synemin [Source:HGNC Symbol;Acc:HGNC:24466]	3083	0.03213558346033096	-0.0421719	No	
row_24	MPP2	membrane palmitoylated protein 2 [Source:HGNC Symbol;Acc:HGNC:7220]	3177	0.03144090622663498	-0.04418063	No	
row_25	FOXRED1	FAD dependent oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26927]	3221	0.031114865094423294	-0.04369199	No	
row_26	HAT1	histone acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4821]	3250	0.03089240938425064	-0.042464793	No	
row_27	TTYH3	tweety family member 3 [Source:HGNC Symbol;Acc:HGNC:22222]	3408	0.029666004702448845	-0.047857605	No	
row_28	CUEDC1	CUE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:31350]	3740	0.027197392657399178	-0.062249366	No	
row_29	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	3758	0.02697993814945221	-0.060801134	No	
row_30	NCAPD3	non-SMC condensin II complex subunit D3 [Source:HGNC Symbol;Acc:HGNC:28952]	3889	0.02613132633268833	-0.06513253	No	
row_31	MPC2	mitochondrial pyruvate carrier 2 [Source:HGNC Symbol;Acc:HGNC:24515]	4189	0.024055715650320053	-0.078176744	No	
row_32	ACAT2	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	4307	0.023417478427290916	-0.08208361	No	
row_33	GPRIN2	G protein regulated inducer of neurite outgrowth 2 [Source:HGNC Symbol;Acc:HGNC:23730]	4377	0.02290993742644787	-0.08360963	No	
row_34	RADIL	Rap associating with DIL domain [Source:HGNC Symbol;Acc:HGNC:22226]	4384	0.02285289578139782	-0.08195872	No	
row_35	DOK4	docking protein 4 [Source:HGNC Symbol;Acc:HGNC:19868]	4526	0.022049134597182274	-0.087194696	No	
row_36	PRR15L	proline rich 15 like [Source:HGNC Symbol;Acc:HGNC:28149]	4633	0.021356040611863136	-0.09072227	No	
row_37	PSMD3	proteasome 26S subunit, non-ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9560]	4668	0.021122142672538757	-0.09063347	No	
row_38	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	4683	0.02105703018605709	-0.08954014	No	
row_39	ARHGAP18	Rho GTPase activating protein 18 [Source:HGNC Symbol;Acc:HGNC:21035]	4713	0.020905541256070137	-0.089217335	No	
row_40	ATP6V0E2	ATPase H+ transporting V0 subunit e2 [Source:HGNC Symbol;Acc:HGNC:21723]	4787	0.02046448551118374	-0.09115446	No	
row_41	EMC6	ER membrane protein complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28430]	4801	0.02040192298591137	-0.09006664	No	
row_42	CCNE2	cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]	4810	0.020313676446676254	-0.08873384	No	
row_43	SLC27A3	solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]	5108	0.01861295849084854	-0.10214241	No	
row_44	NEB	nebulin [Source:HGNC Symbol;Acc:HGNC:7720]	5190	0.018161587417125702	-0.10468048	No	
row_45	SNAPIN	SNAP associated protein [Source:HGNC Symbol;Acc:HGNC:17145]	5257	0.01777765341103077	-0.1064938	No	
row_46	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	5310	0.017462370917201042	-0.107627004	No	
row_47	WRAP53	WD repeat containing antisense to TP53 [Source:HGNC Symbol;Acc:HGNC:25522]	5324	0.017405595630407333	-0.10679537	No	
row_48	ITGA11	integrin subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:6136]	5374	0.017125053331255913	-0.10780591	No	
row_49	UCP2	uncoupling protein 2 [Source:HGNC Symbol;Acc:HGNC:12518]	5484	0.01652946136891842	-0.11189767	No	
row_50	PEBP1	phosphatidylethanolamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8630]	5565	0.01614442467689514	-0.114557706	No	
row_51	INSL4	insulin like 4 [Source:HGNC Symbol;Acc:HGNC:6087]	5615	0.01586936041712761	-0.1156756	No	
row_52	HS6ST1	heparan sulfate 6-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5201]	6000	0.013957010582089424	-0.1338762	No	
