NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPOCK3	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3 [Source:HGNC Symbol;Acc:HGNC:13565]	26	0.19292758405208588	0.014296277	Yes	
row_1	NAV3	neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]	37	0.17871330678462982	0.028249009	Yes	
row_2	FAT3	FAT atypical cadherin 3 [Source:HGNC Symbol;Acc:HGNC:23112]	56	0.16107985377311707	0.04037217	Yes	
row_3	ZNF608	zinc finger protein 608 [Source:HGNC Symbol;Acc:HGNC:29238]	117	0.1314769834280014	0.047984157	Yes	
row_4	GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	121	0.1291564702987671	0.058280837	Yes	
row_5	BTBD3	BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15854]	134	0.1257914900779724	0.067851774	Yes	
row_6	FBXO30	F-box protein 30 [Source:HGNC Symbol;Acc:HGNC:15600]	173	0.11414232850074768	0.07517016	Yes	
row_7	RNF182	ring finger protein 182 [Source:HGNC Symbol;Acc:HGNC:28522]	190	0.1110701784491539	0.08334868	Yes	
row_8	PYGO1	pygopus family PHD finger 1 [Source:HGNC Symbol;Acc:HGNC:30256]	240	0.10316692292690277	0.0892249	Yes	
row_9	BAZ2B	bromodomain adjacent to zinc finger domain 2B [Source:HGNC Symbol;Acc:HGNC:963]	258	0.10042782872915268	0.09649213	Yes	
row_10	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	339	0.09107797592878342	0.09982826	Yes	
row_11	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	345	0.09079648554325104	0.10692109	Yes	
row_12	ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent [Source:HGNC Symbol;Acc:HGNC:30925]	358	0.09009655565023422	0.11360456	Yes	
row_13	WDR47	WD repeat domain 47 [Source:HGNC Symbol;Acc:HGNC:29141]	367	0.0891275405883789	0.12041121	Yes	
row_14	QPCT	glutaminyl-peptide cyclotransferase [Source:HGNC Symbol;Acc:HGNC:9753]	394	0.08704284578561783	0.12614216	Yes	
row_15	EXOC6B	exocyst complex component 6B [Source:HGNC Symbol;Acc:HGNC:17085]	400	0.086552694439888	0.1328917	Yes	
row_16	SLC46A3	solute carrier family 46 member 3 [Source:HGNC Symbol;Acc:HGNC:27501]	406	0.08632027357816696	0.13962243	Yes	
row_17	RGMB	repulsive guidance molecule BMP co-receptor b [Source:HGNC Symbol;Acc:HGNC:26896]	501	0.08010465651750565	0.1413654	Yes	
row_18	ANO6	anoctamin 6 [Source:HGNC Symbol;Acc:HGNC:25240]	538	0.07791978865861893	0.14585441	Yes	
row_19	TECTA	tectorin alpha [Source:HGNC Symbol;Acc:HGNC:11720]	566	0.07678341120481491	0.15070505	Yes	
row_20	ALG9	ALG9 alpha-1,2-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:15672]	567	0.07676297426223755	0.15691464	Yes	
row_21	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	612	0.07461065798997879	0.16073282	Yes	
row_22	PRKACB	protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]	626	0.07433421164751053	0.16609083	Yes	
row_23	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	672	0.07227733731269836	0.16966988	Yes	
row_24	SYT13	synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]	699	0.0710822194814682	0.17410971	Yes	
row_25	LRRC28	leucine rich repeat containing 28 [Source:HGNC Symbol;Acc:HGNC:28355]	729	0.06976188719272614	0.17829157	Yes	
row_26	INTS4	integrator complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:25048]	780	0.06786990165710449	0.18126212	Yes	
row_27	ANKRD50	ankyrin repeat domain 50 [Source:HGNC Symbol;Acc:HGNC:29223]	811	0.06682609021663666	0.18515609	Yes	
row_28	ZC3H12B	zinc finger CCCH-type containing 12B [Source:HGNC Symbol;Acc:HGNC:17407]	951	0.0623515322804451	0.18319526	Yes	
row_29	IRS1	insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]	1024	0.06032056361436844	0.18444647	Yes	
row_30	FER	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]	1044	0.05987963452935219	0.18833286	Yes	
row_31	GCA	grancalcin [Source:HGNC Symbol;Acc:HGNC:15990]	1052	0.05966763198375702	0.1928068	Yes	
row_32	TTC30A	tetratricopeptide repeat domain 30A [Source:HGNC Symbol;Acc:HGNC:25853]	1066	0.059353169053792953	0.19695294	Yes	
row_33	SYTL5	synaptotagmin like 5 [Source:HGNC Symbol;Acc:HGNC:15589]	1067	0.05934743955731392	0.20175374	Yes	
row_34	ARL6IP6	ADP ribosylation factor like GTPase 6 interacting protein 6 [Source:HGNC Symbol;Acc:HGNC:24048]	1078	0.0592297688126564	0.20604108	Yes	
row_35	AKAP6	A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376]	1104	0.058522894978523254	0.20951535	Yes	
row_36	FBXO9	F-box protein 9 [Source:HGNC Symbol;Acc:HGNC:13588]	1147	0.057343367487192154	0.21203752	Yes	
row_37	SBDSP1	SBDS pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:21646]	1177	0.056827362626791	0.21517305	Yes	
row_38	DAPK1	death associated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:2674]	1193	0.05651595816016197	0.21898891	Yes	
row_39	SBDS	SBDS ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:19440]	1194	0.056367941200733185	0.22354868	Yes	
row_40	SLC35F5	solute carrier family 35 member F5 [Source:HGNC Symbol;Acc:HGNC:23617]	1214	0.056046660989522934	0.227125	Yes	
row_41	AP2B1	adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]	1223	0.055827509611845016	0.2312379	Yes	
row_42	PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	1249	0.05527837201952934	0.23444971	Yes	
row_43	PJA2	praja ring finger ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:17481]	1258	0.05512364208698273	0.23850569	Yes	
row_44	DMXL1	Dmx like 1 [Source:HGNC Symbol;Acc:HGNC:2937]	1330	0.05363573506474495	0.23926654	Yes	
row_45	CDKL2	cyclin dependent kinase like 2 [Source:HGNC Symbol;Acc:HGNC:1782]	1333	0.0536014698445797	0.24350174	Yes	
row_46	FMN2	formin 2 [Source:HGNC Symbol;Acc:HGNC:14074]	1341	0.05345354601740837	0.24747302	Yes	
row_47	ZW10	zw10 kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13194]	1367	0.05309349298477173	0.25050807	Yes	
row_48	AQP11	aquaporin 11 [Source:HGNC Symbol;Acc:HGNC:19940]	1368	0.05308541655540466	0.25480232	Yes	
row_49	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17075]	1432	0.05168358236551285	0.25580838	Yes	
row_50	METTL25	methyltransferase like 25 [Source:HGNC Symbol;Acc:HGNC:26228]	1530	0.05016595125198364	0.25497836	Yes	
row_51	KRBA2	KRAB-A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26989]	1551	0.049638256430625916	0.25798586	Yes	
row_52	MED31	mediator complex subunit 31 [Source:HGNC Symbol;Acc:HGNC:24260]	1554	0.04962716996669769	0.2618996	Yes	
row_53	TMEM14A	transmembrane protein 14A [Source:HGNC Symbol;Acc:HGNC:21076]	1592	0.04897105321288109	0.26399645	Yes	
row_54	STT3A	STT3 oligosaccharyltransferase complex catalytic subunit A [Source:HGNC Symbol;Acc:HGNC:6172]	1610	0.04867227375507355	0.26707703	Yes	
row_55	ZNF671	zinc finger protein 671 [Source:HGNC Symbol;Acc:HGNC:26279]	1624	0.04848127067089081	0.2703437	Yes	
row_56	NPAT	nuclear protein, coactivator of histone transcription [Source:HGNC Symbol;Acc:HGNC:7896]	1633	0.04842463508248329	0.27385777	Yes	
row_57	LGALSL	galectin like [Source:HGNC Symbol;Acc:HGNC:25012]	1674	0.04787365719676018	0.2757147	Yes	
row_58	CRYBG3	crystallin beta-gamma domain containing 3 [Source:HGNC Symbol;Acc:HGNC:34427]	1825	0.04544421285390854	0.27183187	Yes	
row_59	HBP1	HMG-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:23200]	1975	0.043380167335271835	0.26783246	Yes	
row_60	COPG2	COPI coat complex subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:2237]	1997	0.04308988153934479	0.27025986	Yes	
row_61	RBM45	RNA binding motif protein 45 [Source:HGNC Symbol;Acc:HGNC:24468]	2004	0.04302578046917915	0.27343798	Yes	
row_62	RTN4	reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]	2090	0.041955605149269104	0.2725485	Yes	
row_63	ATP6V1B2	ATPase H+ transporting V1 subunit B2 [Source:HGNC Symbol;Acc:HGNC:854]	2114	0.041656214743852615	0.27475914	Yes	
row_64	ZNF614	zinc finger protein 614 [Source:HGNC Symbol;Acc:HGNC:24722]	2204	0.04073194041848183	0.2735691	Yes	
row_65	SESN3	sestrin 3 [Source:HGNC Symbol;Acc:HGNC:23060]	2215	0.04058979079127312	0.2763486	Yes	
row_66	TTC37	tetratricopeptide repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:23639]	2227	0.04045524448156357	0.27906683	Yes	
row_67	HEATR5B	HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]	2273	0.03982330113649368	0.28002056	Yes	
row_68	XPO7	exportin 7 [Source:HGNC Symbol;Acc:HGNC:14108]	2280	0.03974391520023346	0.2829332	Yes	
row_69	KDM5B	lysine demethylase 5B [Source:HGNC Symbol;Acc:HGNC:18039]	2293	0.03961881250143051	0.28553337	Yes	
row_70	RNLS	renalase, FAD dependent amine oxidase [Source:HGNC Symbol;Acc:HGNC:25641]	2312	0.03937660902738571	0.2878116	Yes	
row_71	LANCL1	LanC like 1 [Source:HGNC Symbol;Acc:HGNC:6508]	2313	0.0393604151904583	0.29099557	Yes	
row_72	FOCAD	focadhesin [Source:HGNC Symbol;Acc:HGNC:23377]	2368	0.038767505437135696	0.2914104	Yes	
row_73	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	2423	0.03822826221585274	0.29178154	Yes	
row_74	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	2444	0.03805793449282646	0.2938523	Yes	
row_75	CEP97	centrosomal protein 97 [Source:HGNC Symbol;Acc:HGNC:26244]	2465	0.037842873483896255	0.29590568	Yes	
row_76	ZZZ3	zinc finger ZZ-type containing 3 [Source:HGNC Symbol;Acc:HGNC:24523]	2468	0.03783215582370758	0.29886526	Yes	
row_77	LRRC8C	leucine rich repeat containing 8 VRAC subunit C [Source:HGNC Symbol;Acc:HGNC:25075]	2500	0.037555187940597534	0.300341	Yes	
row_78	USP24	ubiquitin specific peptidase 24 [Source:HGNC Symbol;Acc:HGNC:12623]	2511	0.0374591201543808	0.30286726	Yes	
row_79	MMADHC	metabolism of cobalamin associated D [Source:HGNC Symbol;Acc:HGNC:25221]	2551	0.03706052899360657	0.30389988	Yes	
row_80	TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	2555	0.03700811415910721	0.3067424	Yes	
row_81	ATP6V1A	ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]	2615	0.03644736856222153	0.30671754	Yes	
row_82	ITFG1	integrin alpha FG-GAP repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30697]	2621	0.0364045612514019	0.30941045	Yes	
row_83	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	2716	0.035515181720256805	0.30754644	Yes	
row_84	LINC00174	long intergenic non-protein coding RNA 174 [Source:HGNC Symbol;Acc:HGNC:27788]	2770	0.03488917276263237	0.3076979	Yes	
row_85	MON2	MON2 homolog, regulator of endosome-to-Golgi trafficking [Source:HGNC Symbol;Acc:HGNC:29177]	2806	0.03454247862100601	0.30872837	Yes	
row_86	KLHL9	kelch like family member 9 [Source:HGNC Symbol;Acc:HGNC:18732]	2854	0.034052811563014984	0.30911455	Yes	
row_87	RAP1A	RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]	2880	0.033786751329898834	0.31058782	Yes	
row_88	RNF111	ring finger protein 111 [Source:HGNC Symbol;Acc:HGNC:17384]	2912	0.03354232758283615	0.311739	Yes	
row_89	ATP8A1	ATPase phospholipid transporting 8A1 [Source:HGNC Symbol;Acc:HGNC:13531]	2946	0.03319871425628662	0.31276155	Yes	
row_90	RPS6KC1	ribosomal protein S6 kinase C1 [Source:HGNC Symbol;Acc:HGNC:10439]	2992	0.03284873440861702	0.3131511	Yes	
row_91	PIAS1	protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]	3012	0.0326823964715004	0.31483743	Yes	
row_92	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	3041	0.03242987021803856	0.31604975	Yes	
row_93	RTN4IP1	reticulon 4 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:18647]	3064	0.03227247670292854	0.31755173	Yes	
row_94	FIGNL1	fidgetin like 1 [Source:HGNC Symbol;Acc:HGNC:13286]	3090	0.03211114555597305	0.31888947	Yes	
row_95	KIAA0895	KIAA0895 [Source:HGNC Symbol;Acc:HGNC:22206]	3119	0.03187135234475136	0.32005665	Yes	
row_96	BMPR1A	bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]	3131	0.031785301864147186	0.32207352	Yes	
row_97	TMEM87A	transmembrane protein 87A [Source:HGNC Symbol;Acc:HGNC:24522]	3132	0.031771469861269	0.3246436	Yes	
row_98	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	3172	0.0314822643995285	0.32522497	Yes	
row_99	FIGN	fidgetin, microtubule severing factor [Source:HGNC Symbol;Acc:HGNC:13285]	3246	0.030917447060346603	0.3240473	Yes	
row_100	MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	3248	0.030909473076462746	0.32649726	Yes	
row_101	CYFIP2	cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]	3294	0.030547186732292175	0.32670063	Yes	
row_102	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	3304	0.030462883412837982	0.32871133	Yes	
row_103	NMD3	NMD3 ribosome export adaptor [Source:HGNC Symbol;Acc:HGNC:24250]	3305	0.030459294095635414	0.33117527	Yes	
row_104	RFX7	regulatory factor X7 [Source:HGNC Symbol;Acc:HGNC:25777]	3330	0.030204517766833305	0.33240917	Yes	
row_105	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	3332	0.030171383172273636	0.33479944	Yes	
row_106	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	3371	0.02995919995009899	0.335308	Yes	
row_107	AFTPH	aftiphilin [Source:HGNC Symbol;Acc:HGNC:25951]	3382	0.0298936627805233	0.33722225	Yes	
row_108	FRRS1	ferric chelate reductase 1 [Source:HGNC Symbol;Acc:HGNC:27622]	3433	0.02943272329866886	0.3370835	Yes	
row_109	EFR3A	EFR3 homolog A [Source:HGNC Symbol;Acc:HGNC:28970]	3509	0.028898509219288826	0.3356417	Yes	
row_110	FBXL17	F-box and leucine rich repeat protein 17 [Source:HGNC Symbol;Acc:HGNC:13615]	3527	0.028781289234757423	0.33711323	Yes	
row_111	OXR1	oxidation resistance 1 [Source:HGNC Symbol;Acc:HGNC:15822]	3550	0.028529373928904533	0.33831242	Yes	
row_112	ASCC1	activating signal cointegrator 1 complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24268]	3556	0.028497373685240746	0.34036568	Yes	
row_113	ZNF148	zinc finger protein 148 [Source:HGNC Symbol;Acc:HGNC:12933]	3567	0.02845512330532074	0.34216356	Yes	
row_114	TUSC3	tumor suppressor candidate 3 [Source:HGNC Symbol;Acc:HGNC:30242]	3575	0.028414366766810417	0.34410933	Yes	
row_115	ZNF211	zinc finger protein 211 [Source:HGNC Symbol;Acc:HGNC:13003]	3594	0.02822623960673809	0.34548557	Yes	
row_116	CYP2R1	cytochrome P450 family 2 subfamily R member 1 [Source:HGNC Symbol;Acc:HGNC:20580]	3675	0.027690425515174866	0.3436941	Yes	
row_117	TDG	thymine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:11700]	3715	0.027391556650400162	0.34394455	Yes	
row_118	SRRD	SRR1 domain containing [Source:HGNC Symbol;Acc:HGNC:33910]	3732	0.027265597134828568	0.34534386	Yes	
row_119	ZNF419	zinc finger protein 419 [Source:HGNC Symbol;Acc:HGNC:20648]	3763	0.026946889236569405	0.34601188	Yes	
row_120	POLR2M	RNA polymerase II subunit M [Source:HGNC Symbol;Acc:HGNC:14862]	3765	0.02693691849708557	0.34814048	Yes	
row_121	SF3B1	splicing factor 3b subunit 1 [Source:HGNC Symbol;Acc:HGNC:10768]	3797	0.026675410568714142	0.34873617	Yes	
row_122	BROX	BRO1 domain and CAAX motif containing [Source:HGNC Symbol;Acc:HGNC:26512]	3823	0.026482664048671722	0.34961858	Yes	
row_123	ZNF616	zinc finger protein 616 [Source:HGNC Symbol;Acc:HGNC:28062]	3825	0.02647770382463932	0.35171008	Yes	
row_124	ABHD10	abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]	3960	0.025528864935040474	0.3470225	Yes	
row_125	MAN2A1	mannosidase alpha class 2A member 1 [Source:HGNC Symbol;Acc:HGNC:6824]	3961	0.025528691709041595	0.3490876	Yes	
row_126	DNAJC13	DnaJ heat shock protein family (Hsp40) member C13 [Source:HGNC Symbol;Acc:HGNC:30343]	3980	0.025391194969415665	0.35023448	Yes	
row_127	CAND1	cullin associated and neddylation dissociated 1 [Source:HGNC Symbol;Acc:HGNC:30688]	3997	0.025306884199380875	0.35147536	Yes	
row_128	CD46	CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]	4036	0.02504606731235981	0.35158646	Yes	
row_129	HPS3	HPS3 biogenesis of lysosomal organelles complex 2 subunit 1 [Source:HGNC Symbol;Acc:HGNC:15597]	4094	0.024671275168657303	0.3507098	Yes	
