NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KLHL1	kelch like family member 1 [Source:HGNC Symbol;Acc:HGNC:6352]	21	0.20109188556671143	0.0187243	Yes	
row_1	ANO4	anoctamin 4 [Source:HGNC Symbol;Acc:HGNC:23837]	41	0.17599356174468994	0.035080474	Yes	
row_2	KCNK10	potassium two pore domain channel subfamily K member 10 [Source:HGNC Symbol;Acc:HGNC:6273]	90	0.142184317111969	0.046657298	Yes	
row_3	PCDH15	protocadherin related 15 [Source:HGNC Symbol;Acc:HGNC:14674]	99	0.13991175591945648	0.06001643	Yes	
row_4	GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	121	0.1291564702987671	0.0716659	Yes	
row_5	HOXC8	homeobox C8 [Source:HGNC Symbol;Acc:HGNC:5129]	130	0.12662453949451447	0.08371823	Yes	
row_6	CGNL1	cingulin like 1 [Source:HGNC Symbol;Acc:HGNC:25931]	154	0.12001372128725052	0.09436822	Yes	
row_7	ABLIM3	actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]	200	0.10925928503274918	0.10285731	Yes	
row_8	GRIA1	glutamate ionotropic receptor AMPA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4571]	226	0.10512423515319824	0.11194262	Yes	
row_9	PYGO1	pygopus family PHD finger 1 [Source:HGNC Symbol;Acc:HGNC:30256]	240	0.10316692292690277	0.12143718	Yes	
row_10	RBP1	retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]	299	0.09460097551345825	0.12783274	Yes	
row_11	CHD5	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]	309	0.09398386627435684	0.13662472	Yes	
row_12	TSHZ2	teashirt zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:13010]	330	0.09240002185106277	0.14470935	Yes	
row_13	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	344	0.09082457423210144	0.15299003	Yes	
