NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH10	cadherin 10 [Source:HGNC Symbol;Acc:HGNC:1749]	2	0.24818982183933258	0.015501155	Yes	
row_1	KLHL4	kelch like family member 4 [Source:HGNC Symbol;Acc:HGNC:6355]	5	0.2300725132226944	0.029863391	Yes	
row_2	SOX6	SRY-box transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:16421]	14	0.21712467074394226	0.04310893	Yes	
row_3	VSNL1	visinin like 1 [Source:HGNC Symbol;Acc:HGNC:12722]	57	0.16074977815151215	0.05109493	Yes	
row_4	CREG2	cellular repressor of E1A stimulated genes 2 [Source:HGNC Symbol;Acc:HGNC:14272]	100	0.13832059502601624	0.05767096	Yes	
row_5	HSD17B3	hydroxysteroid 17-beta dehydrogenase 3 [Source:HGNC Symbol;Acc:HGNC:5212]	107	0.13529203832149506	0.06587313	Yes	
row_6	ZNF608	zinc finger protein 608 [Source:HGNC Symbol;Acc:HGNC:29238]	117	0.1314769834280014	0.0736841	Yes	
row_7	DLG2	discs large MAGUK scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:2901]	124	0.12813805043697357	0.08143654	Yes	
row_8	SEMA3E	semaphorin 3E [Source:HGNC Symbol;Acc:HGNC:10727]	137	0.12512336671352386	0.08869672	Yes	
row_9	FLRT2	fibronectin leucine rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3761]	139	0.12494978308677673	0.09650104	Yes	
row_10	ANK3	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	153	0.12001606076955795	0.103389695	Yes	
row_11	ADCY1	adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]	160	0.11711854487657547	0.11044942	Yes	
row_12	ELOVL4	ELOVL fatty acid elongase 4 [Source:HGNC Symbol;Acc:HGNC:14415]	268	0.09852763265371323	0.111244075	Yes	
row_13	TMEM106B	transmembrane protein 106B [Source:HGNC Symbol;Acc:HGNC:22407]	281	0.09708802402019501	0.11674185	Yes	
row_14	EYA1	EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]	300	0.09437892585992813	0.121766575	Yes	
row_15	FAT4	FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:HGNC:23109]	315	0.09363023191690445	0.12694606	Yes	
row_16	PBX1	PBX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8632]	326	0.09261070191860199	0.1322633	Yes	
row_17	TRIM2	tripartite motif containing 2 [Source:HGNC Symbol;Acc:HGNC:15974]	351	0.0905459076166153	0.1367443	Yes	
row_18	IPP	intracisternal A particle-promoted polypeptide [Source:HGNC Symbol;Acc:HGNC:6108]	373	0.08837620913982391	0.1412403	Yes	
row_19	SEMA6D	semaphorin 6D [Source:HGNC Symbol;Acc:HGNC:16770]	425	0.08507639169692993	0.14401509	Yes	
row_20	EXTL2	exostosin like glycosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:3516]	433	0.08461729437112808	0.1489812	Yes	
row_21	SYNE1	spectrin repeat containing nuclear envelope protein 1 [Source:HGNC Symbol;Acc:HGNC:17089]	445	0.08381497114896774	0.15369505	Yes	
row_22	F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	448	0.08344782888889313	0.15883996	Yes	
row_23	NCKAP5	NCK associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847]	484	0.08101561665534973	0.1621668	Yes	
row_24	GPR155	G protein-coupled receptor 155 [Source:HGNC Symbol;Acc:HGNC:22951]	500	0.08011529594659805	0.16644624	Yes	
row_25	CCDC126	coiled-coil domain containing 126 [Source:HGNC Symbol;Acc:HGNC:22398]	502	0.07997049391269684	0.171423	Yes	
row_26	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	508	0.07956276834011078	0.1761723	Yes	
