NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VWDE	von Willebrand factor D and EGF domains [Source:HGNC Symbol;Acc:HGNC:21897]	4	0.2303420901298523	0.012874097	Yes	
row_1	CDH12	cadherin 12 [Source:HGNC Symbol;Acc:HGNC:1751]	16	0.21591739356517792	0.024576697	Yes	
row_2	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A [Source:HGNC Symbol;Acc:HGNC:16767]	18	0.20874351263046265	0.03637587	Yes	
row_3	HS3ST5	heparan sulfate-glucosamine 3-sulfotransferase 5 [Source:HGNC Symbol;Acc:HGNC:19419]	20	0.20237965881824493	0.047813788	Yes	
row_4	DCC	DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]	22	0.19912651181221008	0.059067037	Yes	
row_5	SPOCK3	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3 [Source:HGNC Symbol;Acc:HGNC:13565]	26	0.19292758405208588	0.06986764	Yes	
row_6	ABCA5	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	55	0.16174139082431793	0.07763842	Yes	
row_7	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A [Source:HGNC Symbol;Acc:HGNC:13278]	69	0.1492905169725418	0.08545811	Yes	
row_8	PLXNC1	plexin C1 [Source:HGNC Symbol;Acc:HGNC:9106]	85	0.14277330040931702	0.092807084	Yes	
row_9	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3 [Source:HGNC Symbol;Acc:HGNC:3365]	106	0.13561095297336578	0.09949758	Yes	
row_10	SLC18A2	solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935]	114	0.13234862685203552	0.106657825	Yes	
row_11	RAPGEF5	Rap guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:16862]	128	0.12694256007671356	0.11320891	Yes	
row_12	AMPH	amphiphysin [Source:HGNC Symbol;Acc:HGNC:471]	131	0.12642142176628113	0.1202846	Yes	
row_13	PTPRD	protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]	136	0.12550421059131622	0.12720746	Yes	
row_14	CSRNP3	cysteine and serine rich nuclear protein 3 [Source:HGNC Symbol;Acc:HGNC:30729]	162	0.11694927513599396	0.1325867	Yes	
row_15	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	169	0.1152694970369339	0.13882782	Yes	
row_16	PRUNE2	prune homolog 2 with BCH domain [Source:HGNC Symbol;Acc:HGNC:25209]	171	0.11485186219215393	0.14529712	Yes	
row_17	PLCXD3	phosphatidylinositol specific phospholipase C X domain containing 3 [Source:HGNC Symbol;Acc:HGNC:31822]	180	0.11309103667736053	0.15131383	Yes	
row_18	ASXL3	ASXL transcriptional regulator 3 [Source:HGNC Symbol;Acc:HGNC:29357]	206	0.10878624022006989	0.15622967	Yes	
row_19	TMEM117	transmembrane protein 117 [Source:HGNC Symbol;Acc:HGNC:25308]	213	0.1072799563407898	0.16201726	Yes	
row_20	SLC18A1	solute carrier family 18 member A1 [Source:HGNC Symbol;Acc:HGNC:10934]	222	0.10550875961780548	0.16760354	Yes	
row_21	SLC1A1	solute carrier family 1 member 1 [Source:HGNC Symbol;Acc:HGNC:10939]	237	0.10345345735549927	0.17277086	Yes	
row_22	AK5	adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365]	252	0.10175933688879013	0.17784202	Yes	
row_23	DIRAS2	DIRAS family GTPase 2 [Source:HGNC Symbol;Acc:HGNC:19323]	255	0.10082171112298965	0.18346451	Yes	
row_24	TSPAN2	tetraspanin 2 [Source:HGNC Symbol;Acc:HGNC:20659]	256	0.10078475624322891	0.18918566	Yes	
row_25	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]	265	0.09941942989826202	0.19442627	Yes	
row_26	TTLL7	tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]	266	0.09909786283969879	0.20005167	Yes	
row_27	NDST3	N-deacetylase and N-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:7682]	278	0.09738894551992416	0.20502587	Yes	
row_28	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	280	0.0973181203007698	0.21049985	Yes	
row_29	FAT4	FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:HGNC:23109]	315	0.09363023191690445	0.21410196	Yes	
row_30	NLGN1	neuroligin 1 [Source:HGNC Symbol;Acc:HGNC:14291]	324	0.09269080311059952	0.2189606	Yes	
row_31	RYR2	ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]	325	0.0926116406917572	0.2242178	Yes	
row_32	ZBTB20	zinc finger and BTB domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13503]	327	0.09253488481044769	0.22942026	Yes	
row_33	GALNT13	polypeptide N-acetylgalactosaminyltransferase 13 [Source:HGNC Symbol;Acc:HGNC:23242]	329	0.0924106314778328	0.23461567	Yes	
row_34	NRXN1	neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]	332	0.09207887202501297	0.23974186	Yes	
row_35	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	345	0.09079648554325104	0.24429147	Yes	
row_36	MTSS1	MTSS I-BAR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20443]	347	0.0906713679432869	0.24938814	Yes	
row_37	TRIM2	tripartite motif containing 2 [Source:HGNC Symbol;Acc:HGNC:15974]	351	0.0905459076166153	0.25437695	Yes	
row_38	PSD3	pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]	354	0.09030883759260178	0.25940266	Yes	
row_39	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	355	0.09020166844129562	0.26452306	Yes	
row_40	PCLO	piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406]	357	0.0900997519493103	0.26958728	Yes	
row_41	DYNC2H1	dynein cytoplasmic 2 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2962]	370	0.08865629136562347	0.2740154	Yes	
row_42	SLC8A1	solute carrier family 8 member A1 [Source:HGNC Symbol;Acc:HGNC:11068]	401	0.08652979135513306	0.27741593	Yes	
row_43	LONRF2	LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:24788]	419	0.08557074517011642	0.28141698	Yes	
row_44	PRKCE	protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	437	0.0845072790980339	0.28535765	Yes	
row_45	SLC30A4	solute carrier family 30 member 4 [Source:HGNC Symbol;Acc:HGNC:11015]	470	0.08253465592861176	0.28843066	Yes	
row_46	CPEB3	cytoplasmic polyadenylation element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:21746]	479	0.08139641582965851	0.29264817	Yes	
row_47	ARHGEF12	Rho guanine nucleotide exchange factor 12 [Source:HGNC Symbol;Acc:HGNC:14193]	482	0.08127763867378235	0.29716122	Yes	
row_48	HS6ST3	heparan sulfate 6-O-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:19134]	507	0.07960128784179688	0.30047074	Yes	
row_49	DAB1	DAB adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:2661]	525	0.07852916419506073	0.30407208	Yes	
row_50	ESRRG	estrogen related receptor gamma [Source:HGNC Symbol;Acc:HGNC:3474]	554	0.07712141424417496	0.3070393	Yes	
