NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMSB4X	thymosin beta 4 X-linked [Source:HGNC Symbol;Acc:HGNC:11881]	4130	0.024444973096251488	-0.19119194	No	
row_1	HPX	hemopexin [Source:HGNC Symbol;Acc:HGNC:5171]	4785	0.020479632541537285	-0.21255243	No	
row_2	UBB	ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]	5011	0.019211100414395332	-0.21337093	No	
row_3	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	6378	0.012222632765769958	-0.27438685	No	
row_4	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	7642	0.006993257440626621	-0.33311436	No	
row_5	PSAP	prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]	7682	0.006800177041441202	-0.33139342	No	
row_6	APOC1	apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]	7973	0.005692947190254927	-0.34268397	No	
row_7	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	8260	0.004600937478244305	-0.35436285	No	
row_8	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	8457	0.003941108472645283	-0.3619435	No	
row_9	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	8880	0.0024938476271927357	-0.38148147	No	
row_10	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	9402	7.309844368137419E-4	-0.4068633	No	
row_11	RPL5	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	10578	-0.0029398291371762753	-0.46341324	No	
row_12	RPL26	ribosomal protein L26 [Source:HGNC Symbol;Acc:HGNC:10327]	10862	-0.0038492975290864706	-0.47534716	No	
row_13	PTMA	prothymosin alpha [Source:HGNC Symbol;Acc:HGNC:9623]	11243	-0.0049841380678117275	-0.49147058	No	
row_14	APOA2	apolipoprotein A2 [Source:HGNC Symbol;Acc:HGNC:601]	12144	-0.007513407152146101	-0.531961	No	
row_15	RPL19	ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:10312]	12498	-0.008574315346777439	-0.5448215	No	
row_16	RPL6	ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]	12503	-0.008578564040362835	-0.5404145	No	
row_17	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	12611	-0.008877894841134548	-0.54094225	No	
row_18	RPL37A	ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]	12803	-0.009354781359434128	-0.54536957	No	
row_19	FTH1	ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976]	12900	-0.00962754338979721	-0.5449508	No	
row_20	AHSG	alpha 2-HS glycoprotein [Source:HGNC Symbol;Acc:HGNC:349]	13580	-0.011448133736848831	-0.57239604	No	
row_21	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]	13607	-0.011550959199666977	-0.5674818	No	
row_22	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	13861	-0.012302824296057224	-0.5733938	No	
row_23	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	14122	-0.013002998195588589	-0.57927626	No	
row_24	FGB	fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]	14780	-0.014984017238020897	-0.60373515	Yes	
row_25	LCN2	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	14789	-0.01500074751675129	-0.59607863	Yes	
row_26	EEF1G	eukaryotic translation elongation factor 1 gamma [Source:HGNC Symbol;Acc:HGNC:3213]	14859	-0.015241985209286213	-0.5913103	Yes	
row_27	RPL17	ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:10307]	14990	-0.015698174014687538	-0.5893148	Yes	
row_28	LARS2	leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17095]	15297	-0.016622480005025864	-0.59553003	Yes	
row_29	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	15435	-0.017074203118681908	-0.59314215	Yes	
