NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	THSD7A	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]	61	0.15833880007266998	0.010385867	No	
row_1	CDH9	cadherin 9 [Source:HGNC Symbol;Acc:HGNC:1768]	82	0.1431971788406372	0.021544572	No	
row_2	PLXNA4	plexin A4 [Source:HGNC Symbol;Acc:HGNC:9102]	91	0.1420770138502121	0.033210754	No	
row_3	CREB5	cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]	143	0.12412731349468231	0.041192904	No	
row_4	HTR2B	5-hydroxytryptamine receptor 2B [Source:HGNC Symbol;Acc:HGNC:5294]	336	0.09143108129501343	0.039317057	No	
row_5	PCDHGC4	protocadherin gamma subfamily C, 4 [Source:HGNC Symbol;Acc:HGNC:8717]	353	0.09032969176769257	0.04618611	No	
row_6	ANKRD7	ankyrin repeat domain 7 [Source:HGNC Symbol;Acc:HGNC:18588]	609	0.07496301084756851	0.03974771	No	
row_7	AKAP7	A-kinase anchoring protein 7 [Source:HGNC Symbol;Acc:HGNC:377]	622	0.07441353797912598	0.045465726	No	
row_8	SAMD9	sterile alpha motif domain containing 9 [Source:HGNC Symbol;Acc:HGNC:1348]	663	0.07275371253490448	0.049636643	No	
row_9	PTPRH	protein tyrosine phosphatase receptor type H [Source:HGNC Symbol;Acc:HGNC:9672]	702	0.07082760334014893	0.05374439	No	
row_10	DRP2	dystrophin related protein 2 [Source:HGNC Symbol;Acc:HGNC:3032]	1085	0.05907824635505676	0.03957901	No	
row_11	GABRA1	gamma-aminobutyric acid type A receptor subunit alpha1 [Source:HGNC Symbol;Acc:HGNC:4075]	1189	0.0565924234688282	0.039213434	No	
row_12	BACH2	BTB domain and CNC homolog 2 [Source:HGNC Symbol;Acc:HGNC:14078]	1337	0.053526055067777634	0.03637779	No	
row_13	NCOA7	nuclear receptor coactivator 7 [Source:HGNC Symbol;Acc:HGNC:21081]	1434	0.05167827382683754	0.035946336	No	
row_14	SLC35F1	solute carrier family 35 member F1 [Source:HGNC Symbol;Acc:HGNC:21483]	1682	0.047776639461517334	0.027600497	No	
row_15	NT5C3A	5'-nucleotidase, cytosolic IIIA [Source:HGNC Symbol;Acc:HGNC:17820]	2031	0.04270641505718231	0.0137519315	No	
row_16	WFDC9	WAP four-disulfide core domain 9 [Source:HGNC Symbol;Acc:HGNC:20380]	2292	0.03964102640748024	0.004062217	No	
row_17	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:1409]	2384	0.03857366740703583	0.0027687605	No	
row_18	TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	2555	0.03700811415910721	-0.0026249308	No	
row_19	THSD7B	thrombospondin type 1 domain containing 7B [Source:HGNC Symbol;Acc:HGNC:29348]	2618	0.03643316403031349	-0.0026438658	No	
row_20	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]	2674	0.03589674085378647	-0.002356835	No	
row_21	ARL14	ADP ribosylation factor like GTPase 14 [Source:HGNC Symbol;Acc:HGNC:22974]	2794	0.03463330119848251	-0.0053911004	No	
row_22	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	3005	0.03272610902786255	-0.013157241	No	
row_23	PAPPA	pappalysin 1 [Source:HGNC Symbol;Acc:HGNC:8602]	3484	0.029036613181233406	-0.03469531	No	
row_24	PRTG	protogenin [Source:HGNC Symbol;Acc:HGNC:26373]	3493	0.028962548822164536	-0.032636996	No	
row_25	WNT2B	Wnt family member 2B [Source:HGNC Symbol;Acc:HGNC:12781]	3756	0.026992175728082657	-0.043501534	No	
row_26	MEGF10	multiple EGF like domains 10 [Source:HGNC Symbol;Acc:HGNC:29634]	3768	0.026917217299342155	-0.041767605	No	
row_27	PLA2G4C	phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037]	3800	0.026658732444047928	-0.04106	No	
row_28	POU4F2	POU class 4 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9219]	3991	0.0253292229026556	-0.04845006	No	
row_29	PYGM	glycogen phosphorylase, muscle associated [Source:HGNC Symbol;Acc:HGNC:9726]	4004	0.025257902219891548	-0.04690729	No	
row_30	SPRR2C	small proline rich protein 2C (pseudogene) [Source:HGNC Symbol;Acc:HGNC:11263]	4032	0.025059612467885017	-0.046134643	No	
row_31	GLRA4	glycine receptor alpha 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:31715]	4432	0.02260502614080906	-0.06425174	No	
row_32	LCE4A	late cornified envelope 4A [Source:HGNC Symbol;Acc:HGNC:16613]	4511	0.022135423496365547	-0.06628862	No	
row_33	WFDC11	WAP four-disulfide core domain 11 [Source:HGNC Symbol;Acc:HGNC:20478]	4652	0.021209493279457092	-0.071517676	No	
row_34	PRNT	prion locus lncRNA, testis expressed [Source:HGNC Symbol;Acc:HGNC:18046]	4665	0.021148446947336197	-0.07032397	No	
row_35	DKK4	dickkopf WNT signaling pathway inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:2894]	4666	0.021140173077583313	-0.06852833	No	
row_36	HUNK	hormonally up-regulated Neu-associated kinase [Source:HGNC Symbol;Acc:HGNC:13326]	4715	0.020884066820144653	-0.06916494	No	
row_37	IL1RAPL2	interleukin 1 receptor accessory protein like 2 [Source:HGNC Symbol;Acc:HGNC:5997]	4730	0.02082553133368492	-0.06809909	No	
row_38	PCDHGC5	protocadherin gamma subfamily C, 5 [Source:HGNC Symbol;Acc:HGNC:8718]	4963	0.019482780247926712	-0.078094915	No	
row_39	LAMP5	lysosomal associated membrane protein family member 5 [Source:HGNC Symbol;Acc:HGNC:16097]	4987	0.019325261935591698	-0.077608466	No	
row_40	LRRC4B	leucine rich repeat containing 4B [Source:HGNC Symbol;Acc:HGNC:25042]	4991	0.019308675080537796	-0.07611906	No	
row_41	HSFX1	heat shock transcription factor family, X-linked 1 [Source:HGNC Symbol;Acc:HGNC:29603]	5035	0.019076615571975708	-0.07665809	No	
row_42	IL4I1	interleukin 4 induced 1 [Source:HGNC Symbol;Acc:HGNC:19094]	5041	0.019032565876841545	-0.07529257	No	
row_43	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	5114	0.018560217693448067	-0.07733181	No	
row_44	IFNB1	interferon beta 1 [Source:HGNC Symbol;Acc:HGNC:5434]	5276	0.017662234604358673	-0.08391676	No	
row_45	KRTAP9-2	keratin associated protein 9-2 [Source:HGNC Symbol;Acc:HGNC:16926]	5624	0.015825215727090836	-0.09999838	No	
row_46	S100Z	S100 calcium binding protein Z [Source:HGNC Symbol;Acc:HGNC:30367]	5776	0.015111028216779232	-0.10629784	No	
row_47	CUBN	cubilin [Source:HGNC Symbol;Acc:HGNC:2548]	5917	0.014347839169204235	-0.11210973	No	
row_48	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K [Source:HGNC Symbol;Acc:HGNC:25415]	6193	0.01304494310170412	-0.124811776	No	
row_49	SPRR1B	small proline rich protein 1B [Source:HGNC Symbol;Acc:HGNC:11260]	6253	0.012730328366160393	-0.12669335	No	
row_50	OR10A2	olfactory receptor family 10 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:8161]	6260	0.01270691305398941	-0.12591535	No	
row_51	PTPN22	protein tyrosine phosphatase non-receptor type 22 [Source:HGNC Symbol;Acc:HGNC:9652]	6314	0.012472574599087238	-0.12751752	No	
row_52	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	6322	0.012447675690054893	-0.12681174	No	
row_53	ADAM21	ADAM metallopeptidase domain 21 [Source:HGNC Symbol;Acc:HGNC:200]	6370	0.012243016622960567	-0.1281321	No	
row_54	RASGRP3	RAS guanyl releasing protein 3 [Source:HGNC Symbol;Acc:HGNC:14545]	6480	0.011702852323651314	-0.13261189	No	
row_55	APLNR	apelin receptor [Source:HGNC Symbol;Acc:HGNC:339]	6623	0.011117703281342983	-0.13879856	No	
row_56	SLC6A14	solute carrier family 6 member 14 [Source:HGNC Symbol;Acc:HGNC:11047]	6660	0.010985036380589008	-0.13967337	No	
row_57	RENBP	renin binding protein [Source:HGNC Symbol;Acc:HGNC:9959]	6689	0.010869449004530907	-0.14015624	No	
row_58	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	6809	0.010343815200030804	-0.14525364	No	
