NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NAV3	neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]	37	0.17871330678462982	0.010677554	No	
row_1	ALDH1L2	aldehyde dehydrogenase 1 family member L2 [Source:HGNC Symbol;Acc:HGNC:26777]	214	0.1070985198020935	0.009344418	No	
row_2	BRINP1	BMP/retinoic acid inducible neural specific 1 [Source:HGNC Symbol;Acc:HGNC:2687]	481	0.08132427930831909	0.001679386	No	
row_3	CHL1	cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939]	610	0.07479631900787354	4.9281254E-4	No	
row_4	CA13	carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914]	679	0.07196848839521408	0.002123691	No	
row_5	LACC1	laccase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26789]	786	0.06753581017255783	0.0015335747	No	
row_6	CLEC4E	C-type lectin domain family 4 member E [Source:HGNC Symbol;Acc:HGNC:14555]	806	0.06690232455730438	0.005271976	No	
row_7	PCDH20	protocadherin 20 [Source:HGNC Symbol;Acc:HGNC:14257]	1236	0.055524397641420364	-0.012396015	No	
row_8	NAIP	NLR family apoptosis inhibitory protein [Source:HGNC Symbol;Acc:HGNC:7634]	1328	0.05381033942103386	-0.013195059	No	
row_9	CHRNA7	cholinergic receptor nicotinic alpha 7 subunit [Source:HGNC Symbol;Acc:HGNC:1960]	1525	0.05023304373025894	-0.019522771	No	
row_10	SFRP1	secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]	1727	0.047172315418720245	-0.02631652	No	
row_11	CLEC7A	C-type lectin domain containing 7A [Source:HGNC Symbol;Acc:HGNC:14558]	2070	0.042197179049253464	-0.040546503	No	
row_12	HPGDS	hematopoietic prostaglandin D synthase [Source:HGNC Symbol;Acc:HGNC:17890]	2084	0.04200185462832451	-0.038253367	No	
row_13	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	2195	0.04084104299545288	-0.040917262	No	
row_14	SLC26A4	solute carrier family 26 member 4 [Source:HGNC Symbol;Acc:HGNC:8818]	2231	0.040398143231868744	-0.039842438	No	
row_15	CLEC4A	C-type lectin domain family 4 member A [Source:HGNC Symbol;Acc:HGNC:13257]	2275	0.0397794283926487	-0.03921313	No	
