NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSD3	pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]	354	0.09030883759260178	0.004468789	Yes	
row_1	ZNF713	zinc finger protein 713 [Source:HGNC Symbol;Acc:HGNC:22043]	410	0.08604800701141357	0.022756757	Yes	
row_2	LONRF2	LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:24788]	419	0.08557074517011642	0.043264	Yes	
row_3	HINT3	histidine triad nucleotide binding protein 3 [Source:HGNC Symbol;Acc:HGNC:18468]	450	0.08337812125682831	0.0621422	Yes	
row_4	ANKRA2	ankyrin repeat family A member 2 [Source:HGNC Symbol;Acc:HGNC:13208]	458	0.08304101228713989	0.08208113	Yes	
row_5	NPY1R	neuropeptide Y receptor Y1 [Source:HGNC Symbol;Acc:HGNC:7956]	480	0.08139251917600632	0.10092155	Yes	
row_6	KIF3A	kinesin family member 3A [Source:HGNC Symbol;Acc:HGNC:6319]	549	0.07725485414266586	0.11641527	Yes	
row_7	PCYOX1	prenylcysteine oxidase 1 [Source:HGNC Symbol;Acc:HGNC:20588]	879	0.0643579512834549	0.11578677	Yes	
row_8	CLGN	calmegin [Source:HGNC Symbol;Acc:HGNC:2060]	1004	0.06081549823284149	0.12448121	Yes	
row_9	PJA2	praja ring finger ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:17481]	1258	0.05512364208698273	0.12537393	Yes	
row_10	BNIP3L	BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]	1430	0.05171522870659828	0.12950931	Yes	
row_11	SLC39A10	solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861]	1463	0.0512070469558239	0.14042877	Yes	
row_12	HOOK1	hook microtubule tethering protein 1 [Source:HGNC Symbol;Acc:HGNC:19884]	1539	0.04984837770462036	0.14887922	Yes	
row_13	STT3A	STT3 oligosaccharyltransferase complex catalytic subunit A [Source:HGNC Symbol;Acc:HGNC:6172]	1610	0.04867227375507355	0.15729085	Yes	
row_14	TRAK2	trafficking kinesin protein 2 [Source:HGNC Symbol;Acc:HGNC:13206]	1661	0.04806740954518318	0.1665487	Yes	
row_15	SECISBP2L	SECIS binding protein 2 like [Source:HGNC Symbol;Acc:HGNC:28997]	1761	0.046595606952905655	0.17301172	Yes	
row_16	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	2019	0.04284476861357689	0.17070591	Yes	
row_17	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	2051	0.042412616312503815	0.1795266	Yes	
row_18	FAM13B	family with sequence similarity 13 member B [Source:HGNC Symbol;Acc:HGNC:1335]	2099	0.04189322143793106	0.1874252	Yes	
row_19	SH3RF1	SH3 domain containing ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17650]	2272	0.039834629744291306	0.18860847	Yes	
row_20	ONECUT2	one cut homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8139]	2416	0.03833205625414848	0.19086595	Yes	
row_21	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	2423	0.03822826221585274	0.19990687	Yes	
row_22	NT5DC1	5'-nucleotidase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21556]	2438	0.03810204192996025	0.20851937	Yes	
row_23	GPNMB	glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]	2481	0.03770909458398819	0.21564429	Yes	
row_24	HCG11	HLA complex group 11 [Source:HGNC Symbol;Acc:HGNC:17707]	2509	0.03748227655887604	0.22345927	Yes	
row_25	ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:16937]	2529	0.03731004521250725	0.2316298	Yes	
row_26	SMAD5	SMAD family member 5 [Source:HGNC Symbol;Acc:HGNC:6771]	2605	0.03654379025101662	0.23682995	Yes	
row_27	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	2744	0.035231538116931915	0.23857847	Yes	
row_28	LPGAT1	lysophosphatidylglycerol acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:28985]	2758	0.0350264236330986	0.2464893	Yes	
row_29	TH	tyrosine hydroxylase [Source:HGNC Symbol;Acc:HGNC:11782]	2819	0.034409068524837494	0.25191343	Yes	
row_30	CXXC5	CXXC finger protein 5 [Source:HGNC Symbol;Acc:HGNC:26943]	2907	0.0335501991212368	0.25578588	Yes	
row_31	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	3065	0.03226519748568535	0.25586542	Yes	
row_32	TUBA1A	tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]	3081	0.0321456678211689	0.2629731	Yes	
row_33	VAT1	vesicle amine transport 1 [Source:HGNC Symbol;Acc:HGNC:16919]	3308	0.030407270416617393	0.25916952	Yes	
row_34	SCRN1	secernin 1 [Source:HGNC Symbol;Acc:HGNC:22192]	3482	0.0290543083101511	0.25766945	Yes	
row_35	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	3495	0.028951337561011314	0.26414585	Yes	
row_36	KLHDC2	kelch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20231]	3513	0.028858911246061325	0.27035117	Yes	
row_37	CLRN3	clarin 3 [Source:HGNC Symbol;Acc:HGNC:20795]	3536	0.02868655137717724	0.27626586	Yes	
row_38	LRRC19	leucine rich repeat containing 19 [Source:HGNC Symbol;Acc:HGNC:23379]	3592	0.02827244997024536	0.28043935	Yes	
row_39	PMM1	phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]	3614	0.028099529445171356	0.28626034	Yes	
row_40	TFDP2	transcription factor Dp-2 [Source:HGNC Symbol;Acc:HGNC:11751]	3711	0.027423730120062828	0.2881888	Yes	
row_41	LETMD1	LETM1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24241]	3741	0.027189921587705612	0.29338998	Yes	
row_42	ALDH8A1	aldehyde dehydrogenase 8 family member A1 [Source:HGNC Symbol;Acc:HGNC:15471]	3780	0.026827892288565636	0.2980554	Yes	
row_43	BCAS3	BCAS3 microtubule associated cell migration factor [Source:HGNC Symbol;Acc:HGNC:14347]	3790	0.026757685467600822	0.304145	Yes	
row_44	RNF145	ring finger protein 145 [Source:HGNC Symbol;Acc:HGNC:20853]	3993	0.02532217651605606	0.30029193	Yes	
row_45	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:22960]	4073	0.02480953373014927	0.3024266	Yes	
row_46	TNRC6B	trinucleotide repeat containing adaptor 6B [Source:HGNC Symbol;Acc:HGNC:29190]	4143	0.024350129067897797	0.30494606	Yes	
