NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCDHB5	protocadherin beta 5 [Source:HGNC Symbol;Acc:HGNC:8690]	185	0.11238045990467072	0.018858947	Yes	
row_1	RNF182	ring finger protein 182 [Source:HGNC Symbol;Acc:HGNC:28522]	190	0.1110701784491539	0.046378	Yes	
row_2	PKIB	cAMP-dependent protein kinase inhibitor beta [Source:HGNC Symbol;Acc:HGNC:9018]	223	0.10548081994056702	0.071111955	Yes	
row_3	ARMC2	armadillo repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:23045]	274	0.09783249348402023	0.09304352	Yes	
row_4	SLC22A4	solute carrier family 22 member 4 [Source:HGNC Symbol;Acc:HGNC:10968]	289	0.09601859003305435	0.11630992	Yes	
row_5	ZNF624	zinc finger protein 624 [Source:HGNC Symbol;Acc:HGNC:29254]	318	0.09327875077724457	0.13819745	Yes	
row_6	INPP1	inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]	365	0.08960404247045517	0.1582742	Yes	
row_7	DNER	delta/notch like EGF repeat containing [Source:HGNC Symbol;Acc:HGNC:24456]	396	0.08670288324356079	0.17842141	Yes	
row_8	MB21D2	Mab-21 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30438]	421	0.08517155051231384	0.19848439	Yes	
row_9	ART4	ADP-ribosyltransferase 4 (Dombrock blood group) [Source:HGNC Symbol;Acc:HGNC:726]	557	0.07700895518064499	0.21099897	Yes	
row_10	PRKACB	protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]	626	0.07433421164751053	0.22617278	Yes	
row_11	ZBTB8A	zinc finger and BTB domain containing 8A [Source:HGNC Symbol;Acc:HGNC:24172]	653	0.07337640225887299	0.24319296	Yes	
row_12	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	662	0.07278617471456528	0.2609596	Yes	
row_13	SH3BP4	SH3 domain binding protein 4 [Source:HGNC Symbol;Acc:HGNC:10826]	844	0.06568790972232819	0.268365	Yes	
row_14	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	1251	0.055258627980947495	0.26199594	Yes	
row_15	NUS1P3	NUS1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:30934]	1456	0.05130656436085701	0.26467043	Yes	
row_16	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]	1478	0.05095363408327103	0.27634326	Yes	
row_17	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:8728]	1515	0.050421327352523804	0.28713846	Yes	
row_18	ULBP1	UL16 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:14893]	1618	0.04857247695326805	0.29419523	Yes	
row_19	DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	1706	0.04738539457321167	0.30170053	Yes	
row_20	CAB39	calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]	1743	0.04686925932765007	0.3116093	Yes	
row_21	AGPS	alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]	1793	0.0459500327706337	0.32064322	Yes	
row_22	TCTA	T cell leukemia translocation altered [Source:HGNC Symbol;Acc:HGNC:11692]	1894	0.04458409175276756	0.32680398	Yes	
row_23	YTHDF3	YTH N6-methyladenosine RNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:26465]	2038	0.04260013997554779	0.33033457	Yes	
row_24	ATP6V1B2	ATPase H+ transporting V1 subunit B2 [Source:HGNC Symbol;Acc:HGNC:854]	2114	0.041656214743852615	0.337006	Yes	
row_25	GFPT1	glutamine--fructose-6-phosphate transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4241]	2198	0.0407891683280468	0.3430638	Yes	
row_26	UBE2E2	ubiquitin conjugating enzyme E2 E2 [Source:HGNC Symbol;Acc:HGNC:12478]	2203	0.04073760285973549	0.3530313	Yes	
row_27	CCDC91	coiled-coil domain containing 91 [Source:HGNC Symbol;Acc:HGNC:24855]	2484	0.037682387977838516	0.3485323	Yes	
row_28	MMADHC	metabolism of cobalamin associated D [Source:HGNC Symbol;Acc:HGNC:25221]	2551	0.03706052899360657	0.35450372	Yes	
row_29	ZNF304	zinc finger protein 304 [Source:HGNC Symbol;Acc:HGNC:13505]	2669	0.03597833588719368	0.3576728	Yes	
row_30	GTF2E1	general transcription factor IIE subunit 1 [Source:HGNC Symbol;Acc:HGNC:4650]	2982	0.03293439745903015	0.35040006	Yes	
row_31	TUBA1A	tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]	3081	0.0321456678211689	0.35355613	Yes	
row_32	ATP6V0B	ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861]	3153	0.03162884712219238	0.3579238	Yes	
row_33	RALB	RAS like proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:9840]	3255	0.030829813331365585	0.3606025	Yes	
row_34	ZFAND1	zinc finger AN1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:25858]	3267	0.030714640393853188	0.3677212	Yes	
row_35	AFTPH	aftiphilin [Source:HGNC Symbol;Acc:HGNC:25951]	3382	0.0298936627805233	0.3695208	Yes	
row_36	DBR1	debranching RNA lariats 1 [Source:HGNC Symbol;Acc:HGNC:15594]	3645	0.027877602726221085	0.36346877	Yes	
row_37	FEM1C	fem-1 homolog C [Source:HGNC Symbol;Acc:HGNC:16933]	3738	0.027206702157855034	0.3656902	Yes	
row_38	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide [Source:HGNC Symbol;Acc:HGNC:256]	3903	0.0259509589523077	0.36402327	Yes	
row_39	RNASE6	ribonuclease A family member k6 [Source:HGNC Symbol;Acc:HGNC:10048]	3952	0.025581952184438705	0.36802396	Yes	
row_40	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	3955	0.025564145296812057	0.3743042	Yes	
row_41	SULT1E1	sulfotransferase family 1E member 1 [Source:HGNC Symbol;Acc:HGNC:11377]	4159	0.02427021786570549	0.37028143	Yes	
row_42	TYW1	tRNA-yW synthesizing protein 1 homolog [Source:HGNC Symbol;Acc:HGNC:25598]	4199	0.023993702605366707	0.37433264	Yes	
row_43	CBFB	core-binding factor subunit beta [Source:HGNC Symbol;Acc:HGNC:1539]	4310	0.023399583995342255	0.37471026	Yes	
row_44	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene [Source:HGNC Symbol;Acc:HGNC:31]	4474	0.022365208715200424	0.37219816	Yes	
row_45	GFM2	GTP dependent ribosome recycling factor mitochondrial 2 [Source:HGNC Symbol;Acc:HGNC:29682]	4498	0.02222062647342682	0.37660134	Yes	
row_46	ZFAND2A	zinc finger AN1-type containing 2A [Source:HGNC Symbol;Acc:HGNC:28073]	4583	0.021685799583792686	0.37784225	Yes	
row_47	THNSL1	threonine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26160]	4928	0.019674815237522125	0.36567166	No	
row_48	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]	4931	0.01966947317123413	0.3704809	No	
row_49	POU4F3	POU class 4 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:9220]	5023	0.019139593467116356	0.37073883	No	
row_50	TP53BP2	tumor protein p53 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:12000]	5081	0.01881280727684498	0.3726034	No	
row_51	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	5341	0.017337994650006294	0.36407012	No	
row_52	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	5567	0.01614145189523697	0.35692644	No	
row_53	TRAM1L1	translocation associated membrane protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:28371]	5777	0.015105249360203743	0.3503186	No	
row_54	CERS2	ceramide synthase 2 [Source:HGNC Symbol;Acc:HGNC:14076]	6178	0.013106560334563255	0.3337284	No	
row_55	RBM18	RNA binding motif protein 18 [Source:HGNC Symbol;Acc:HGNC:28413]	6186	0.013081843964755535	0.33664542	No	
row_56	RNF41	ring finger protein 41 [Source:HGNC Symbol;Acc:HGNC:18401]	6229	0.012853506952524185	0.33776763	No	
row_57	TWISTNB	TWIST neighbor [Source:HGNC Symbol;Acc:HGNC:18027]	6233	0.012839418835937977	0.34082276	No	
row_58	ERI3	ERI1 exoribonuclease family member 3 [Source:HGNC Symbol;Acc:HGNC:17276]	6258	0.012714208103716373	0.34280393	No	
row_59	RAB11A	RAB11A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9760]	6405	0.01205498818308115	0.338563	No	
row_60	UGT2B28	UDP glucuronosyltransferase family 2 member B28 [Source:HGNC Symbol;Acc:HGNC:13479]	6410	0.01203437801450491	0.3413676	No	
row_61	METTL2B	methyltransferase like 2B [Source:HGNC Symbol;Acc:HGNC:18272]	6777	0.010497195646166801	0.3258144	No	
row_62	UFM1	ubiquitin fold modifier 1 [Source:HGNC Symbol;Acc:HGNC:20597]	6840	0.01020215917378664	0.3252819	No	
row_63	ZNF571	zinc finger protein 571 [Source:HGNC Symbol;Acc:HGNC:25000]	6949	0.009705201722681522	0.32234138	No	
row_64	UBLCP1	ubiquitin like domain containing CTD phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28110]	6975	0.009606641717255116	0.3234974	No	
row_65	CETP	cholesteryl ester transfer protein [Source:HGNC Symbol;Acc:HGNC:1869]	7203	0.00874613132327795	0.3144089	No	
row_66	KRTAP4-4	keratin associated protein 4-4 [Source:HGNC Symbol;Acc:HGNC:16928]	7529	0.007432081270962954	0.30012655	No	
row_67	PJA1	praja ring finger ubiquitin ligase 1 [Source:HGNC Symbol;Acc:HGNC:16648]	7659	0.006930978503078222	0.29545102	No	
row_68	FST	follistatin [Source:HGNC Symbol;Acc:HGNC:3971]	7944	0.005841306410729885	0.28280744	No	
row_69	BIN2	bridging integrator 2 [Source:HGNC Symbol;Acc:HGNC:1053]	7967	0.005722529254853725	0.28314313	No	
row_70	SEMA3G	semaphorin 3G [Source:HGNC Symbol;Acc:HGNC:30400]	8319	0.004378593992441893	0.26680782	No	
row_71	ZNF468	zinc finger protein 468 [Source:HGNC Symbol;Acc:HGNC:33105]	8563	0.003596491413190961	0.2556398	No	
row_72	PSMC6	proteasome 26S subunit, ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9553]	8575	0.0035530177410691977	0.25598025	No	
row_73	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	8578	0.0035449371207505465	0.2567656	No	
row_74	KRT3	keratin 3 [Source:HGNC Symbol;Acc:HGNC:6440]	8703	0.003126847557723522	0.251389	No	
row_75	ACOT7	acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]	9077	0.0017931490438058972	0.23331614	No	
row_76	PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [Source:HGNC Symbol;Acc:HGNC:23786]	9232	0.0012970285024493933	0.22599334	No	
row_77	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	9353	9.409313788637519E-4	0.22026984	No	
row_78	DDX5	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]	9433	6.330665783025324E-4	0.21650529	No	
row_79	PXN	paxillin [Source:HGNC Symbol;Acc:HGNC:9718]	9599	1.0366539208916947E-4	0.20833851	No	
row_80	CSNK2B	casein kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:2460]	9792	-5.156893166713417E-4	0.19893393	No	
row_81	NUDT16P1	nudix hydrolase 16 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:27189]	9851	-6.835099193267524E-4	0.19622466	No	
row_82	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996]	9859	-6.981779006309807E-4	0.19605133	No	
row_83	EIF2B4	eukaryotic translation initiation factor 2B subunit delta [Source:HGNC Symbol;Acc:HGNC:3260]	10031	-0.001263286336325109	0.18787602	No	
row_84	C1QBP	complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243]	10327	-0.0021885333117097616	0.1737747	No	
row_85	VAMP7	vesicle associated membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:11486]	10386	-0.002361113438382745	0.17148407	No	
row_86	TTYH1	tweety family member 1 [Source:HGNC Symbol;Acc:HGNC:13476]	10773	-0.003547505708411336	0.15320352	No	
row_87	MLF2	myeloid leukemia factor 2 [Source:HGNC Symbol;Acc:HGNC:7126]	10912	-0.004016803111881018	0.14735387	No	
row_88	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	10974	-0.004206174053251743	0.14537473	No	
row_89	KRT16	keratin 16 [Source:HGNC Symbol;Acc:HGNC:6423]	11142	-0.004725567530840635	0.13826205	No	
row_90	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	11309	-0.005167029332369566	0.13130918	No	
row_91	SLC30A9	solute carrier family 30 member 9 [Source:HGNC Symbol;Acc:HGNC:1329]	11403	-0.005414342973381281	0.12804265	No	
row_92	TUBB7P	tubulin beta 7 pseudogene [Source:HGNC Symbol;Acc:HGNC:12413]	11415	-0.005459112115204334	0.1288588	No	
row_93	MSI1	musashi RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7330]	11423	-0.005482700653374195	0.12987946	No	
row_94	CCDC173	coiled-coil domain containing 173 [Source:HGNC Symbol;Acc:HGNC:25064]	11514	-0.005762065760791302	0.12684867	No	
row_95	SLC10A3	solute carrier family 10 member 3 [Source:HGNC Symbol;Acc:HGNC:22979]	11701	-0.006276540458202362	0.11917963	No	
row_96	TPRA1	transmembrane protein adipocyte associated 1 [Source:HGNC Symbol;Acc:HGNC:30413]	11751	-0.006399623584002256	0.11834369	No	
row_97	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]	11978	-0.00707108061760664	0.10888684	No	
row_98	LINC00337	long intergenic non-protein coding RNA 337 [Source:HGNC Symbol;Acc:HGNC:28620]	12027	-0.007202364504337311	0.10830087	No	
row_99	DEDD2	death effector domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24450]	12031	-0.007212456315755844	0.109951794	No	
row_100	HAMP	hepcidin antimicrobial peptide [Source:HGNC Symbol;Acc:HGNC:15598]	12393	-0.008211938664317131	0.09407656	No	
row_101	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	12586	-0.008797879330813885	0.08673881	No	
row_102	LPCAT1	lysophosphatidylcholine acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:25718]	12881	-0.009575985372066498	0.07453069	No	
row_103	MTCH2	mitochondrial carrier 2 [Source:HGNC Symbol;Acc:HGNC:17587]	13064	-0.009987465105950832	0.06798633	No	
row_104	CLIC4	chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]	13139	-0.010230109095573425	0.06686498	No	
row_105	JSRP1	junctional sarcoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:24963]	13142	-0.010234350338578224	0.06931967	No	
row_106	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	13317	-0.010733017697930336	0.06335858	No	
row_107	FUT8	fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019]	13377	-0.0109030082821846	0.063149944	No	
row_108	LINC00612	long intergenic non-protein coding RNA 612 [Source:HGNC Symbol;Acc:HGNC:28621]	13577	-0.011441309936344624	0.0561243	No	
row_109	IGSF11	immunoglobulin superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:16669]	13728	-0.011926545761525631	0.051652715	No	
row_110	CDC42EP1	CDC42 effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17014]	13864	-0.012305377051234245	0.048020456	No	
row_111	NFE2	nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780]	13926	-0.01245833095163107	0.048100643	No	
row_112	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	13938	-0.012495126575231552	0.050672635	No	
row_113	EID2	EP300 interacting inhibitor of differentiation 2 [Source:HGNC Symbol;Acc:HGNC:28292]	13992	-0.012665188871324062	0.051201668	No	
row_114	LRRC31	leucine rich repeat containing 31 [Source:HGNC Symbol;Acc:HGNC:26261]	14062	-0.012862823903560638	0.05098558	No	
row_115	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	14128	-0.013018856756389141	0.05100704	No	
row_116	REEP4	receptor accessory protein 4 [Source:HGNC Symbol;Acc:HGNC:26176]	14211	-0.013261760585010052	0.050245024	No	
row_117	MEIS3P1	Meis homeobox 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7002]	14264	-0.013414260931313038	0.05101064	No	
row_118	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	14651	-0.014617198146879673	0.035492532	No	
row_119	SCT	secretin [Source:HGNC Symbol;Acc:HGNC:10607]	14815	-0.015095874667167664	0.031166377	No	
row_120	PEBP4	phosphatidylethanolamine binding protein 4 [Source:HGNC Symbol;Acc:HGNC:28319]	15102	-0.016044778749346733	0.020969769	No	
row_121	HSPB9	heat shock protein family B (small) member 9 [Source:HGNC Symbol;Acc:HGNC:30589]	15244	-0.016468312591314316	0.01807846	No	
row_122	WFDC12	WAP four-disulfide core domain 12 [Source:HGNC Symbol;Acc:HGNC:16115]	15406	-0.016974052414298058	0.014320307	No	
row_123	TAC4	tachykinin precursor 4 [Source:HGNC Symbol;Acc:HGNC:16641]	15421	-0.017021022737026215	0.017872784	No	
row_124	CARM1	coactivator associated arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23393]	15520	-0.017403660342097282	0.017349945	No	
row_125	SFTA3	surfactant associated 3 [Source:HGNC Symbol;Acc:HGNC:18387]	15763	-0.018301863223314285	0.009901304	No	
row_126	FLG2	filaggrin family member 2 [Source:HGNC Symbol;Acc:HGNC:33276]	15918	-0.019039301201701164	0.0070061036	No	
row_127	XRCC4	X-ray repair cross complementing 4 [Source:HGNC Symbol;Acc:HGNC:12831]	15956	-0.01918715052306652	0.009957135	No	
row_128	DEGS2	delta 4-desaturase, sphingolipid 2 [Source:HGNC Symbol;Acc:HGNC:20113]	16240	-0.020380042493343353	9.913541E-4	No	
row_129	HS6ST2	heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]	16477	-0.021388113498687744	-0.0053891973	No	
row_130	SDHAF2	succinate dehydrogenase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:26034]	16675	-0.02222500741481781	-0.009624455	No	
row_131	CYSRT1	cysteine rich tail 1 [Source:HGNC Symbol;Acc:HGNC:30529]	17026	-0.02386351302266121	-0.021047646	No	
row_132	PRPS1	phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462]	17097	-0.024193545803427696	-0.018485794	No	
row_133	XPOT	exportin for tRNA [Source:HGNC Symbol;Acc:HGNC:12826]	17142	-0.024467695504426956	-0.014564566	No	
