NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	420	0.08540855348110199	-0.013212179	No	
row_1	RNF11	ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056]	765	0.06810495257377625	-0.02420515	No	
row_2	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	987	0.06132623553276062	-0.029636668	No	
row_3	SNCA	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	993	0.06120624020695686	-0.024208117	No	
row_4	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	1002	0.06086665391921997	-0.018962068	No	
row_5	SFT2D1	SFT2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21102]	1064	0.05940297618508339	-0.016519329	No	
row_6	RIN2	Ras and Rab interactor 2 [Source:HGNC Symbol;Acc:HGNC:18750]	1073	0.05925332382321358	-0.011423005	No	
row_7	FBXO9	F-box protein 9 [Source:HGNC Symbol;Acc:HGNC:13588]	1147	0.057343367487192154	-0.009775361	No	
row_8	NBR1	NBR1 autophagy cargo receptor [Source:HGNC Symbol;Acc:HGNC:6746]	1167	0.05703870207071304	-0.0054381895	No	
row_9	EPS15	epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419]	1169	0.05701448395848274	-1.9733186E-4	No	
row_10	BPGM	bisphosphoglycerate mutase [Source:HGNC Symbol;Acc:HGNC:1093]	1231	0.05570196360349655	0.001901939	No	
row_11	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	1295	0.05423121526837349	0.0037640587	No	
row_12	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	1308	0.054045140743255615	0.008175722	No	
row_13	TPST1	tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]	1425	0.05186786130070686	0.007151041	No	
row_14	BNIP3L	BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]	1430	0.05171522870659828	0.011749117	No	
row_15	CAPN5	calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]	1638	0.04837826266884804	0.0058205863	No	
row_16	FAM220A	family with sequence similarity 220 member A [Source:HGNC Symbol;Acc:HGNC:22422]	1664	0.04804452508687973	0.009021082	No	
row_17	MACF1	microtubule actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]	1669	0.04793732985854149	0.013268552	No	
row_18	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15 [Source:HGNC Symbol;Acc:HGNC:20325]	1675	0.047870129346847534	0.017459456	No	
row_19	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11 [Source:HGNC Symbol;Acc:HGNC:19875]	1768	0.04647162929177284	0.017141894	No	
row_20	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7 [Source:HGNC Symbol;Acc:HGNC:28314]	1827	0.04542355611920357	0.018438272	No	
row_21	ABCB4	ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]	2018	0.04286878556013107	0.012854043	No	
row_22	PRPF8	pre-mRNA processing factor 8 [Source:HGNC Symbol;Acc:HGNC:17340]	2073	0.04216163605451584	0.0140490215	No	
row_23	CASK	calcium/calmodulin dependent serine protein kinase [Source:HGNC Symbol;Acc:HGNC:1497]	2100	0.041885677725076675	0.016627619	No	
row_24	CLCN4	chloride voltage-gated channel 4 [Source:HGNC Symbol;Acc:HGNC:2022]	2144	0.0414089672267437	0.018306373	No	
row_25	XPO7	exportin 7 [Source:HGNC Symbol;Acc:HGNC:14108]	2280	0.03974391520023346	0.015200274	No	
row_26	CYTH3	cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]	2404	0.038398537784814835	0.012573275	No	
row_27	LRRC8C	leucine rich repeat containing 8 VRAC subunit C [Source:HGNC Symbol;Acc:HGNC:25075]	2500	0.037555187940597534	0.011277239	No	
row_28	USP24	ubiquitin specific peptidase 24 [Source:HGNC Symbol;Acc:HGNC:12623]	2511	0.0374591201543808	0.014250308	No	
