NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AMIGO2	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	12	0.22234390676021576	0.017323606	Yes	
row_1	RAB27B	RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9767]	27	0.19223015010356903	0.03211809	Yes	
row_2	RND3	Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]	64	0.15391433238983154	0.042713292	Yes	
row_3	CDH6	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]	73	0.14580225944519043	0.054066658	Yes	
row_4	PDE10A	phosphodiesterase 10A [Source:HGNC Symbol;Acc:HGNC:8772]	120	0.13022257387638092	0.062247068	Yes	
row_5	BTBD3	BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15854]	134	0.1257914900779724	0.07173466	Yes	
row_6	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	169	0.1152694970369339	0.07931458	Yes	
row_7	PLK2	polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	217	0.1067572757601738	0.08555241	Yes	
row_8	NECTIN3	nectin cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17664]	260	0.1002962663769722	0.09152145	Yes	
row_9	INPP4B	inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]	363	0.08976369351148605	0.093614854	Yes	
row_10	ARHGAP21	Rho GTPase activating protein 21 [Source:HGNC Symbol;Acc:HGNC:23725]	515	0.07891569286584854	0.09236202	Yes	
row_11	EFNB2	ephrin B2 [Source:HGNC Symbol;Acc:HGNC:3227]	520	0.07873393595218658	0.098509036	Yes	
row_12	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	612	0.07461065798997879	0.09993539	Yes	
row_13	CCDC82	coiled-coil domain containing 82 [Source:HGNC Symbol;Acc:HGNC:26282]	648	0.07359307259321213	0.104104266	Yes	
