NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFA4	NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]	1361	0.053168829530477524	-0.062198404	No	
row_1	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	1786	0.04609609767794609	-0.07815816	No	
row_2	PRPF8	pre-mRNA processing factor 8 [Source:HGNC Symbol;Acc:HGNC:17340]	2073	0.04216163605451584	-0.0876427	No	
row_3	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]	2119	0.04161780700087547	-0.085086904	No	
row_4	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	2237	0.04034861549735069	-0.08629389	No	
row_5	GABARAP	GABA type A receptor-associated protein [Source:HGNC Symbol;Acc:HGNC:4067]	3342	0.03013726882636547	-0.13825056	No	
row_6	TAGLN2	transgelin 2 [Source:HGNC Symbol;Acc:HGNC:11554]	3819	0.026495108380913734	-0.15908991	No	
row_7	PGD	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	4252	0.023732662200927734	-0.17803918	No	
row_8	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	4303	0.02345648966729641	-0.177836	No	
row_9	MPEG1	macrophage expressed 1 [Source:HGNC Symbol;Acc:HGNC:29619]	4347	0.02311129681766033	-0.17732121	No	
row_10	SUMO2	small ubiquitin like modifier 2 [Source:HGNC Symbol;Acc:HGNC:11125]	4483	0.022274810820817947	-0.18152356	No	
row_11	TRAFD1	TRAF-type zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24808]	4564	0.021814025938510895	-0.18301706	No	
row_12	SEC11C	SEC11 homolog C, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:23400]	4599	0.021550623700022697	-0.18223087	No	
row_13	PSMD3	proteasome 26S subunit, non-ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9560]	4668	0.021122142672538757	-0.18320179	No	
row_14	TUBA1C	tubulin alpha 1c [Source:HGNC Symbol;Acc:HGNC:20768]	4695	0.02099967561662197	-0.1820776	No	
row_15	CAPZA1	capping actin protein of muscle Z-line subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:1488]	4985	0.01934722065925598	-0.19435273	No	
row_16	UBB	ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]	5011	0.019211100414395332	-0.19338527	No	
row_17	NPC2	NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]	5056	0.01895674504339695	-0.19340144	No	
row_18	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]	5109	0.018612712621688843	-0.19385919	No	
row_19	TMEM14C	transmembrane protein 14C [Source:HGNC Symbol;Acc:HGNC:20952]	5296	0.017561545595526695	-0.2011682	No	
row_20	SEM1	SEM1 26S proteasome complex subunit [Source:HGNC Symbol;Acc:HGNC:10845]	5305	0.017520388588309288	-0.19954261	No	
row_21	PSMB6	proteasome 20S subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:9543]	5435	0.01677759364247322	-0.20407973	No	
row_22	RAP1B	RAP1B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9857]	5461	0.016666654497385025	-0.2034067	No	
row_23	ITM2B	integral membrane protein 2B [Source:HGNC Symbol;Acc:HGNC:6174]	5487	0.01651635766029358	-0.20275107	No	
row_24	PSMA5	proteasome 20S subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:9534]	5590	0.015990976244211197	-0.20602323	No	
row_25	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	5754	0.015212630853056908	-0.21244895	No	
row_26	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	5806	0.014976086094975471	-0.21327728	No	
row_27	COPA	COPI coat complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:2230]	5922	0.014317026361823082	-0.21739602	No	
row_28	TCP1	t-complex 1 [Source:HGNC Symbol;Acc:HGNC:11655]	6011	0.013918425887823105	-0.22020492	No	
row_29	PDIA4	protein disulfide isomerase family A member 4 [Source:HGNC Symbol;Acc:HGNC:30167]	6067	0.013636247254908085	-0.22138919	No	
row_30	LCP1	lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]	6100	0.013473701663315296	-0.22143717	No	
row_31	PSMB3	proteasome 20S subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]	6114	0.013410462066531181	-0.22053827	No	
row_32	ARPC2	actin related protein 2/3 complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:705]	6371	0.012239819392561913	-0.23197854	No	
row_33	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	6378	0.012222632765769958	-0.23086554	No	
row_34	TUBA1B	tubulin alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809]	6457	0.01183566078543663	-0.23341322	No	
row_35	ATP6V0C	ATPase H+ transporting V0 subunit c [Source:HGNC Symbol;Acc:HGNC:855]	6608	0.011182605288922787	-0.2396524	No	
row_36	UQCRB	ubiquinol-cytochrome c reductase binding protein [Source:HGNC Symbol;Acc:HGNC:12582]	6715	0.010740953497588634	-0.24373294	No	
row_37	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	6743	0.010630489327013493	-0.24385883	No	
row_38	HCK	HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]	6928	0.009797250851988792	-0.25196582	No	
row_39	CCT6A	chaperonin containing TCP1 subunit 6A [Source:HGNC Symbol;Acc:HGNC:1620]	6947	0.009720039553940296	-0.25174505	No	
row_40	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	7017	0.009462221525609493	-0.2541154	No	
