NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	24	0.1956852674484253	0.013046787	No	
row_1	GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	121	0.1291564702987671	0.017615203	No	
row_2	PLK2	polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	217	0.1067572757601738	0.020602098	No	
row_3	SLC46A3	solute carrier family 46 member 3 [Source:HGNC Symbol;Acc:HGNC:27501]	406	0.08632027357816696	0.017409662	No	
row_4	LONRF2	LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:24788]	419	0.08557074517011642	0.023038952	No	
row_5	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	440	0.0844031348824501	0.028179703	No	
row_6	DSEL	dermatan sulfate epimerase like [Source:HGNC Symbol;Acc:HGNC:18144]	522	0.07864513993263245	0.029824482	No	
row_7	CCDC82	coiled-coil domain containing 82 [Source:HGNC Symbol;Acc:HGNC:26282]	648	0.07359307259321213	0.028882094	No	
row_8	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	662	0.07278617471456528	0.033529494	No	
row_9	SAMD9	sterile alpha motif domain containing 9 [Source:HGNC Symbol;Acc:HGNC:1348]	663	0.07275371253490448	0.03883017	No	
row_10	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:26527]	727	0.06990721076726913	0.04074613	No	
row_11	TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:29011]	751	0.06857241690158844	0.044582188	No	
row_12	STARD3NL	STARD3 N-terminal like [Source:HGNC Symbol;Acc:HGNC:19169]	767	0.06805424392223358	0.048783965	No	
row_13	TMSB4Y	thymosin beta 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:11882]	851	0.06540163606405258	0.049362984	No	
row_14	SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	909	0.06329372525215149	0.051099703	No	
row_15	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B [Source:HGNC Symbol;Acc:HGNC:11818]	927	0.062957763671875	0.054829292	No	
row_16	SCARA3	scavenger receptor class A member 3 [Source:HGNC Symbol;Acc:HGNC:19000]	1031	0.06023027002811432	0.054022864	No	
row_17	NAGK	N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:HGNC:17174]	1114	0.05816083028912544	0.054124765	No	
row_18	CYP4V2	cytochrome P450 family 4 subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:23198]	1164	0.05705813318490982	0.05581064	No	
row_19	WDR7	WD repeat domain 7 [Source:HGNC Symbol;Acc:HGNC:13490]	1297	0.05419660359621048	0.053102035	No	
row_20	XKR6	XK related 6 [Source:HGNC Symbol;Acc:HGNC:27806]	1320	0.05390019342303276	0.055919543	No	
row_21	PCDH7	protocadherin 7 [Source:HGNC Symbol;Acc:HGNC:8659]	1437	0.05157121270895004	0.053826593	No	
row_22	TRAPPC4	trafficking protein particle complex 4 [Source:HGNC Symbol;Acc:HGNC:19943]	1510	0.05049779638648033	0.053874522	No	
row_23	ZDHHC17	zinc finger DHHC-type palmitoyltransferase 17 [Source:HGNC Symbol;Acc:HGNC:18412]	1579	0.04916320741176605	0.05402695	No	
row_24	SLC16A14	solute carrier family 16 member 14 [Source:HGNC Symbol;Acc:HGNC:26417]	1584	0.04911305755376816	0.057403486	No	
row_25	SGCB	sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]	1690	0.04766233265399933	0.055580515	No	
row_26	SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	1734	0.047040678560733795	0.056839146	No	
row_27	METTL4	methyltransferase like 4 [Source:HGNC Symbol;Acc:HGNC:24726]	1778	0.04624062031507492	0.058039486	No	
row_28	MFSD1	major facilitator superfamily domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25874]	1789	0.04604293033480644	0.060889732	No	
row_29	DCUN1D5	defective in cullin neddylation 1 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28409]	1802	0.04587448388338089	0.06362684	No	
row_30	TCTA	T cell leukemia translocation altered [Source:HGNC Symbol;Acc:HGNC:11692]	1894	0.04458409175276756	0.062285673	No	
row_31	PANX1	pannexin 1 [Source:HGNC Symbol;Acc:HGNC:8599]	1907	0.04439505189657211	0.064914994	No	
row_32	CD24	CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]	1925	0.04411588981747627	0.06727181	No	
row_33	THEM4	thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:17947]	1989	0.043219663202762604	0.06724337	No	
row_34	ZDHHC14	zinc finger DHHC-type palmitoyltransferase 14 [Source:HGNC Symbol;Acc:HGNC:20341]	2053	0.04237038642168045	0.06715306	No	
row_35	POLD3	DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]	2086	0.04197867214679718	0.06859765	No	
row_36	ALDH5A1	aldehyde dehydrogenase 5 family member A1 [Source:HGNC Symbol;Acc:HGNC:408]	2105	0.0417940616607666	0.070734866	No	
row_37	PHGR1	proline, histidine and glycine rich 1 [Source:HGNC Symbol;Acc:HGNC:37226]	2282	0.03972908481955528	0.0647531	No	
row_38	PLEKHA6	pleckstrin homology domain containing A6 [Source:HGNC Symbol;Acc:HGNC:17053]	2283	0.03970769792795181	0.067646116	No	
row_39	CADPS2	calcium dependent secretion activator 2 [Source:HGNC Symbol;Acc:HGNC:16018]	2333	0.039144568145275116	0.068026856	No	
row_40	MRPS33	mitochondrial ribosomal protein S33 [Source:HGNC Symbol;Acc:HGNC:16634]	2412	0.038358189165592194	0.066887714	No	
row_41	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	2486	0.03767842799425125	0.06595122	No	
row_42	UTP6	UTP6 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:18279]	2514	0.03743448480963707	0.067316905	No	
row_43	LXN	latexin [Source:HGNC Symbol;Acc:HGNC:13347]	2566	0.0368921235203743	0.06743266	No	
row_44	TMEM126B	transmembrane protein 126B [Source:HGNC Symbol;Acc:HGNC:30883]	2584	0.03672919049859047	0.06925129	No	
row_45	PSMD1	proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]	2634	0.036264244467020035	0.06942217	No	
row_46	GSTM4	glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]	2649	0.03613228350877762	0.07134862	No	
row_47	LYSMD4	LysM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26571]	2668	0.03597910702228546	0.073062174	No	
row_48	USP42	ubiquitin specific peptidase 42 [Source:HGNC Symbol;Acc:HGNC:20068]	2673	0.035898640751838684	0.07547593	No	
row_49	SNX7	sorting nexin 7 [Source:HGNC Symbol;Acc:HGNC:14971]	2745	0.03522936999797821	0.07446187	No	
row_50	TXNDC15	thioredoxin domain containing 15 [Source:HGNC Symbol;Acc:HGNC:20652]	2813	0.034487634897232056	0.0735955	No	
row_51	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	2839	0.034179750829935074	0.07482492	No	
row_52	HUS1	HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]	2857	0.03401516377925873	0.07644582	No	
row_53	PALLD	palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]	2863	0.033965159207582474	0.078668274	No	
row_54	CD101	CD101 molecule [Source:HGNC Symbol;Acc:HGNC:5949]	2908	0.03354981541633606	0.07889356	No	
row_55	FIGNL1	fidgetin like 1 [Source:HGNC Symbol;Acc:HGNC:13286]	3090	0.03211114555597305	0.072104596	No	
row_56	PTP4A1	protein tyrosine phosphatase 4A1 [Source:HGNC Symbol;Acc:HGNC:9634]	3239	0.030989939346909523	0.066898264	No	
row_57	MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	3248	0.030909473076462746	0.06874679	No	
row_58	HAT1	histone acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4821]	3250	0.03089240938425064	0.07094711	No	
row_59	TPM1	tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]	3264	0.03076871857047081	0.07253321	No	
row_60	PRMT6	protein arginine methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18241]	3348	0.030099112540483475	0.07054017	No	
row_61	RARRES1	retinoic acid receptor responder 1 [Source:HGNC Symbol;Acc:HGNC:9867]	3375	0.029920460656285286	0.07140883	No	
row_62	CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	3405	0.02968430146574974	0.072108984	No	
row_63	TMX4	thioredoxin related transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:25237]	3560	0.028487376868724823	0.06641772	No	
row_64	C2CD4A	C2 calcium dependent domain containing 4A [Source:HGNC Symbol;Acc:HGNC:33627]	3602	0.028172237798571587	0.0664025	No	
row_65	CYB561A3	cytochrome b561 family member A3 [Source:HGNC Symbol;Acc:HGNC:23014]	3684	0.02760160155594349	0.06432836	No	
row_66	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	3811	0.026552483439445496	0.059908267	No	
row_67	MPC1	mitochondrial pyruvate carrier 1 [Source:HGNC Symbol;Acc:HGNC:21606]	3887	0.02614137902855873	0.05803034	No	
row_68	MTRF1L	mitochondrial translational release factor 1 like [Source:HGNC Symbol;Acc:HGNC:21051]	3905	0.02594916895031929	0.059063565	No	
row_69	QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	3954	0.025573071092367172	0.058505945	No	
row_70	CFAP36	cilia and flagella associated protein 36 [Source:HGNC Symbol;Acc:HGNC:30540]	4005	0.02525770105421543	0.057824478	No	
row_71	TBC1D24	TBC1 domain family member 24 [Source:HGNC Symbol;Acc:HGNC:29203]	4077	0.0247633196413517	0.056047883	No	
row_72	SMYD5	SMYD family member 5 [Source:HGNC Symbol;Acc:HGNC:16258]	4089	0.024705592542886734	0.057293106	No	
row_73	EI24	EI24 autophagy associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:13276]	4116	0.024534612894058228	0.05776937	No	
row_74	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	4205	0.023952458053827286	0.055076323	No	
row_75	SLC2A11	solute carrier family 2 member 11 [Source:HGNC Symbol;Acc:HGNC:14239]	4222	0.023872073739767075	0.056008648	No	
row_76	PGD	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	4252	0.023732662200927734	0.05627518	No	
row_77	OXCT1	3-oxoacid CoA-transferase 1 [Source:HGNC Symbol;Acc:HGNC:8527]	4274	0.023602023720741272	0.056935664	No	
row_78	CISD1	CDGSH iron sulfur domain 1 [Source:HGNC Symbol;Acc:HGNC:30880]	4373	0.02292168326675892	0.053663183	No	
row_79	ATP9B	ATPase phospholipid transporting 9B (putative) [Source:HGNC Symbol;Acc:HGNC:13541]	4554	0.021866923198103905	0.046178285	No	
row_80	MANEAL	mannosidase endo-alpha like [Source:HGNC Symbol;Acc:HGNC:26452]	4569	0.02179752103984356	0.047060333	No	
row_81	ZFAND2A	zinc finger AN1-type containing 2A [Source:HGNC Symbol;Acc:HGNC:28073]	4583	0.021685799583792686	0.047984675	No	
row_82	DNAJC10	DnaJ heat shock protein family (Hsp40) member C10 [Source:HGNC Symbol;Acc:HGNC:24637]	4586	0.021664611995220184	0.04946224	No	
row_83	SEC11C	SEC11 homolog C, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:23400]	4599	0.021550623700022697	0.05042717	No	
