NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
UP-REGULATED BY MHV-A59 IN MURINE SPLEEN 5D FROM GSE146074	UP-REGULATED BY MHV-A59 IN MURINE SPLEEN 5D FROM GSE146074	Details ...	379	-0.53897786	-1.5979878	0.02053388	1.0	0.419	4676	tags=47%, list=23%, signal=60%	
UP-REGULATED BY SARS-COV-2 IN A549-ACE2 TREATED WITH TRIFLUOPERAZINE FROM GSE154613	UP-REGULATED BY SARS-COV-2 IN A549-ACE2 TREATED WITH TRIFLUOPERAZINE FROM GSE154613	Details ...	470	-0.37195897	-1.5517824	0.0985325	1.0	0.506	6108	tags=47%, list=30%, signal=65%	
GENES WHOSE EXPRESSION IS ALTERED BY MHV INFECTION	GENES WHOSE EXPRESSION IS ALTERED BY MHV INFECTION	Details ...	77	-0.6117785	-1.5363269	0.033472802	1.0	0.533	5512	tags=69%, list=27%, signal=94%	
DOWN-REGULATED BY SARS-COV-2 2 MOI IN A549 FROM GSE147507	DOWN-REGULATED BY SARS-COV-2 2 MOI IN A549 FROM GSE147507	Details ...	491	-0.45120764	-1.5129974	0.113131315	0.970721	0.581	5230	tags=46%, list=26%, signal=61%	
DOWN-REGULATED BY MERS AND COVID-19 IN CALU3 FROM TWO SEPARATE STUDIES	DOWN-REGULATED BY MERS AND COVID-19 IN CALU3 FROM TWO SEPARATE STUDIES	Details ...	60	-0.6279336	-1.4877492	0.08471075	0.94914776	0.633	3235	tags=50%, list=16%, signal=59%	
SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE68820:GPL7202:3	SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE68820:GPL7202:3	Details ...	396	-0.62704676	-1.4757007	0.04225352	0.863432	0.65	2556	tags=49%, list=13%, signal=55%	
SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE68820:GPL7202:2	SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE68820:GPL7202:2	Details ...	404	-0.6195915	-1.4414692	0.061507937	0.9432533	0.72	2706	tags=48%, list=13%, signal=54%	
DOWN-REGULATED BY MERS-COV IN CALU-3 24HR FROM GSE139516	DOWN-REGULATED BY MERS-COV IN CALU-3 24HR FROM GSE139516	Details ...	477	-0.36599073	-1.4035615	0.1493776	1.0	0.765	5237	tags=41%, list=26%, signal=54%	
DOWN-REGULATED BY SARS-COV-2 INFECTION OF CALU3 CELLS	DOWN-REGULATED BY SARS-COV-2 INFECTION OF CALU3 CELLS	Details ...	483	-0.4275244	-1.4015399	0.16155419	0.9431211	0.767	3322	tags=34%, list=16%, signal=40%	
DOWN-REGULATED BY SARS-COV-2 2 MOI IN CALU-3 FROM GSE147507	DOWN-REGULATED BY SARS-COV-2 2 MOI IN CALU-3 FROM GSE147507	Details ...	483	-0.4275244	-1.4015399	0.16155419	0.84880894	0.767	3322	tags=34%, list=16%, signal=40%	
SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:4	SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:4	Details ...	350	-0.55373013	-1.3956149	0.1139785	0.7954828	0.77	3621	tags=43%, list=18%, signal=51%	
SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE19137:GPL1261:2	SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE19137:GPL1261:2	Details ...	241	-0.50454986	-1.3058826	0.2208589	1.0	0.849	4256	tags=41%, list=21%, signal=52%	
UP-REGULATED BY MHV-A59 IN MURINE SPLEEN 3D FROM GSE146074	UP-REGULATED BY MHV-A59 IN MURINE SPLEEN 3D FROM GSE146074	Details ...	419	-0.50291336	-1.305677	0.20041323	1.0	0.85	4110	tags=41%, list=20%, signal=50%	
SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:3	SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:3	Details ...	255	-0.551427	-1.303558	0.20215054	1.0	0.851	3944	tags=47%, list=19%, signal=58%	
UP-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 60HR EXPENSION FROM GSE149312	UP-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 60HR EXPENSION FROM GSE149312	Details ...	463	-0.39617515	-1.3034645	0.12475248	0.951822	0.851	2649	tags=29%, list=13%, signal=32%	
ACE2 CO-EXPRESSED GENES FROM ARCHS4	ACE2 CO-EXPRESSED GENES FROM ARCHS4	Details ...	71	-0.39881828	-1.2971199	0.188	0.9215841	0.858	4661	tags=35%, list=23%, signal=46%	
SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:1	SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:1	Details ...	225	-0.4635264	-1.2846575	0.18647541	0.9196288	0.871	3703	tags=40%, list=18%, signal=49%	
SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:5	SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:5	Details ...	378	-0.4979233	-1.2767208	0.20726496	0.90075153	0.879	3621	tags=39%, list=18%, signal=47%	
SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:3	SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:3	Details ...	232	-0.5184467	-1.2576709	0.27272728	0.9271842	0.893	3771	tags=44%, list=19%, signal=53%	
UP-REGULATED BY IAV-INFECTION IN MOUSE SPLEEN	UP-REGULATED BY IAV-INFECTION IN MOUSE SPLEEN	Details ...	422	-0.3654208	-1.2371261	0.23904383	0.9621955	0.907	3501	tags=29%, list=17%, signal=34%	
SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:6	SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:6		343	-0.49059802	-1.2343986	0.23529412	0.9248132	0.907	3091	tags=36%, list=15%, signal=42%	
SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:2	SARS PERTURBATION UP GENES AIRWAY EPITHELIUM (HAE) FROM GSE47961:GPL6480:2		208	-0.46376187	-1.2205886	0.2236842	0.93270624	0.916	1590	tags=23%, list=8%, signal=24%	
MERS-COV TOP 200 PREDICTED GENES FROM GENESHOT GENERIF VIA AUTORIF CO-OCCURRENCE GENE SIMILARITY	MERS-COV TOP 200 PREDICTED GENES FROM GENESHOT GENERIF VIA AUTORIF CO-OCCURRENCE GENE SIMILARITY		196	-0.51619583	-1.2167958	0.2851153	0.90418243	0.92	3513	tags=40%, list=17%, signal=48%	
SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:4	SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:4		21	-0.6371816	-1.215067	0.29175475	0.8729138	0.92	3258	tags=48%, list=16%, signal=57%	
SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:5	SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:5		280	-0.5356521	-1.2034881	0.29978585	0.8756812	0.924	3426	tags=44%, list=17%, signal=52%	
DOWN-REGULATED BY SARS-COV-1 IN CALU-3 4HR FROM GSE148729	DOWN-REGULATED BY SARS-COV-1 IN CALU-3 4HR FROM GSE148729		417	-0.36878055	-1.2025157	0.26844263	0.8448392	0.924	4885	tags=40%, list=24%, signal=51%	
DOWN-REGULATED BY MERS-COV IN CALU-3 6HR FROM GSE139516	DOWN-REGULATED BY MERS-COV IN CALU-3 6HR FROM GSE139516		471	-0.2851007	-1.1902655	0.32591093	0.849791	0.93	6772	tags=44%, list=33%, signal=64%	
SARS PERTURBATION DOWN GENES MOUSE LUNG FROM GSE68820:GPL7202:1	SARS PERTURBATION DOWN GENES MOUSE LUNG FROM GSE68820:GPL7202:1		74	-0.3781393	-1.1765885	0.23376623	0.86274165	0.935	5129	tags=45%, list=25%, signal=59%	
SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE68820:GPL7202:4	SARS PERTURBATION UP GENES MOUSE LUNG FROM GSE68820:GPL7202:4		340	-0.4896528	-1.176126	0.31330472	0.834327	0.935	4198	tags=46%, list=21%, signal=58%	
SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:1	SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:1		110	-0.47040308	-1.1719356	0.3263158	0.81887114	0.938	3780	tags=39%, list=19%, signal=48%	
UP-REGULATED BY SARS-COV-2 IN MOUSE LUNG TISSUE FROM GSE150847	UP-REGULATED BY SARS-COV-2 IN MOUSE LUNG TISSUE FROM GSE150847		277	-0.50841194	-1.1633724	0.34303534	0.81770396	0.943	3633	tags=40%, list=18%, signal=49%	
SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:2	SARS-COV PERTURBATION UP GENES VERO E6 FROM GSE30589:GPL570:2		85	-0.4641787	-1.1514571	0.34599155	0.82728285	0.946	3913	tags=41%, list=19%, signal=51%	
GENES WHOSE EXPRESSION IS ALTERED BY SARS=COV-2 INFECTION	GENES WHOSE EXPRESSION IS ALTERED BY SARS=COV-2 INFECTION		118	-0.364512	-1.1378441	0.35564855	0.8435902	0.95	5503	tags=48%, list=27%, signal=66%	
UP-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 24HR DIFFERENTIATION FROM GSE149312	UP-REGULATED BY SARS-COV-2 IN INTESTINAL ORGANOIDS 24HR DIFFERENTIATION FROM GSE149312		463	-0.28003293	-1.1337265	0.3438155	0.8315374	0.95	5144	tags=40%, list=25%, signal=53%	
UP-REGULATED BY MHV-A59 IN MURINE LIVER 5D FROM GSE146074	UP-REGULATED BY MHV-A59 IN MURINE LIVER 5D FROM GSE146074		393	-0.46161512	-1.1159102	0.39029536	0.85758454	0.955	3571	tags=36%, list=18%, signal=43%	
UP-REGULATED BY SARS-COV-2 IN NHBE FROM GSE147507	UP-REGULATED BY SARS-COV-2 IN NHBE FROM GSE147507		488	-0.38468993	-1.0898042	0.38784066	0.9059882	0.961	4183	tags=37%, list=21%, signal=45%	
UP-REGULATED BY SARS-COV-1 IN INTESTINAL ORGANOIDS 60HR FROM GSE149312	UP-REGULATED BY SARS-COV-1 IN INTESTINAL ORGANOIDS 60HR FROM GSE149312		457	-0.32004774	-1.0758746	0.366	0.9247034	0.965	3252	tags=28%, list=16%, signal=33%	
UP-REGULATED BY SARS-COV-2 IN FERRET NASAL WASH FROM GSE147507	UP-REGULATED BY SARS-COV-2 IN FERRET NASAL WASH FROM GSE147507		368	-0.30859816	-1.0735489	0.39419088	0.9079768	0.966	4517	tags=33%, list=22%, signal=42%	
