NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
DOWN-REGULATED BY SARS-COV-2 IN PANCREATIC ORGANOIDS FROM GSE151803	DOWN-REGULATED BY SARS-COV-2 IN PANCREATIC ORGANOIDS FROM GSE151803	Details ...	442	0.50489694	1.4635711	0.017964073	1.0	0.677	3414	tags=39%, list=17%, signal=46%	
SARS PERTURBATION DOWN GENES MOUSE LUNG FROM GSE68820:GPL7202:4	SARS PERTURBATION DOWN GENES MOUSE LUNG FROM GSE68820:GPL7202:4	Details ...	134	0.45980105	1.4115876	0.05	1.0	0.76	2346	tags=22%, list=12%, signal=25%	
SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:4	SARS-COV PERTURBATION UP GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:4	Details ...	151	0.37784225	1.345985	0.111328125	1.0	0.83	4583	tags=31%, list=23%, signal=40%	
COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	Details ...	24	0.5006668	1.3218565	0.18145162	1.0	0.857	4258	tags=42%, list=21%, signal=53%	
DOWN-REGULATED BY SARS-COV-2 IN NHBE FROM GSE147507	DOWN-REGULATED BY SARS-COV-2 IN NHBE FROM GSE147507	Details ...	473	0.42372692	1.2847123	0.12774451	1.0	0.892	2645	tags=27%, list=13%, signal=31%	
UP-REGULATED BY SARS-COV-1 IN CALU-3 4HR FROM GSE148729	UP-REGULATED BY SARS-COV-1 IN CALU-3 4HR FROM GSE148729	Details ...	409	0.4006727	1.2829219	0.20717132	1.0	0.892	4299	tags=33%, list=21%, signal=41%	
SARS-COV PERTURBATION DOWN GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:3	SARS-COV PERTURBATION DOWN GENES BRONCHIAL EPITHELIAL 2B4 FROM GSE17400:GPL570:3	Details ...	203	0.35215604	1.2332892	0.20281124	1.0	0.919	3916	tags=28%, list=19%, signal=34%	
COVID19-M PROTEIN HOST PPI FROM KROGAN	COVID19-M PROTEIN HOST PPI FROM KROGAN	Details ...	29	0.4108489	1.2236457	0.23046875	1.0	0.924	5192	tags=45%, list=26%, signal=60%	
COVID-19 PATIENTS PBMC DOWN	COVID-19 PATIENTS PBMC DOWN	Details ...	201	0.3721061	1.2181566	0.21317829	1.0	0.926	3951	tags=27%, list=19%, signal=34%	
DOWN-REGULATED BY SARS-COV-2 IN MOUSE LUNG TISSUE FROM GSE150847	DOWN-REGULATED BY SARS-COV-2 IN MOUSE LUNG TISSUE FROM GSE150847	Details ...	349	0.36148906	1.2161269	0.18045112	1.0	0.927	4139	tags=29%, list=20%, signal=36%	
