NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	280	0.0973181203007698	0.008675196	Yes	
row_1	LAMA4	laminin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6484]	307	0.09400545805692673	0.029222568	Yes	
row_2	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	672	0.07227733731269836	0.02789897	Yes	
row_3	RNF11	ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056]	765	0.06810495257377625	0.039143678	Yes	
row_4	ANGPT1	angiopoietin 1 [Source:HGNC Symbol;Acc:HGNC:484]	774	0.06792539358139038	0.05452743	Yes	
row_5	GPD2	glycerol-3-phosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4456]	792	0.06734514236450195	0.069328435	Yes	
row_6	DBT	dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]	795	0.06728042662143707	0.08486096	Yes	
row_7	HIBCH	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	971	0.0617637000977993	0.09050133	Yes	
row_8	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	1081	0.05917841196060181	0.09882592	Yes	
row_9	COQ5	coenzyme Q5, methyltransferase [Source:HGNC Symbol;Acc:HGNC:28722]	1315	0.05392038822174072	0.09975724	Yes	
row_10	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	1318	0.053909752517938614	0.1121832	Yes	
row_11	PHLDB1	pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]	1350	0.05334184318780899	0.123033844	Yes	
row_12	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	1398	0.05230851098895073	0.13284807	Yes	
row_13	GPAT4	glycerol-3-phosphate acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20880]	1458	0.0512823611497879	0.14182663	Yes	
row_14	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]	1478	0.05095363408327103	0.15271965	Yes	
row_15	DLAT	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]	1572	0.049223028123378754	0.15952753	Yes	
row_16	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15 [Source:HGNC Symbol;Acc:HGNC:20325]	1675	0.047870129346847534	0.16557312	Yes	
row_17	SORBS1	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	1880	0.04477587342262268	0.16582313	Yes	
row_18	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	1882	0.04473986476659775	0.17616832	Yes	
row_19	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]	1947	0.04370030760765076	0.18313639	Yes	
row_20	ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	1961	0.043529972434043884	0.19260322	Yes	
row_21	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	2081	0.0420302115380764	0.19644584	Yes	
row_22	TANK	TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562]	2286	0.03968283534049988	0.19551253	Yes	
row_23	APLP2	amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]	2359	0.03889354318380356	0.20096563	Yes	
row_24	ACADL	acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]	2415	0.03833480179309845	0.207135	Yes	
row_25	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	2528	0.037313733249902725	0.21023019	Yes	
row_26	DHRS7B	dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]	2701	0.035665079951286316	0.20995606	Yes	
row_27	BCL2L13	BCL2 like 13 [Source:HGNC Symbol;Acc:HGNC:17164]	2723	0.03546365723013878	0.21715057	Yes	
row_28	ARL4A	ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]	2978	0.03294752165675163	0.21216382	Yes	
row_29	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	3041	0.03242987021803856	0.21661285	Yes	
row_30	MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	3095	0.032071538269519806	0.22142655	Yes	
row_31	PHYH	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]	3157	0.031600356101989746	0.2257326	Yes	
row_32	COQ3	coenzyme Q3, methyltransferase [Source:HGNC Symbol;Acc:HGNC:18175]	3374	0.02993236668407917	0.2219366	Yes	
row_33	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]	3719	0.02735316939651966	0.21117064	Yes	
row_34	ELMOD3	ELMO domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26158]	3806	0.026595288887619972	0.21306954	Yes	
row_35	QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	3954	0.025573071092367172	0.2116949	Yes	
row_36	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	3967	0.025495605543255806	0.21702135	Yes	
row_37	GHITM	growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:HGNC:17281]	4112	0.02456885762512684	0.21556269	Yes	
row_38	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	4132	0.024440541863441467	0.22029561	Yes	
row_39	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	4205	0.023952458053827286	0.22227725	Yes	
row_40	NKIRAS1	NFKB inhibitor interacting Ras like 1 [Source:HGNC Symbol;Acc:HGNC:17899]	4337	0.02320963889360428	0.22114982	Yes	
