NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	280	0.0973181203007698	0.023029383	Yes	
row_1	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	348	0.09061656892299652	0.054067213	Yes	
row_2	INPP4B	inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]	363	0.08976369351148605	0.08740661	Yes	
row_3	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	420	0.08540855348110199	0.117014684	Yes	
row_4	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	619	0.07452186942100525	0.13546237	Yes	
row_5	PGM3	phosphoglucomutase 3 [Source:HGNC Symbol;Acc:HGNC:8907]	1288	0.05436410382390022	0.12298979	Yes	
row_6	RAB4A	RAB4A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9781]	1419	0.051951028406620026	0.13624786	Yes	
row_7	HERC3	HECT and RLD domain containing E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:4876]	1632	0.04842577874660492	0.14410816	Yes	
row_8	UBE2J1	ubiquitin conjugating enzyme E2 J1 [Source:HGNC Symbol;Acc:HGNC:17598]	1658	0.04808260127902031	0.1610999	Yes	
row_9	SLC38A2	solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448]	1695	0.04756952077150345	0.17735232	Yes	
row_10	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	1724	0.04719787463545799	0.19386005	Yes	
row_11	STK39	serine/threonine kinase 39 [Source:HGNC Symbol;Acc:HGNC:17717]	2094	0.041921645402908325	0.19147864	Yes	
row_12	VAPA	VAMP associated protein A [Source:HGNC Symbol;Acc:HGNC:12648]	2107	0.04176315665245056	0.2067183	Yes	
row_13	ANKH	ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]	2288	0.03965727612376213	0.21283899	Yes	
row_14	PTPN21	protein tyrosine phosphatase non-receptor type 21 [Source:HGNC Symbol;Acc:HGNC:9651]	2680	0.03581293672323227	0.20705196	Yes	
row_15	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	2839	0.034179750829935074	0.21218552	Yes	
row_16	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	2866	0.03395251929759979	0.22377048	Yes	
row_17	TMEM50A	transmembrane protein 50A [Source:HGNC Symbol;Acc:HGNC:30590]	2995	0.03281398117542267	0.22987203	Yes	
row_18	IQGAP2	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	2996	0.03281310200691223	0.24231271	Yes	
row_19	ZMIZ1	zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]	3000	0.03277534618973732	0.25459048	Yes	
row_20	PIAS1	protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]	3012	0.0326823964715004	0.26643682	Yes	
row_21	ZBTB10	zinc finger and BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30953]	3694	0.027563374489545822	0.24315923	Yes	
row_22	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	3733	0.027257787063717842	0.25161165	Yes	
row_23	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	3751	0.02706029824912548	0.26102927	Yes	
row_24	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	3928	0.025813378393650055	0.26209933	Yes	
row_25	APPBP2	amyloid beta precursor protein binding protein 2 [Source:HGNC Symbol;Acc:HGNC:622]	4147	0.02432301826775074	0.2605242	Yes	
row_26	SLC26A2	solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	4184	0.024106642231345177	0.26788098	Yes	
row_27	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	4205	0.023952458053827286	0.2759717	Yes	
row_28	GPD1L	glycerol-3-phosphate dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:28956]	4851	0.02010653167963028	0.25164992	No	
row_29	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	5060	0.01890888251364231	0.24851736	No	
row_30	ARID5B	AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]	5346	0.017301784828305244	0.24096191	No	
row_31	NGLY1	N-glycanase 1 [Source:HGNC Symbol;Acc:HGNC:17646]	5518	0.016359388828277588	0.23869525	No	
row_32	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	5540	0.016268499195575714	0.24382319	No	
row_33	XRCC5	X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]	5543	0.01625494286417961	0.24988699	No	
row_34	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	5606	0.015926113352179527	0.2528545	No	
row_35	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:1470]	5690	0.015478342771530151	0.25461218	No	
row_36	NCOA4	nuclear receptor coactivator 4 [Source:HGNC Symbol;Acc:HGNC:7671]	5736	0.015274228528141975	0.25817448	No	
row_37	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12457]	6110	0.013425786979496479	0.24479114	No	
row_38	TSC22D1	TSC22 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:16826]	6464	0.011784602887928486	0.23177609	No	
row_39	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	6878	0.010025962255895138	0.21512264	No	
row_40	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	7107	0.00906198937445879	0.20726623	No	
row_41	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	7890	0.006022382993251085	0.1708194	No	
row_42	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	8007	0.005559744779020548	0.16718218	No	
row_43	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	8097	0.005191614385694265	0.1647426	No	
