NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AMIGO2	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	12	0.22234390676021576	0.045695104	Yes	
row_1	CDH8	cadherin 8 [Source:HGNC Symbol;Acc:HGNC:1767]	17	0.20928724110126495	0.08906998	Yes	
row_2	CDH6	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]	73	0.14580225944519043	0.11668872	Yes	
row_3	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	201	0.10919696092605591	0.13310248	Yes	
row_4	NECTIN3	nectin cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17664]	260	0.1002962663769722	0.15109748	Yes	
row_5	CADM3	cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17601]	298	0.09487290680408478	0.16900855	Yes	
row_6	SLIT2	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	604	0.07526111602783203	0.16949712	Yes	
row_7	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	697	0.07112536579370499	0.17972638	Yes	
row_8	NECTIN1	nectin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:9706]	871	0.06456083059310913	0.18455724	Yes	
row_9	SGCE	sarcoglycan epsilon [Source:HGNC Symbol;Acc:HGNC:10808]	978	0.061591826379299164	0.19210477	Yes	
row_10	NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	1015	0.06053566187620163	0.20291655	Yes	
row_11	IRS1	insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]	1024	0.06032056361436844	0.2150772	Yes	
row_12	SHROOM2	shroom family member 2 [Source:HGNC Symbol;Acc:HGNC:630]	1260	0.05509102717041969	0.21485049	Yes	
row_13	CTNNA1	catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]	1353	0.053313709795475006	0.22137132	Yes	
row_14	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	1454	0.051396336406469345	0.22709477	Yes	
row_15	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma [Source:HGNC Symbol;Acc:HGNC:9306]	1524	0.0502406507730484	0.23412059	Yes	
row_16	RASA1	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]	1723	0.04721136763691902	0.23409492	Yes	
row_17	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	2019	0.04284476861357689	0.22833209	Yes	
row_18	PCDH1	protocadherin 1 [Source:HGNC Symbol;Acc:HGNC:8655]	2063	0.04226896911859512	0.2349923	Yes	
row_19	EXOC4	exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]	2240	0.040278881788253784	0.23461829	Yes	
row_20	NRXN2	neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]	2255	0.04011152684688568	0.24227275	Yes	
row_21	SDC3	syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]	2371	0.0386979915201664	0.24460578	Yes	
row_22	NFASC	neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]	2639	0.03617766126990318	0.2388485	No	
row_23	GRB7	growth factor receptor bound protein 7 [Source:HGNC Symbol;Acc:HGNC:4567]	3310	0.0303784292191267	0.21182507	No	
row_24	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	3324	0.03026311844587326	0.21747886	No	
row_25	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	3329	0.030221331864595413	0.2235719	No	
row_26	TMEM8B	transmembrane protein 8B [Source:HGNC Symbol;Acc:HGNC:21427]	3358	0.030042046681046486	0.22843304	No	
row_27	NLGN3	neuroligin 3 [Source:HGNC Symbol;Acc:HGNC:14289]	3537	0.02868591621518135	0.22554581	No	
row_28	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	3554	0.028504259884357452	0.23068407	No	
row_29	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	3603	0.028166431933641434	0.23415925	No	
row_30	ITGA9	integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]	3747	0.02710052765905857	0.232684	No	
row_31	CERCAM	cerebral endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:23723]	3822	0.026484185829758644	0.23451482	No	
row_32	MPZL1	myelin protein zero like 1 [Source:HGNC Symbol;Acc:HGNC:7226]	3906	0.02594182826578617	0.23578475	No	
row_33	CLDN6	claudin 6 [Source:HGNC Symbol;Acc:HGNC:2048]	3939	0.025735624134540558	0.2395502	No	
row_34	NLGN2	neuroligin 2 [Source:HGNC Symbol;Acc:HGNC:14290]	4034	0.02505115419626236	0.24008718	No	
