NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCA5	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	55	0.16174139082431793	0.047804065	Yes	
row_1	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	98	0.14014098048210144	0.089504175	Yes	
row_2	RBP1	retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]	299	0.09460097551345825	0.10914719	Yes	
row_3	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	384	0.08786728978157043	0.1324351	Yes	
row_4	PECR	peroxisomal trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:18281]	426	0.08507638424634933	0.15698202	Yes	
row_5	PNPLA8	patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]	496	0.0803803950548172	0.17867428	Yes	
row_6	ABCA6	ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]	547	0.07747607678174973	0.20040077	Yes	
row_7	ABCG4	ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]	552	0.07712621241807938	0.22429757	Yes	
row_8	NEDD4	NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]	576	0.07627483457326889	0.24698682	Yes	
row_9	RXRG	retinoid X receptor gamma [Source:HGNC Symbol;Acc:HGNC:10479]	848	0.06549070030450821	0.25401697	Yes	
row_10	ABCA9	ATP binding cassette subfamily A member 9 [Source:HGNC Symbol;Acc:HGNC:39]	857	0.06519608199596405	0.27398846	Yes	
row_11	OPTN	optineurin [Source:HGNC Symbol;Acc:HGNC:17142]	901	0.06341373920440674	0.29166862	Yes	
row_12	PEX1	peroxisomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8850]	908	0.06329581141471863	0.31114554	Yes	
row_13	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	1081	0.05917841196060181	0.32110977	Yes	
row_14	PEX12	peroxisomal biogenesis factor 12 [Source:HGNC Symbol;Acc:HGNC:8854]	1126	0.05787407606840134	0.33700976	Yes	
row_15	PEX13	peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:HGNC:8855]	1175	0.056899555027484894	0.35240704	Yes	
row_16	NUDT12	nudix hydrolase 12 [Source:HGNC Symbol;Acc:HGNC:18826]	1485	0.05088299512863159	0.35299048	Yes	
row_17	AMACR	alpha-methylacyl-CoA racemase [Source:HGNC Symbol;Acc:HGNC:451]	1508	0.05055056884884834	0.36769274	Yes	
row_18	HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5217]	1741	0.04689495638012886	0.3708461	Yes	
row_19	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	2081	0.0420302115380764	0.36717713	Yes	
row_20	ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	2133	0.04153313487768173	0.37762514	Yes	
row_21	SLC23A2	solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]	2291	0.03964301943778992	0.38222966	Yes	
row_22	ABCA8	ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38]	2345	0.03906967490911484	0.39180893	Yes	
row_23	GNPAT	glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]	2589	0.036716215312480927	0.39123723	Yes	
row_24	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	3147	0.03165635094046593	0.37352404	Yes	
row_25	PHYH	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]	3157	0.031600356101989746	0.3829503	Yes	
