NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNX10	sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]	335	0.09167592227458954	3.522543E-4	No	
row_1	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	348	0.09061656892299652	0.016584612	No	
row_2	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	355	0.09020166844129562	0.033038553	No	
row_3	NPY1R	neuropeptide Y receptor Y1 [Source:HGNC Symbol;Acc:HGNC:7956]	480	0.08139251917600632	0.04198315	No	
row_4	ALDH3A2	aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403]	692	0.07133457809686661	0.044729453	No	
row_5	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12 [Source:HGNC Symbol;Acc:HGNC:28908]	887	0.06402011215686798	0.046963435	No	
row_6	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	1074	0.0592479407787323	0.048709303	No	
row_7	RABEP1	rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]	1221	0.05587948486208916	0.05182051	No	
row_8	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	1309	0.05402902886271477	0.05752468	No	
row_9	MEST	mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]	1321	0.05389377474784851	0.066986516	No	
row_10	MAPT	microtubule associated protein tau [Source:HGNC Symbol;Acc:HGNC:6893]	1431	0.05168566852807999	0.07116046	No	
row_11	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	1498	0.050702016800642014	0.077291965	No	
row_12	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	1562	0.049372121691703796	0.0833258	No	
row_13	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	1609	0.0486728809773922	0.090075925	No	
row_14	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	1672	0.04787885770201683	0.0958822	No	
row_15	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	1724	0.04719787463545799	0.102109514	No	
row_16	DLG5	discs large MAGUK scaffold protein 5 [Source:HGNC Symbol;Acc:HGNC:2904]	1804	0.045843612402677536	0.10669164	No	
row_17	FRK	fyn related Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3955]	2024	0.04275839403271675	0.10373249	No	
row_18	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	2039	0.04258137196302414	0.110944025	No	
row_19	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	2157	0.04128547012805939	0.112788215	No	
row_20	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	2486	0.03767842799425125	0.10346027	No	
row_21	TH	tyrosine hydroxylase [Source:HGNC Symbol;Acc:HGNC:11782]	2819	0.034409068524837494	0.09332603	No	
row_22	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	2839	0.034179750829935074	0.09872832	No	
row_23	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	3464	0.02916712500154972	0.073086664	No	
row_24	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	3495	0.028951337561011314	0.076970406	No	
row_25	ARL3	ADP ribosylation factor like GTPase 3 [Source:HGNC Symbol;Acc:HGNC:694]	3630	0.02794812247157097	0.07549138	No	
row_26	SLC22A5	solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	3932	0.025761032477021217	0.06529398	No	
row_27	MOCS2	molybdenum cofactor synthesis 2 [Source:HGNC Symbol;Acc:HGNC:7193]	3966	0.02551392838358879	0.06839	No	
row_28	AMFR	autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]	4003	0.025267107412219048	0.07129085	No	
row_29	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30425]	4181	0.02412950061261654	0.066962354	No	
row_30	SLC26A2	solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	4184	0.024106642231345177	0.07133998	No	
row_31	SERPINA5	serpin family A member 5 [Source:HGNC Symbol;Acc:HGNC:8723]	4234	0.02382929064333439	0.07332674	No	
row_32	GJB3	gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]	4295	0.023483961820602417	0.07470185	No	
row_33	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	4311	0.023392463102936745	0.07829978	No	
row_34	PGR	progesterone receptor [Source:HGNC Symbol;Acc:HGNC:8910]	4328	0.0232518520206213	0.08182182	No	
row_35	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	4417	0.022668669000267982	0.08165186	No	
row_36	ABCA3	ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]	4650	0.021235954016447067	0.07404842	No	
row_37	SLC29A1	solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]	4708	0.020946035161614418	0.0751015	No	
row_38	RAPGEFL1	Rap guanine nucleotide exchange factor like 1 [Source:HGNC Symbol;Acc:HGNC:17428]	4723	0.020848596468567848	0.07827675	No	
row_39	UNC13B	unc-13 homolog B [Source:HGNC Symbol;Acc:HGNC:12566]	5261	0.017737027257680893	0.05484255	No	
row_40	GALE	UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116]	5377	0.017120303586125374	0.05229824	No	
row_41	ADD3	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	5470	0.01661977544426918	0.050805762	No	
row_42	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	5477	0.016569357365369797	0.05358444	No	
row_43	TFAP2C	transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]	5858	0.014682918787002563	0.037397463	No	
row_44	IL6ST	interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	6027	0.013838499784469604	0.03160565	No	
row_45	JAK1	Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]	6069	0.013624386861920357	0.032095306	No	
row_46	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]	6476	0.011715901084244251	0.01406317	No	
row_47	PLXNB1	plexin B1 [Source:HGNC Symbol;Acc:HGNC:9103]	6478	0.011709260754287243	0.016188083	No	
row_48	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	6773	0.010519186034798622	0.0035083268	No	
row_49	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	6914	0.009859893471002579	-0.0016287522	No	
row_50	CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]	7044	0.009363585151731968	-0.006310499	No	
row_51	SLC24A3	solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]	7202	0.00875159166753292	-0.012499565	No	
row_52	SCNN1A	sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]	7307	0.008324112743139267	-0.016130028	No	
row_53	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]	7323	0.00824089627712965	-0.015346102	No	
row_54	PDZK1	PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:8821]	7666	0.006886753719300032	-0.031089617	No	
row_55	OVOL2	ovo like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:15804]	7845	0.006185716018080711	-0.03880047	No	
row_56	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	8007	0.005559744779020548	-0.045781434	No	
row_57	KCNK5	potassium two pore domain channel subfamily K member 5 [Source:HGNC Symbol;Acc:HGNC:6280]	8083	0.0052435207180678844	-0.048540603	No	
row_58	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	8097	0.005191614385694265	-0.048223455	No	
row_59	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	8260	0.004600937478244305	-0.055432264	No	
row_60	PTGER3	prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]	8359	0.004242841619998217	-0.059522074	No	
row_61	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	8428	0.00402978016063571	-0.062158246	No	
row_62	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	8492	0.0038203136064112186	-0.06458446	No	
row_63	OPN3	opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]	8517	0.0037155756726861	-0.06508895	No	
row_64	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	8578	0.0035449371207505465	-0.06741699	No	
row_65	TNNC1	troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]	8616	0.003407733514904976	-0.06862571	No	
row_66	DYNLT3	dynein light chain Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694]	8805	0.00276165665127337	-0.07747023	No	
row_67	NAB2	NGFI-A binding protein 2 [Source:HGNC Symbol;Acc:HGNC:7627]	8921	0.0023501021787524223	-0.08275771	No	
row_68	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	9132	0.001634811400435865	-0.092906535	No	
row_69	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	9466	5.087153986096382E-4	-0.10938664	No	
row_70	ST6GALNAC2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10867]	9632	1.3687463251699228E-5	-0.11759673	No	
row_71	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	9713	-2.5119748897850513E-4	-0.121531956	No	
