NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HOXC10	homeobox C10 [Source:HGNC Symbol;Acc:HGNC:5122]	189	0.1111118420958519	0.0073411586	No	
row_1	CUL5	cullin 5 [Source:HGNC Symbol;Acc:HGNC:2556]	577	0.07627169787883759	-4.2444374E-4	No	
row_2	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	708	0.07066156715154648	0.0037561127	No	
row_3	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	793	0.06733276695013046	0.009724488	No	
row_4	DMD	dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]	1054	0.0596378892660141	0.0057728393	No	
row_5	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	1636	0.04839958995580673	-0.015850108	No	
row_6	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	1724	0.04719787463545799	-0.013066071	No	
row_7	KATNA1	katanin catalytic subunit A1 [Source:HGNC Symbol;Acc:HGNC:6216]	1725	0.04718092456459999	-0.0059542917	No	
row_8	LIG3	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]	1871	0.04496462270617485	-0.0063937465	No	
row_9	MTF2	metal response element binding transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:29535]	1881	0.044769469648599625	-9.3417475E-5	No	
row_10	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	2125	0.0415654219686985	-0.0059230546	No	
row_11	PTTG3P	pituitary tumor-transforming 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:13422]	2342	0.03908580541610718	-0.010782569	No	
row_12	RASAL2	RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]	2370	0.038722530007362366	-0.0062896446	No	
row_13	NUMA1	nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]	2474	0.03778313472867012	-0.0057211067	No	
row_14	RPS6KA5	ribosomal protein S6 kinase A5 [Source:HGNC Symbol;Acc:HGNC:10434]	2620	0.036408115178346634	-0.0074503203	No	
row_15	H2AZ2	H2A.Z variant histone 2 [Source:HGNC Symbol;Acc:HGNC:20664]	2622	0.03640240803360939	-0.002013005	No	
row_16	HUS1	HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]	2857	0.03401516377925873	-0.0085327625	No	
row_17	MEIS1	Meis homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7000]	2953	0.03314431384205818	-0.008265266	No	
row_18	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	3135	0.03175593540072441	-0.012487569	No	
row_19	ORC5	origin recognition complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:8491]	3361	0.03001219965517521	-0.019162748	No	
row_20	CUL3	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	3782	0.02680956944823265	-0.03602651	No	
row_21	ARID4A	AT-rich interaction domain 4A [Source:HGNC Symbol;Acc:HGNC:9885]	3839	0.026415890082716942	-0.03483205	No	
row_22	STAG1	stromal antigen 1 [Source:HGNC Symbol;Acc:HGNC:11354]	3897	0.02602103166282177	-0.033746883	No	
