NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCG2	secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575]	161	0.11697746068239212	0.10104402	Yes	
row_1	NRCAM	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]	167	0.11585641652345657	0.20874532	Yes	
row_2	NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	1015	0.06053566187620163	0.22333203	Yes	
row_3	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	1283	0.05462349206209183	0.26104504	Yes	
row_4	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	1369	0.05303477868437767	0.3062632	Yes	
row_5	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	1494	0.05072628706693649	0.34740502	Yes	
row_6	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	1598	0.04887375608086586	0.38785753	Yes	
row_7	DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	1706	0.04738539457321167	0.4267258	Yes	
row_8	RASA1	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]	1723	0.04721136763691902	0.46992463	Yes	
row_9	AMOT	angiomotin [Source:HGNC Symbol;Acc:HGNC:17810]	1987	0.0432349368929863	0.4972239	Yes	
row_10	SLIT1	slit guidance ligand 1 [Source:HGNC Symbol;Acc:HGNC:11085]	3006	0.03272195905447006	0.4774531	Yes	
row_11	HEY1	hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880]	3256	0.030825696885585785	0.4938814	Yes	
row_12	TLE1	TLE family member 1, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11837]	3658	0.027802055701613426	0.49998814	Yes	
row_13	ADGRG1	adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512]	3796	0.026711568236351013	0.51811266	Yes	
row_14	L1CAM	L1 cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6470]	5877	0.014582440257072449	0.429009	No	
row_15	CRMP1	collapsin response mediator protein 1 [Source:HGNC Symbol;Acc:HGNC:2365]	5950	0.014168043620884418	0.43865526	No	
row_16	RTN1	reticulon 1 [Source:HGNC Symbol;Acc:HGNC:10467]	6466	0.011770824901759624	0.4241968	No	
row_17	OPHN1	oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148]	6538	0.011487683281302452	0.43139502	No	
row_18	SHH	sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]	6821	0.010277732275426388	0.42704874	No	
row_19	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	7896	0.00601154612377286	0.37962598	No	
row_20	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	8498	0.0037938456516712904	0.3534892	No	
row_21	LDB1	LIM domain binding 1 [Source:HGNC Symbol;Acc:HGNC:6532]	8514	0.0037277617957443	0.35622194	No	
row_22	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	8584	0.0035146926529705524	0.35609016	No	
row_23	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	8806	0.002761072712019086	0.34775186	No	
row_24	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	10708	-0.0033300917129963636	0.25700128	No	
row_25	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	12217	-0.007738091982901096	0.18976042	No	
row_26	PML	promyelocytic leukemia [Source:HGNC Symbol;Acc:HGNC:9113]	12618	-0.008892565034329891	0.17829777	No	
row_27	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	12960	-0.009770174510776997	0.1705657	No	
row_28	HEY2	hes related family bHLH transcription factor with YRPW motif 2 [Source:HGNC Symbol;Acc:HGNC:4881]	13819	-0.012158727273344994	0.13953456	No	
row_29	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]	14525	-0.01426628977060318	0.11802083	No	
row_30	TLE3	TLE family member 3, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11839]	16647	-0.0221038106828928	0.03390097	No	
row_31	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	16797	-0.022762445732951164	0.04775346	No	
row_32	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	17260	-0.025125382468104362	0.048354622	No	
row_33	NKX6-1	NK6 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7839]	17618	-0.027460452169179916	0.056315366	No	
row_34	UNC5C	unc-5 netrin receptor C [Source:HGNC Symbol;Acc:HGNC:12569]	17862	-0.029085198417305946	0.071418196	No	
row_35	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	19453	-0.051950108259916306	0.041323096	No	
