NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC22A4	solute carrier family 22 member 4 [Source:HGNC Symbol;Acc:HGNC:10968]	289	0.09601859003305435	0.0072892862	Yes	
row_1	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	345	0.09079648554325104	0.025044655	Yes	
row_2	PICALM	phosphatidylinositol binding clathrin assembly protein [Source:HGNC Symbol;Acc:HGNC:15514]	418	0.08560992032289505	0.040783457	Yes	
row_3	ARHGEF12	Rho guanine nucleotide exchange factor 12 [Source:HGNC Symbol;Acc:HGNC:14193]	482	0.08127763867378235	0.055992354	Yes	
row_4	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]	491	0.08063073456287384	0.07379225	Yes	
row_5	SPTB	spectrin beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]	677	0.07205583900213242	0.080848664	Yes	
row_6	OPTN	optineurin [Source:HGNC Symbol;Acc:HGNC:17142]	901	0.06341373920440674	0.084063575	Yes	
row_7	SNCA	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	993	0.06120624020695686	0.09334907	Yes	
row_8	FBXO9	F-box protein 9 [Source:HGNC Symbol;Acc:HGNC:13588]	1147	0.057343367487192154	0.09867738	Yes	
row_9	IGSF3	immunoglobulin superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:5950]	1224	0.05582146346569061	0.107494004	Yes	
row_10	BPGM	bisphosphoglycerate mutase [Source:HGNC Symbol;Acc:HGNC:1093]	1231	0.05570196360349655	0.11976711	Yes	
row_11	BNIP3L	BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]	1430	0.05171522870659828	0.12158581	Yes	
row_12	ENDOD1	endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]	1519	0.050298139452934265	0.12855868	Yes	
row_13	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13432]	1544	0.049712397158145905	0.13858423	Yes	
row_14	CLCN3	chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021]	1552	0.04963633045554161	0.14943857	Yes	
row_15	SIDT2	SID1 transmembrane family member 2 [Source:HGNC Symbol;Acc:HGNC:24272]	1643	0.048280153423547745	0.15585648	Yes	
row_16	TRAK2	trafficking kinesin protein 2 [Source:HGNC Symbol;Acc:HGNC:13206]	1661	0.04806740954518318	0.16585909	Yes	
row_17	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3526]	1718	0.047282252460718155	0.17374372	Yes	
row_18	SLC30A10	solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]	1813	0.04576031118631363	0.17939384	Yes	
row_19	NEK7	NIMA related kinase 7 [Source:HGNC Symbol;Acc:HGNC:13386]	1993	0.043131403625011444	0.18022072	Yes	
row_20	CIR1	corepressor interacting with RBPJ, CIR1 [Source:HGNC Symbol;Acc:HGNC:24217]	2181	0.04103929176926613	0.18017732	Yes	
row_21	XPO7	exportin 7 [Source:HGNC Symbol;Acc:HGNC:14108]	2280	0.03974391520023346	0.18427052	Yes	
row_22	ACSL6	acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]	2377	0.038638100028038025	0.18821365	Yes	
row_23	MOCOS	molybdenum cofactor sulfurase [Source:HGNC Symbol;Acc:HGNC:18234]	2581	0.03676349297165871	0.186409	Yes	
row_24	XK	X-linked Kx blood group [Source:HGNC Symbol;Acc:HGNC:12811]	2585	0.03672757372260094	0.19454895	Yes	
row_25	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	2716	0.035515181720256805	0.1960953	Yes	
row_26	CTNS	cystinosin, lysosomal cystine transporter [Source:HGNC Symbol;Acc:HGNC:2518]	2944	0.03320862725377083	0.192294	Yes	
row_27	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	3065	0.03226519748568535	0.19360448	Yes	
row_28	MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	3095	0.032071538269519806	0.19939974	Yes	
row_29	FECH	ferrochelatase [Source:HGNC Symbol;Acc:HGNC:3647]	3266	0.030739443376660347	0.19787769	Yes	
row_30	KDM7A	lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]	3414	0.029637616127729416	0.19725151	Yes	
row_31	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:1144]	3417	0.029591817408800125	0.20383073	Yes	
