NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	169	0.1152694970369339	0.013655157	No	
row_1	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	339	0.09107797592878342	0.022679154	No	
row_2	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	662	0.07278617471456528	0.020586068	No	
row_3	HRH1	histamine receptor H1 [Source:HGNC Symbol;Acc:HGNC:5182]	707	0.07078371942043304	0.031946678	No	
row_4	KCNMB2	potassium calcium-activated channel subfamily M regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6286]	916	0.06319654732942581	0.03369196	No	
row_5	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	945	0.06252383440732956	0.044267695	No	
row_6	GABBR1	gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]	953	0.062285665422677994	0.05584308	No	
row_7	HAS2	hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]	1417	0.05196944996714592	0.04274683	No	
row_8	PCDH7	protocadherin 7 [Source:HGNC Symbol;Acc:HGNC:8659]	1437	0.05157121270895004	0.05167379	No	
row_9	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	2193	0.040897104889154434	0.021924004	No	
row_10	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	2716	0.035515181720256805	0.002741153	No	
row_11	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	2938	0.03328241780400276	-0.0018873009	No	
row_12	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	2947	0.033198319375514984	0.0040699085	No	
row_13	SLC31A1	solute carrier family 31 member 1 [Source:HGNC Symbol;Acc:HGNC:11016]	2950	0.03317932039499283	0.010322121	No	
row_14	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	2993	0.03282906487584114	0.0145163415	No	
row_15	LPAR1	lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]	3082	0.0321444496512413	0.016289918	No	
row_16	P2RX7	purinergic receptor P2X 7 [Source:HGNC Symbol;Acc:HGNC:8537]	3134	0.031757764518260956	0.01983109	No	
row_17	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	3471	0.029135148972272873	0.008684738	No	
row_18	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	3722	0.027312688529491425	0.0014700227	No	
row_19	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	3812	0.026552412658929825	0.0021233012	No	
row_20	NLRP3	NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]	4061	0.02489721216261387	-0.005454279	No	
row_21	SLC4A4	solute carrier family 4 member 4 [Source:HGNC Symbol;Acc:HGNC:11030]	4593	0.021593010053038597	-0.027750315	No	
row_22	SLC31A2	solute carrier family 31 member 2 [Source:HGNC Symbol;Acc:HGNC:11017]	4858	0.020067259669303894	-0.037048906	No	
row_23	SEMA4D	semaphorin 4D [Source:HGNC Symbol;Acc:HGNC:10732]	4999	0.01927180215716362	-0.04032786	No	
row_24	IL18RAP	interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]	5226	0.01793454773724079	-0.048143335	No	
row_25	ABI1	abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]	5347	0.017301494255661964	-0.050804004	No	
row_26	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	5434	0.016782477498054504	-0.051871736	No	
row_27	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	5467	0.016628019511699677	-0.050281268	No	
row_28	KCNA3	potassium voltage-gated channel subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:6221]	5655	0.015639783814549446	-0.05659488	No	
row_29	SLC28A2	solute carrier family 28 member 2 [Source:HGNC Symbol;Acc:HGNC:11002]	5786	0.015088285319507122	-0.060176976	No	
row_30	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	6016	0.013874075375497341	-0.0689191	No	
