NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	1229	0.05572066828608513	-0.047087174	No	
row_1	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	1824	0.04545852914452553	-0.065162115	No	
row_2	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	2237	0.04034861549735069	-0.0754699	No	
row_3	PSMA2	proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]	2388	0.038541436195373535	-0.073193826	No	
row_4	PSMD1	proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]	2634	0.036264244467020035	-0.076221846	No	
row_5	VDAC3	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]	2730	0.03542550280690193	-0.07199584	No	
row_6	AP3S1	adaptor related protein complex 3 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:2013]	2861	0.03397710993885994	-0.06987801	No	
row_7	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	3135	0.03175593540072441	-0.07543925	No	
row_8	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854]	4166	0.024241643026471138	-0.12057844	No	
row_9	MRPS18B	mitochondrial ribosomal protein S18B [Source:HGNC Symbol;Acc:HGNC:14516]	4197	0.0239975918084383	-0.11600578	No	
row_10	GLO1	glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]	4360	0.02301819436252117	-0.11825079	No	
row_11	TARDBP	TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]	4640	0.02132824994623661	-0.12674648	No	
row_12	PSMD3	proteasome 26S subunit, non-ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9560]	4668	0.021122142672538757	-0.12275132	No	
row_13	PWP1	PWP1 homolog, endonuclein [Source:HGNC Symbol;Acc:HGNC:17015]	4982	0.019355086609721184	-0.13343805	No	
row_14	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	5196	0.018122637644410133	-0.13945897	No	
row_15	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	5248	0.01783602498471737	-0.137489	No	
row_16	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918]	5375	0.017122600227594376	-0.1394324	No	
row_17	EPRS1	glutamyl-prolyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:3418]	5393	0.017028851434588432	-0.13597417	No	
row_18	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	5754	0.015212630853056908	-0.15004735	No	
row_19	CLNS1A	chloride nucleotide-sensitive channel 1A [Source:HGNC Symbol;Acc:HGNC:2080]	5757	0.01520478818565607	-0.1463036	No	
row_20	TCP1	t-complex 1 [Source:HGNC Symbol;Acc:HGNC:11655]	6011	0.013918425887823105	-0.15537813	No	
row_21	PSMB3	proteasome 20S subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]	6114	0.013410462066531181	-0.15706527	No	
row_22	CBX3	chromobox 3 [Source:HGNC Symbol;Acc:HGNC:1553]	6219	0.012887632474303246	-0.15898412	No	
row_23	COPS5	COP9 signalosome subunit 5 [Source:HGNC Symbol;Acc:HGNC:2240]	6242	0.012804958038032055	-0.15684244	No	
row_24	SRSF3	serine and arginine rich splicing factor 3 [Source:HGNC Symbol;Acc:HGNC:10785]	6277	0.012637238949537277	-0.15534043	No	
row_25	EIF4H	eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741]	6518	0.011541754938662052	-0.16436867	No	
row_26	ACP1	acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]	7115	0.009035859256982803	-0.1917497	No	
row_27	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	7141	0.008955133147537708	-0.19073045	No	
row_28	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	7165	0.008881104178726673	-0.18963037	No	
row_29	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	7191	0.008770021609961987	-0.18865791	No	
row_30	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	7295	0.008381149731576443	-0.19166608	No	
row_31	UBE2L3	ubiquitin conjugating enzyme E2 L3 [Source:HGNC Symbol;Acc:HGNC:12488]	7328	0.008218055590987206	-0.19118157	No	
row_32	DDX18	DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]	7354	0.008090799674391747	-0.1903808	No	
row_33	STARD7	StAR related lipid transfer domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18063]	7473	0.007669526617974043	-0.19431545	No	
row_34	SSB	small RNA binding exonuclease protection factor La [Source:HGNC Symbol;Acc:HGNC:11316]	7476	0.007652789819985628	-0.19248061	No	
row_35	SSBP1	single stranded DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11317]	7509	0.007532773073762655	-0.1921693	No	
row_36	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	7842	0.006188823841512203	-0.20712976	No	
row_37	PSMD14	proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]	7894	0.006018678192049265	-0.20814687	No	
row_38	RPL22	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]	8239	0.004671660717576742	-0.22408812	No	
row_39	UBE2E1	ubiquitin conjugating enzyme E2 E1 [Source:HGNC Symbol;Acc:HGNC:12477]	8408	0.004077098798006773	-0.2314195	No	
row_40	USP1	ubiquitin specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:12607]	8440	0.003991478588432074	-0.23195356	No	
row_41	PPIA	peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]	8441	0.003987247124314308	-0.2309457	No	
row_42	PSMC6	proteasome 26S subunit, ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9553]	8575	0.0035530177410691977	-0.23666748	No	
row_43	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	8597	0.003485017688944936	-0.23683183	No	
row_44	EIF4A1	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]	8702	0.0031304992735385895	-0.24121697	No	
