NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACAT1	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]	368	0.0888838842511177	0.0045827767	Yes	
row_1	RHOT1	ras homolog family member T1 [Source:HGNC Symbol;Acc:HGNC:21168]	646	0.07370860874652863	0.009785289	Yes	
row_2	SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	909	0.06329372525215149	0.013051187	Yes	
row_3	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B [Source:HGNC Symbol;Acc:HGNC:11818]	927	0.062957763671875	0.028425043	Yes	
row_4	MRPL35	mitochondrial ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:14489]	941	0.0626312866806984	0.043913882	Yes	
row_5	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2 [Source:HGNC Symbol;Acc:HGNC:7706]	1105	0.058446384966373444	0.050858524	Yes	
row_6	FDX1	ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]	1136	0.057632043957710266	0.064213246	Yes	
row_7	SLC25A11	solute carrier family 25 member 11 [Source:HGNC Symbol;Acc:HGNC:10981]	1239	0.055461131036281586	0.073424965	Yes	
row_8	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	1308	0.054045140743255615	0.08396419	Yes	
row_9	NDUFA4	NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]	1361	0.053168829530477524	0.09507402	Yes	
row_10	ACADSB	acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]	1371	0.053008437156677246	0.10828279	Yes	
row_11	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	1398	0.05230851098895073	0.12046508	Yes	
row_12	BDH2	3-hydroxybutyrate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:32389]	1408	0.052142709493637085	0.1334508	Yes	
row_13	PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:9279]	1447	0.051448140293359756	0.14481416	Yes	
row_14	DLAT	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]	1572	0.049223028123378754	0.15132372	Yes	
row_15	NQO2	N-ribosyldihydronicotinamide:quinone reductase 2 [Source:HGNC Symbol;Acc:HGNC:7856]	1692	0.04762018099427223	0.15766922	Yes	
row_16	OGDH	oxoglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8124]	1875	0.04489760473370552	0.16017754	Yes	
row_17	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]	1947	0.04370030760765076	0.16790228	Yes	
row_18	ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	1961	0.043529972434043884	0.17846999	Yes	
row_19	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	2081	0.0420302115380764	0.1833753	Yes	
row_20	ATP5PB	ATP synthase peripheral stalk-membrane subunit b [Source:HGNC Symbol;Acc:HGNC:840]	2365	0.03880084678530693	0.17928578	Yes	
row_21	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	2423	0.03822826221585274	0.18629755	Yes	
row_22	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	2503	0.037530891597270966	0.19203465	Yes	
row_23	VDAC3	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]	2730	0.03542550280690193	0.18991262	Yes	
row_24	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	2740	0.03525886312127113	0.19854851	Yes	
row_25	MFN2	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	2845	0.034124232828617096	0.20216359	Yes	
