NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLK2	polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	217	0.1067572757601738	0.013233802	No	
row_1	F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	448	0.08344782888889313	0.020572806	No	
row_2	ANKRA2	ankyrin repeat family A member 2 [Source:HGNC Symbol;Acc:HGNC:13208]	458	0.08304101228713989	0.038820174	No	
row_3	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	882	0.06428762525320053	0.03223928	No	
row_4	ZBTB16	zinc finger and BTB domain containing 16 [Source:HGNC Symbol;Acc:HGNC:12930]	998	0.06092848628759384	0.04023238	No	
row_5	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	1283	0.05462349206209183	0.038394284	No	
row_6	SESN1	sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595]	1411	0.05210807919502258	0.04380433	No	
row_7	CSRNP2	cysteine and serine rich nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16006]	1499	0.050695329904556274	0.050887257	No	
row_8	VWA5A	von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]	1730	0.04711977764964104	0.050047595	No	
row_9	FUCA1	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	2103	0.04181808978319168	0.040946502	No	
row_10	SLC35D1	solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]	2180	0.041050586849451065	0.046405584	No	
row_11	PRMT2	protein arginine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:5186]	2422	0.038262274116277695	0.04302429	No	
row_12	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	2444	0.03805793449282646	0.050547168	No	
row_13	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	2664	0.036006197333335876	0.047752973	No	
row_14	RCHY1	ring finger and CHY zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17479]	2739	0.035262543708086014	0.052008517	No	
row_15	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]	2873	0.03386082127690315	0.05301185	No	
row_16	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	2938	0.03328241780400276	0.057319336	No	
row_17	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	2993	0.03282906487584114	0.062022492	No	
row_18	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	3065	0.03226519748568535	0.06575256	No	
row_19	CYFIP2	cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]	3294	0.030547186732292175	0.06128139	No	
row_20	PMM1	phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]	3614	0.028099529445171356	0.051729787	No	
row_21	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	3874	0.026224175468087196	0.044742387	No	
row_22	CCNG1	cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]	3964	0.025523919612169266	0.046058837	No	
row_23	HDAC3	histone deacetylase 3 [Source:HGNC Symbol;Acc:HGNC:4854]	4017	0.025195537135004997	0.049142975	No	
row_24	RNF19B	ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]	4035	0.02505035698413849	0.053936508	No	
row_25	EI24	EI24 autophagy associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:13276]	4116	0.024534612894058228	0.055478193	No	
row_26	WWP1	WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:17004]	4449	0.022516565397381783	0.044022616	No	
row_27	FGF13	fibroblast growth factor 13 [Source:HGNC Symbol;Acc:HGNC:3670]	4494	0.022242160513997078	0.04684004	No	
row_28	ERCC5	ERCC excision repair 5, endonuclease [Source:HGNC Symbol;Acc:HGNC:3437]	4556	0.021856240928173065	0.04872443	No	
row_29	TRAFD1	TRAF-type zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24808]	4564	0.021814025938510895	0.05328709	No	
row_30	ZNF365	zinc finger protein 365 [Source:HGNC Symbol;Acc:HGNC:18194]	4649	0.02123655192553997	0.053887174	No	
row_31	H2AJ	H2A.J histone [Source:HGNC Symbol;Acc:HGNC:14456]	4814	0.02029815874993801	0.050294116	No	
