NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAB39L	calcium binding protein 39 like [Source:HGNC Symbol;Acc:HGNC:20290]	42	0.17497363686561584	0.06589679	Yes	
row_1	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]	485	0.08097729086875916	0.075461216	Yes	
row_2	CAMK4	calcium/calmodulin dependent protein kinase IV [Source:HGNC Symbol;Acc:HGNC:1464]	721	0.07009048759937286	0.091050245	Yes	
row_3	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	980	0.06150994449853897	0.102166384	Yes	
row_4	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	987	0.06132623553276062	0.12569442	Yes	
row_5	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	1295	0.05423121526837349	0.13155547	Yes	
row_6	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	1407	0.05214685574173927	0.14631596	Yes	
row_7	IRAK4	interleukin 1 receptor associated kinase 4 [Source:HGNC Symbol;Acc:HGNC:17967]	1599	0.04887160286307335	0.15584105	Yes	
row_8	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	1636	0.04839958995580673	0.172861	Yes	
row_9	CAB39	calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]	1743	0.04686925932765007	0.18581882	Yes	
row_10	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	1759	0.046657342463731766	0.20320216	Yes	
row_11	THEM4	thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:17947]	1989	0.043219663202762604	0.20864908	Yes	
row_12	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	2174	0.04112345725297928	0.21551079	Yes	
row_13	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	2315	0.03935821354389191	0.22386631	Yes	
row_14	MAP2K6	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]	2346	0.03906238451600075	0.23755597	Yes	
row_15	ADCY2	adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]	2347	0.03904522955417633	0.25272503	Yes	
row_16	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	2393	0.038528911769390106	0.2654644	Yes	
row_17	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]	2472	0.037809841334819794	0.27628964	Yes	
row_18	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]	2855	0.034049153327941895	0.2705947	Yes	
row_19	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	2999	0.03277697041630745	0.2762448	Yes	
row_20	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	3172	0.0314822643995285	0.27995533	Yes	
row_21	RALB	RAS like proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:9840]	3255	0.030829813331365585	0.2878707	Yes	
row_22	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	3371	0.02995919995009899	0.29381314	Yes	
row_23	PRKAG1	protein kinase AMP-activated non-catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:9385]	3587	0.028348179534077644	0.29417598	Yes	
row_24	ACTR3	actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]	4634	0.021349914371967316	0.25065494	No	
row_25	ACTR2	actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]	4736	0.02078649401664734	0.25372726	No	
row_26	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	5204	0.01807389222085476	0.23761527	No	
row_27	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	5943	0.01418573409318924	0.20656826	No	
row_28	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	6016	0.013874075375497341	0.2083917	No	
row_29	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	6248	0.012764500454068184	0.2019077	No	
row_30	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	6287	0.01259042788296938	0.20491669	No	
row_31	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]	6320	0.012448755092918873	0.20816785	No	
row_32	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	6709	0.010765697807073593	0.19313005	No	
row_33	VAV3	vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]	6759	0.010585829615592957	0.19481534	No	
row_34	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	6993	0.009534765034914017	0.18697752	No	
row_35	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	7165	0.008881104178726673	0.18195704	No	
row_36	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	7258	0.00852967333048582	0.18071343	No	
row_37	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	7461	0.007720619440078735	0.17370644	No	
row_38	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	7907	0.005975576117634773	0.15398407	No	
row_39	AP2M1	adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]	8312	0.004397370852530003	0.13567957	No	
row_40	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	8614	0.0034151801373809576	0.122095786	No	
row_41	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	8679	0.0031908091623336077	0.12016506	No	
